date,Open,High,Low,Close,adjClose,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-04-03,302.06,303.47,289.71,293.61,293.609985,3934718,3934700,-8.45,-2.8,293.99,"April 03, 20",-0.028
2020-04-06,306.56,320.51,299.955,319.13,319.13,5145092,5145100,12.57,4.1,312.82,"April 06, 20",0.041
2020-04-07,327.41,328.32,306.3,308.93,308.929993,5422270,5422300,-18.48,-5.64,312.62,"April 07, 20",-0.0564
2020-04-08,313.88,317.72,308.2,317.18,317.179993,4002545,4002500,3.3,1.05,313.47,"April 08, 20",0.0105
2020-04-09,318.65,320.78,310.79,318.7,318.7,3300177,3290200,0.05,0.0156912,317.42,"April 09, 20",0.000156912
2020-04-13,315.94,320.9,313.75,320.65,320.649994,1838954,1839000,4.71,1.49,317.55,"April 13, 20",0.0149
2020-04-14,328.77,342.095,328.47,340.765,340.765,3858854,3858900,11.995,3.65,337.03,"April 14, 20",0.0365
2020-04-15,335.34,339.2242,329.645,332.55,332.549988,2818631,2818600,-2.79,-0.83199,334.6,"April 15, 20",-0.0083199
2020-04-16,339.71,345.515,336.035,342.7,342.7,3918632,3918600,2.99,0.88016,341.58,"April 16, 20",0.0088016
2020-04-17,350.091,350.38,340.5,344.11,344.109985,3342418,3342400,-5.981,-1.71,344.04,"April 17, 20",-0.0171
2020-04-20,340.79,348.5,338.75,344.88,344.88,2771970,2772000,4.09,1.2,345.36,"April 20, 20",0.012
2020-04-21,340.9,342.763,325.21,328.99,328.98999,3548202,3548200,-11.91,-3.49,330.95,"April 21, 20",-0.0349
2020-04-22,337.41,339.38,332.8006,336.77,336.769989,2231819,2231500,-0.64,-0.18968,336.85,"April 22, 20",-0.0018968
2020-04-23,338.9,341.75,334.8,335.37,335.369995,2120251,2120300,-3.53,-1.04,337.76,"April 23, 20",-0.0104
2020-04-24,338.0,344.7,333.5011,344.1,344.1,2146162,2143900,6.1,1.8,340.85,"April 24, 20",0.018
2020-04-27,348.8,349.96,345.12,348.5,348.5,2375636,2375200,-0.3,-0.08600917,348.01,"April 27, 20",-0.0008600917
2020-04-28,353.09,353.45,332.57,333.45,333.45,3895571,3895600,-19.64,-5.56,339.05,"April 28, 20",-0.0556
2020-04-29,339.53,351.25,335.44,349.17,349.17,5006415,5006400,9.64,2.84,347.88,"April 29, 20",0.0284
2020-04-30,348.01,356.23,346.55,353.64,353.64,3902173,3902200,5.63,1.62,352.57,"April 30, 20",0.0162
2020-05-01,347.24,350.3099,340.26,343.84,343.839996,2578615,2578600,-3.4,-0.97915,344.82,"May 01, 20",-0.0097915
2020-05-04,340.74,350.596,340.0,349.11,349.109985,2372392,2372000,8.37,2.46,347.71,"May 04, 20",0.0246
2020-05-05,353.38,359.7,352.39,356.13,356.13,2377555,2377400,2.75,0.7782,356.6,"May 05, 20",0.007782
2020-05-06,357.92,366.79,357.1301,362.52,362.519989,2319702,2319700,4.6,1.29,362.92,"May 06, 20",0.0129
2020-05-07,368.82,369.5,365.501,366.78,366.779999,2466063,2465200,-2.04,-0.55312,367.24,"May 07, 20",-0.0055312
2020-05-08,370.0,371.0999,365.41,367.51,367.51,2548366,2547200,-2.49,-0.67297,368.7,"May 08, 20",-0.0067297
2020-05-11,365.84,373.63,364.5,371.42,371.42,2266282,2266200,5.58,1.53,370.42,"May 11, 20",0.0153
2020-05-12,371.46,372.72,364.55,365.1,365.1,2071782,2071800,-6.36,-1.71,368.55,"May 12, 20",-0.0171
2020-05-13,366.45,367.43,352.71,358.56,358.559998,3365501,3365500,-7.89,-2.15,358.94,"May 13, 20",-0.0215
2020-05-14,354.0,357.0,348.01,355.39,355.39,2752031,2752000,1.39,0.39266,353.49,"May 14, 20",0.0039266
2020-05-15,351.57,365.48,351.53,365.3,365.299988,2626904,2626600,13.73,3.91,359.87,"May 15, 20",0.0391
2020-05-18,371.59,375.49,367.21,367.97,367.97,2352319,2351900,-3.62,-0.97419,370.38,"May 18, 20",-0.0097419
2020-05-19,369.88,376.0,368.89,372.2,372.2,2753685,2753700,2.32,0.62723,373.29,"May 19, 20",0.0062723
2020-05-20,377.21,384.4,377.06,383.63,383.63,2824862,2824700,6.42,1.7,382.51,"May 20, 20",0.017
2020-05-21,382.0,385.12,380.6,382.17,382.17,2261384,2261100,0.17,0.04450262,382.42,"May 21, 20",0.0004450262
2020-05-22,381.39,386.52,380.95,385.26,385.26,1688159,1688200,3.87,1.01,384.28,"May 22, 20",0.0101
2020-05-26,391.0,391.27,374.8103,376.63,376.63,3525983,3526000,-14.37,-3.68,380.21,"May 26, 20",-0.0368
2020-05-27,373.24,375.7,361.44,375.17,375.17,3553278,3553300,1.93,0.51709,369.05,"May 27, 20",0.0051709
