date,Open,High,Low,Close,adjClose,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-04-03,43.46,43.62,41.58,42.28,40.38,9488600,9488600,-1.18,-2.72,42.735,"April 03, 20",-0.0272
2020-04-06,44.84,46.45,44.64,46.15,44.08,12046500,12046500,1.31,2.92,45.52,"April 06, 20",0.0292
2020-04-07,48.0,48.97,46.3,47.56,45.43,11962600,11962600,-0.44,-0.91667,47.7075,"April 07, 20",-0.0091667
2020-04-08,48.63,51.62,48.52,51.46,49.15,14429000,14429000,2.83,5.82,50.0575,"April 08, 20",0.0582
2020-04-09,52.0,52.74,48.68,49.59,47.37,11659104,11659104,-2.41,-4.63,50.7525,"April 09, 20",-0.0463
2020-04-13,49.3,49.97,48.37,49.88,47.64,5750047,5750047,0.58,1.18,49.38,"April 13, 20",0.0118
2020-04-14,51.41,52.84,51.08,52.47,50.12,8025517,8025517,1.06,2.06,51.95,"April 14, 20",0.0206
2020-04-15,51.31,51.31,49.75,50.37,48.11,7206700,7206700,-0.94,-1.83,50.685,"April 15, 20",-0.0183
2020-04-16,51.87,52.57,50.8,52.23,49.89,8878100,8878100,0.36,0.69404,51.8675,"April 16, 20",0.0069404
2020-04-17,53.64,53.9,52.27,53.2,50.81,9367600,9367600,-0.435,-0.82028,53.2525,"April 17, 20",-0.0082028
2020-04-20,52.1,52.49,50.61,50.63,48.36,7041200,7041200,-1.47,-2.82,51.4575,"April 20, 20",-0.0282
2020-04-21,49.9,50.05,48.21,48.33,46.16,9359637,9359637,-1.57,-3.15,49.1225,"April 21, 20",-0.0315
2020-04-22,50.1,52.43,49.81,52.11,49.77,7790213,7790213,2.01,4.01,51.1125,"April 22, 20",0.0401
2020-04-23,51.75,52.22,50.59,50.9,48.62,9048300,9048300,-0.85,-1.64,51.365,"April 23, 20",-0.0164
2020-04-24,51.22,51.88,49.94,51.74,49.42,7665048,7665048,0.52,1.02,51.195,"April 24, 20",0.0102
