date,Open,High,Low,Close,adjClose,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2021-04-15,70.0,71.51,63.0,65.2,65.2,11444403,11444400,-4.8,-6.86,67.58,"April 15, 21",-0.0686
2021-04-16,65.0,65.2,58.65,61.0,61.0,4199308,4199300,-4.0,-6.15,61.83,"April 16, 21",-0.0615
2021-04-19,60.0,61.0,55.705,58.86,58.86,4642531,4642500,-1.14,-1.9,58.54,"April 19, 21",-0.019
2021-04-20,60.0397,61.9,58.99,60.15,60.15,3055476,3055500,0.1103,0.18371,60.39,"April 20, 21",0.0018371
2021-04-21,60.49,62.21,56.5264,61.81,61.81,3607103,3607100,1.32,2.18,61.13,"April 21, 21",0.0218
2021-04-22,61.95,62.95,60.51,62.1,62.1,845085,844900,0.15,0.24213,61.52,"April 22, 21",0.0024213
2021-04-23,62.1,62.9399,58.45,58.5,58.5,1230352,1229600,-3.6,-5.8,59.7,"April 23, 21",-0.058
2021-04-26,58.77,59.81,57.65,59.8,59.8,796280,796200,1.03,1.75,58.76,"April 26, 21",0.0175
2021-04-27,60.0,61.11,58.71,58.85,58.85,630252,630200,-1.15,-1.92,59.67,"April 27, 21",-0.0192
2021-04-28,58.42,60.0424,58.07,58.75,58.75,309565,309600,0.33,0.56488,59.24,"April 28, 21",0.0056488
2021-04-29,59.0,59.825,58.82,59.17,59.17,292894,292900,0.17,0.28814,59.13,"April 29, 21",0.0028814
2021-04-30,59.41,59.56,57.805,58.01,58.01,284043,284000,-1.4,-2.36,58.44,"April 30, 21",-0.0236
2021-05-03,58.53,60.41,58.53,60.06,60.06,516157,516100,1.53,2.61,59.78,"May 03, 21",0.0261
2021-05-04,59.78,60.0,57.82,58.55,58.55,879088,879100,-1.23,-2.06,58.58,"May 04, 21",-0.0206
2021-05-05,58.77,59.29,57.51,58.18,58.18,645052,645100,-0.59,-1.0,58.26,"May 05, 21",-0.01
2021-05-06,57.98,57.98,54.72,56.93,56.93,1329370,1329400,-1.05,-1.81,56.45,"May 06, 21",-0.0181
2021-05-07,57.73,57.95,55.76,57.26,57.26,552603,552600,-0.47,-0.81413,56.67,"May 07, 21",-0.0081413
2021-05-10,59.2104,59.2104,54.47,55.5,55.5,1348364,1348300,-3.7104,-6.27,56.12,"May 10, 21",-0.0627
2021-05-11,54.43,54.95,50.7501,53.46,53.46,1483388,1483400,-0.97,-1.78,52.92,"May 11, 21",-0.0178
2021-05-12,52.57,53.44,49.66,52.25,52.25,1351221,1351200,-0.32,-0.60871,51.2,"May 12, 21",-0.0060871
2021-05-13,52.31,54.89,49.41,49.87,49.87,1645535,1645400,-2.44,-4.66,52.7,"May 13, 21",-0.0466
2021-05-14,50.24,57.82,50.01,57.26,57.26,1198906,1198900,7.02,13.97,54.32,"May 14, 21",0.1397
2021-05-17,56.17,62.87,55.825,62.44,62.44,1033526,1033400,6.27,11.16,60.57,"May 17, 21",0.1116
2021-05-18,62.01,65.89,61.9111,64.29,64.29,1122068,1122100,2.28,3.68,64.41,"May 18, 21",0.0368
2021-05-19,62.46,65.27,61.54,64.61,64.61,603701,603700,2.15,3.44,64.17,"May 19, 21",0.0344
2021-05-20,66.3,68.55,66.3,67.9,67.9,964180,964200,1.6,2.41,67.62,"May 20, 21",0.0241
2021-05-21,69.0,70.1699,65.88,68.35,68.35,880310,880300,-0.65,-0.94203,68.1,"May 21, 21",-0.0094203
2021-05-24,68.42,70.73,66.52,70.31,70.31,834008,834000,1.89,2.76,69.42,"May 24, 21",0.0276
2021-05-25,70.01,72.5307,67.59,69.95,69.95,1028575,1028600,-0.06,-0.08570204,69.7,"May 25, 21",-0.0008570204
2021-05-26,69.34,69.98,67.54,68.62,68.62,529370,529400,-0.72,-1.04,68.8,"May 26, 21",-0.0104
2021-05-27,68.87,71.9079,67.09,69.68,69.68,1112696,1112500,0.81,1.18,69.43,"May 27, 21",0.0118
2021-05-28,69.85,75.18,69.0,74.31,74.31,864594,864500,4.46,6.39,72.95,"May 28, 21",0.0639
2021-06-01,74.25,74.72,67.67,68.86,68.86,1013860,1013900,-5.39,-7.26,69.25,"June 01, 21",-0.0726
2021-06-02,68.86,72.03,68.515,70.09,70.09,499422,499400,1.23,1.79,70.46,"June 02, 21",0.0179
2021-06-03,69.24,72.1,69.06,70.47,70.47,352898,352900,1.23,1.78,70.88,"June 03, 21",0.0178
2021-06-04,69.99,74.61,69.99,74.36,74.36,524472,524500,4.37,6.24,73.51,"June 04, 21",0.0624
2021-06-07,74.2,77.465,72.22,77.25,77.25,662001,661900,3.05,4.11,76.01,"June 07, 21",0.0411
2021-06-08,77.17,80.1494,77.17,79.47,79.47,941755,941700,2.3,2.98,79.26,"June 08, 21",0.0298
2021-06-09,79.48,81.8,78.43,80.25,80.25,863889,863700,0.77,0.9688,80.42,"June 09, 21",0.009688
2021-06-10,80.18,82.14,79.1665,81.86,81.86,1161204,1161100,1.68,2.1,80.63,"June 10, 21",0.021
2021-06-11,82.0,82.51,79.79,82.42,82.42,1144632,1144600,0.42,0.5122,81.4,"June 11, 21",0.005122
2021-06-14,82.5,84.46,81.18,81.89,81.89,869894,869900,-0.61,-0.73939,83.01,"June 14, 21",-0.0073939
2021-06-15,81.51,82.96,80.2958,81.65,81.65,588668,588700,0.14,0.17176,81.47,"June 15, 21",0.0017176
2021-06-16,81.03,86.77,81.03,85.81,85.81,1455103,1455100,4.78,5.9,85.56,"June 16, 21",0.059
2021-06-17,86.032,88.48,85.25,88.22,88.22,1375266,1375300,2.188,2.54,87.39,"June 17, 21",0.0254
2021-06-18,87.44,90.03,87.3,88.21,88.21,2514241,2514200,0.77,0.8806,88.51,"June 18, 21",0.008806
2021-06-21,88.0,88.0,83.28,83.91,83.91,620704,620500,-4.09,-4.65,84.63,"June 21, 21",-0.0465
2021-06-22,84.11,84.6,77.59,80.3,80.3,1214726,1214600,-3.81,-4.53,80.15,"June 22, 21",-0.0453
2021-06-23,80.15,82.87,80.15,81.49,81.49,388295,388300,1.34,1.67,81.58,"June 23, 21",0.0167
2021-06-24,85.91,87.1599,83.92,84.5,84.5,754831,754500,-1.41,-1.64,85.32,"June 24, 21",-0.0164
2021-06-25,84.76,85.49,82.75,84.86,84.86,537746,537600,0.1,0.11798,84.16,"June 25, 21",0.0011798
2021-06-28,85.31,86.46,81.07,82.12,82.12,810551,810400,-3.19,-3.74,82.86,"June 28, 21",-0.0374
2021-06-29,81.73,84.9,81.2,83.32,83.32,635490,635400,1.59,1.95,83.82,"June 29, 21",0.0195
2021-06-30,78.3714,79.0,73.94,75.17,75.17,2206213,2206100,-3.2014,-4.08,76.28,"June 30, 21",-0.0408
2021-07-01,74.28,74.9,69.41,70.98,70.98,1524250,1523900,-3.3,-4.44,70.9,"July 01, 21",-0.0444
2021-07-02,70.98,72.585,70.53,72.07,72.07,669784,669600,1.09,1.54,71.68,"July 02, 21",0.0154
2021-07-06,72.02,72.1503,68.0,68.06,68.06,1394846,1394800,-3.96,-5.5,69.27,"July 06, 21",-0.055
2021-07-07,68.06,68.705,65.36,66.28,66.28,941898,941900,-1.78,-2.62,66.58,"July 07, 21",-0.0262
2021-07-08,65.01,66.98,63.95,65.88,65.88,624164,624100,0.87,1.34,65.54,"July 08, 21",0.0134
2021-07-09,65.76,66.41,65.045,66.18,66.18,321626,321600,0.42,0.63869,65.86,"July 09, 21",0.0063869
2021-07-12,66.55,67.52,65.76,67.2,67.2,395449,395400,0.65,0.97671,66.75,"July 12, 21",0.0097671
2021-07-13,66.89,69.67,66.23,68.98,68.98,779855,779800,2.09,3.12,68.34,"July 13, 21",0.0312
2021-07-14,68.91,69.59,64.63,65.16,65.16,541924,541900,-3.75,-5.44,66.75,"July 14, 21",-0.0544
2021-07-15,65.05,66.375,60.915,63.43,63.43,927799,927800,-1.62,-2.49,63.2,"July 15, 21",-0.0249
2021-07-16,63.58,63.58,59.43,60.75,60.75,695817,695700,-2.83,-4.45,60.79,"July 16, 21",-0.0445
2021-07-19,59.98,61.3,58.15,60.51,60.51,719536,719500,0.53,0.88363,60.1,"July 19, 21",0.0088363
2021-07-20,60.43,61.15,59.04,60.85,60.85,550909,550900,0.42,0.69502,60.37,"July 20, 21",0.0069502
2021-07-21,61.33,61.51,59.15,59.83,59.83,666891,666900,-1.5,-2.45,60.32,"July 21, 21",-0.0245
2021-07-22,60.0,62.6999,59.45,62.69,62.69,872074,872100,2.69,4.48,61.6,"July 22, 21",0.0448
2021-07-23,62.72,64.8456,61.75,63.35,63.35,479846,479800,0.63,1.0,63.61,"July 23, 21",0.01
2021-07-26,63.5,65.63,62.06,62.57,62.57,487136,487100,-0.93,-1.46,63.35,"July 26, 21",-0.0146
2021-07-27,62.38,62.9617,60.0,62.65,62.65,485640,485600,0.27,0.43283,61.8,"July 27, 21",0.0043283
2021-07-28,62.51,65.3,62.18,65.21,65.21,581288,581300,2.7,4.32,64.09,"July 28, 21",0.0432
2021-07-29,65.29,66.3892,64.4,65.22,65.22,409508,409500,-0.07,-0.10721,65.53,"July 29, 21",-0.0010721
2021-07-30,64.45,65.33,61.01,61.47,61.47,405255,405300,-2.98,-4.62,62.26,"July 30, 21",-0.0462
2021-08-02,62.02,64.14,60.5,63.23,63.23,308409,308400,1.21,1.95,62.97,"August 02, 21",0.0195
2021-08-03,63.58,63.71,60.55,62.89,62.89,352595,352600,-0.69,-1.09,61.85,"August 03, 21",-0.0109
2021-08-04,63.02,64.36,62.75,63.18,63.18,354111,354100,0.16,0.25389,63.48,"August 04, 21",0.0025389
2021-08-05,62.86,64.01,61.74,63.25,63.25,345508,345300,0.39,0.62043,62.88,"August 05, 21",0.0062043
2021-08-06,62.85,62.88,56.58,58.65,58.65,1465133,1465000,-4.2,-6.68,58.69,"August 06, 21",-0.0668
2021-08-09,59.34,60.0,57.53,57.57,57.57,449759,449500,-1.77,-2.98,57.95,"August 09, 21",-0.0298
2021-08-10,58.24,58.8,56.21,57.19,57.19,581866,581800,-1.05,-1.8,57.33,"August 10, 21",-0.018
2021-08-11,58.16,62.05,57.91,58.5,58.5,1396685,1396700,0.34,0.58459,59.92,"August 11, 21",0.0058459
2021-08-12,61.16,63.45,55.34,56.96,56.96,2481861,2481200,-4.2,-6.87,57.27,"August 12, 21",-0.0687
2021-08-13,56.45,57.1,55.49,56.46,56.46,1057157,1057100,0.01,0.01771479,56.39,"August 13, 21",0.0001771479
2021-08-16,56.37,56.37,54.62,55.88,55.88,792558,740400,-0.49,-0.86926,55.69,"August 16, 21",-0.0086926
2021-08-17,57.99,63.45,56.27,62.57,62.57,2469739,2469700,4.58,7.9,60.53,"August 17, 21",0.079
2021-08-18,63.06,65.48,60.31,63.77,63.77,1343605,1343600,0.71,1.13,63.33,"August 18, 21",0.0113
2021-08-19,64.0,67.12,63.5,67.1,67.1,1765557,1765600,3.1,4.84,65.66,"August 19, 21",0.0484
2021-08-20,66.5,70.33,66.5,69.97,69.97,1474938,1474900,3.47,5.22,69.58,"August 20, 21",0.0522
2021-08-23,70.57,72.0,68.73,71.56,71.56,1117714,1117700,0.99,1.4,70.94,"August 23, 21",0.014
2021-08-24,72.0,74.56,69.48,74.5,74.5,1181660,1181700,2.5,3.47,72.8,"August 24, 21",0.0347
2021-08-25,74.3,76.62,72.78,76.6,76.6,985685,985600,2.3,3.1,75.74,"August 25, 21",0.031
2021-08-26,75.52,77.025,71.7283,73.57,73.57,1287278,1287300,-1.95,-2.58,73.51,"August 26, 21",-0.0258
2021-08-27,72.9936,75.11,72.3,74.2,74.2,811013,811000,1.2064,1.65,74.08,"August 27, 21",0.0165
2021-08-30,74.28,74.6079,71.34,73.3,73.3,972935,972900,-0.98,-1.32,72.93,"August 30, 21",-0.0132
2021-08-31,73.95,73.95,69.34,70.4,70.4,1303960,1304000,-3.55,-4.8,71.26,"August 31, 21",-0.048
2021-09-01,69.22,76.0,68.8038,74.3,74.3,2589888,2589900,5.08,7.34,74.13,"September 01, 21",0.0734
2021-09-02,74.39,79.53,74.39,78.45,78.45,1898886,1898200,4.06,5.46,78.23,"September 02, 21",0.0546
2021-09-03,78.32,79.67,77.23,77.98,77.98,1116972,1116700,-0.34,-0.43412,78.22,"September 03, 21",-0.0043412
2021-09-07,77.57,77.6,73.52,74.04,74.04,1127999,1117800,-3.53,-4.55,74.84,"September 07, 21",-0.0455
2021-09-08,73.3,73.3,67.91,68.0,68.0,2050725,2050600,-5.3,-7.23,69.82,"September 08, 21",-0.0723
2021-09-09,69.79,71.77,68.43,71.09,71.09,1428518,1428500,1.3,1.86,70.65,"September 09, 21",0.0186
