date,Open,High,Low,Close,adjClose,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-04-03,40.95,41.5,39.8,40.2,38.92,493700,493700,-0.75,-1.83,40.5,"April 03, 20",-0.0183
2020-04-06,42.38,44.31,42.02,44.18,42.77,578600,578600,1.8,4.25,43.5,"April 06, 20",0.0425
2020-04-07,46.17,46.5,44.05,44.22,42.81,608100,608100,-1.95,-4.22,44.92,"April 07, 20",-0.0422
2020-04-08,45.17,46.21,44.48,46.01,44.54,546500,546500,0.84,1.86,45.57,"April 08, 20",0.0186
2020-04-09,47.04,47.95,46.51,47.29,45.78,2232800,2232800,0.25,0.53146,47.25,"April 09, 20",0.0053146
2020-04-13,47.17,47.93,46.11,47.85,46.32,573100,573100,0.68,1.44,47.3,"April 13, 20",0.0144
2020-04-14,49.72,50.83,49.37,50.38,48.77,900600,900600,0.66,1.33,50.19,"April 14, 20",0.0133
2020-04-15,49.48,50.03,48.6,49.56,47.98,810000,810000,0.08,0.16168,49.4,"April 15, 20",0.0016168
2020-04-16,49.92,50.89,49.3,50.6,48.99,684600,684600,0.68,1.36,50.26,"April 16, 20",0.0136
2020-04-17,52.11,52.35,51.3,52.26,50.59,981500,981500,0.15,0.28785,51.97,"April 17, 20",0.0028785
2020-04-20,51.64,53.87,51.01,52.8,51.12,840100,840100,1.16,2.25,52.56,"April 20, 20",0.0225
2020-04-21,51.99,52.26,49.75,50.61,49.0,710900,710900,-1.38,-2.65,50.87,"April 21, 20",-0.0265
2020-04-22,52.16,52.68,51.3,52.42,50.75,518500,518500,0.26,0.49847,52.13,"April 22, 20",0.0049847
2020-04-23,52.43,53.47,51.93,52.01,50.35,654000,654000,-0.42,-0.80107,52.47,"April 23, 20",-0.0080107
2020-04-24,52.38,53.36,51.73,53.06,51.37,496500,496500,0.68,1.3,52.72,"April 24, 20",0.013
2020-04-27,54.07,56.43,53.76,55.64,53.87,1905900,1905900,1.57,2.9,55.27,"April 27, 20",0.029
2020-04-28,56.73,56.73,53.38,54.05,52.33,893000,893000,-2.68,-4.72,54.72,"April 28, 20",-0.0472
2020-04-29,55.69,56.87,54.6,56.63,54.82,1011600,1011600,0.94,1.69,56.03,"April 29, 20",0.0169
2020-04-30,56.72,57.0,55.1,55.33,53.57,781300,781300,-1.39,-2.45,55.81,"April 30, 20",-0.0245
2020-05-01,53.82,54.23,51.67,52.38,50.71,870900,870900,-1.44,-2.68,52.76,"May 01, 20",-0.0268
2020-05-04,51.71,54.31,51.53,54.31,52.58,459800,459800,2.6,5.03,53.38,"May 04, 20",0.0503
2020-05-05,55.53,56.02,54.76,55.06,53.3,637400,637400,-0.47,-0.84639,55.28,"May 05, 20",-0.0084639
2020-05-06,55.33,55.85,54.75,55.33,53.57,614200,614200,0.0,0.0,55.31,"May 06, 20",0.0
2020-05-07,56.09,56.9,55.64,56.6,54.8,638800,638800,0.51,0.90925,56.38,"May 07, 20",0.0090925
2020-05-08,57.16,58.45,56.5,58.3,56.44,620600,620600,1.14,1.99,57.75,"May 08, 20",0.0199
2020-05-11,57.55,60.19,57.39,59.68,57.78,767500,767500,2.13,3.7,59.09,"May 11, 20",0.037
2020-05-12,60.5,60.5,58.16,58.16,56.31,952200,952200,-2.34,-3.87,58.94,"May 12, 20",-0.0387
2020-05-13,58.03,58.72,54.77,56.33,54.53,926900,926900,-1.7,-2.93,56.61,"May 13, 20",-0.0293
2020-05-14,55.43,56.45,54.31,56.25,54.46,1023600,1023600,0.82,1.48,55.67,"May 14, 20",0.0148
2020-05-15,55.83,58.22,55.52,58.09,56.24,493700,493700,2.26,4.05,57.28,"May 15, 20",0.0405
2020-05-18,60.07,60.64,59.62,59.88,57.97,825900,825900,-0.19,-0.3163,60.05,"May 18, 20",-0.003163
2020-05-19,60.01,61.15,59.68,59.82,57.91,867400,867400,-0.19,-0.31661,60.22,"May 19, 20",-0.0031661
2020-05-20,61.01,61.89,59.96,61.82,59.85,1101300,1101300,0.81,1.33,61.22,"May 20, 20",0.0133
2020-05-21,61.82,62.34,60.51,61.98,60.0,839000,839000,0.16,0.25882,61.61,"May 21, 20",0.0025882
2020-05-22,61.96,62.8,61.5,62.76,60.76,683900,683900,0.8,1.29,62.35,"May 22, 20",0.0129
2020-05-26,64.9,64.9,62.78,62.9,60.89,1448800,1448800,-2.0,-3.08,63.53,"May 26, 20",-0.0308
2020-05-27,63.52,63.52,59.65,62.51,60.52,1074500,1074500,-1.01,-1.59,61.89,"May 27, 20",-0.0159
2020-05-28,62.73,63.26,61.49,61.75,59.78,832500,832500,-0.98,-1.56,62.17,"May 28, 20",-0.0156
2020-05-29,61.94,63.0,61.28,62.82,60.82,599600,599600,0.88,1.42,62.37,"May 29, 20",0.0142
2020-06-01,63.36,65.17,62.93,64.8,62.73,1557600,1557600,1.44,2.27,64.3,"June 01, 20",0.0227
2020-06-02,65.2,65.64,64.01,65.6,63.51,1370400,1370400,0.4,0.6135,65.08,"June 02, 20",0.006135
2020-06-03,66.42,66.72,65.66,65.87,63.77,1529700,1529700,-0.55,-0.82806,66.08,"June 03, 20",-0.0082806
2020-06-04,65.8,66.28,63.46,63.95,61.91,1243000,1243000,-1.85,-2.81,64.56,"June 04, 20",-0.0281
2020-06-05,65.35,65.65,64.01,64.25,62.2,846200,846200,-1.1,-1.68,64.64,"June 05, 20",-0.0168
2020-06-08,64.99,65.37,64.52,65.37,63.29,968100,968100,0.38,0.58471,65.09,"June 08, 20",0.0058471
2020-06-09,64.6,66.6,64.42,65.61,63.52,1750400,1750400,1.01,1.56,65.54,"June 09, 20",0.0156
2020-06-10,66.64,67.04,65.64,66.51,64.39,1272000,1272000,-0.13,-0.19508,66.4,"June 10, 20",-0.0019508
2020-06-11,63.93,64.47,61.5,61.57,59.61,1822100,1822100,-2.36,-3.69,62.51,"June 11, 20",-0.0369
2020-06-12,63.72,63.84,60.61,62.42,60.43,1185900,1185900,-1.3,-2.04,62.29,"June 12, 20",-0.0204
2020-06-15,60.74,64.77,60.74,64.64,62.58,1619300,1619300,3.9,6.42,63.38,"June 15, 20",0.0642
2020-06-16,66.75,67.03,64.44,66.69,64.56,2166800,2166800,-0.06,-0.08988764,66.05,"June 16, 20",-0.0008988764
2020-06-17,67.21,67.59,66.22,66.5,64.38,862700,862700,-0.71,-1.06,66.77,"June 17, 20",-0.0106
2020-06-18,66.43,67.89,66.21,67.63,65.47,769500,769500,1.2,1.81,67.24,"June 18, 20",0.0181
2020-06-19,68.75,69.25,67.6,68.03,65.86,996800,996800,-0.72,-1.05,68.29,"June 19, 20",-0.0105
2020-06-22,68.66,71.43,68.59,71.29,69.02,1644100,1644100,2.63,3.83,70.44,"June 22, 20",0.0383
2020-06-23,72.53,73.45,71.55,72.4,70.09,1904500,1904500,-0.13,-0.17924,72.47,"June 23, 20",-0.0017924
2020-06-24,71.63,72.46,68.62,69.3,67.09,1804100,1804100,-2.33,-3.25,70.13,"June 24, 20",-0.0325
2020-06-25,69.14,70.76,68.41,70.58,68.33,1132400,1132400,1.44,2.08,69.92,"June 25, 20",0.0208
2020-06-26,70.34,71.06,68.93,68.97,66.77,1179300,1179300,-1.37,-1.95,69.65,"June 26, 20",-0.0195
2020-06-29,69.35,69.57,67.73,69.36,67.15,1473700,1473700,0.01,0.01441961,68.89,"June 29, 20",0.0001441961
2020-06-30,69.25,71.43,69.18,71.31,69.04,1330800,1330800,2.06,2.97,70.64,"June 30, 20",0.0297
2020-07-01,71.47,74.0,71.33,73.5,71.16,1650700,1650700,2.03,2.84,72.94,"July 01, 20",0.0284
2020-07-02,75.91,75.92,74.58,74.94,72.55,2168700,2168700,-0.97,-1.28,75.15,"July 02, 20",-0.0128
2020-07-06,77.27,79.04,76.5,77.75,75.27,1972800,1972800,0.48,0.6212,77.76,"July 06, 20",0.006212
2020-07-07,78.1,80.59,77.55,78.84,76.33,2251700,2251700,0.74,0.9475,78.99,"July 07, 20",0.009475
2020-07-08,80.02,81.24,79.64,80.72,78.15,2230100,2230100,0.7,0.87478,80.53,"July 08, 20",0.0087478
2020-07-09,81.74,81.93,79.02,81.08,78.5,2033500,2033500,-0.66,-0.80744,80.68,"July 09, 20",-0.0080744
2020-07-10,80.95,81.36,80.17,80.89,78.31,1575900,1575900,-0.06,-0.07411983,80.81,"July 10, 20",-0.0007411983
2020-07-13,83.0,84.54,78.0,78.14,75.65,3642600,3642600,-4.86,-5.86,80.23,"July 13, 20",-0.0586
2020-07-14,78.1,79.5,75.01,78.82,76.31,2042200,2042200,0.72,0.9219,77.78,"July 14, 20",0.009219
2020-07-15,80.36,81.12,78.54,80.93,78.35,2728700,2728700,0.57,0.70931,80.2,"July 15, 20",0.0070931
2020-07-16,79.6,80.47,78.91,79.76,77.22,1431900,1431900,0.16,0.20101,79.71,"July 16, 20",0.0020101
2020-07-17,80.3,80.86,79.64,80.67,78.1,1265100,1265100,0.37,0.46077,80.39,"July 17, 20",0.0046077
2020-07-20,81.24,84.25,81.12,84.03,81.35,1750400,1750400,2.79,3.43,83.13,"July 20, 20",0.0343
