date,Open,High,Low,Close,adjClose,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-04-03,246.06,248.0,242.48,244.61,235.11,571700,571700,-1.45,-0.58929,245.2875,"April 03, 20",-0.0058929
2020-04-06,260.0,272.78,259.42,271.13,260.6,807600,807600,11.13,4.28,265.8325,"April 06, 20",0.0428
2020-04-07,280.46,281.28,271.0,272.59,262.0,768203,768203,-7.87,-2.81,276.3325,"April 07, 20",-0.0281
2020-04-08,278.03,281.34,274.41,278.58,267.76,891700,891700,0.55,0.19782,278.09,"April 08, 20",0.0019782
2020-04-09,282.22,285.13,275.12,276.81,266.06,728900,728900,-5.41,-1.92,279.82,"April 09, 20",-0.0192
2020-04-13,274.85,276.15,272.01,274.1,263.45,789400,789400,-0.75,-0.27288,274.2775,"April 13, 20",-0.0027288
2020-04-14,286.99,294.76,285.05,288.93,277.71,1700721,1700721,1.94,0.67598,288.9325,"April 14, 20",0.0067598
2020-04-15,276.92,284.54,275.05,282.49,271.52,1487648,1487648,5.57,2.01,279.75,"April 15, 20",0.0201
2020-04-16,289.83,292.55,286.17,292.4,281.04,1212108,1212108,2.57,0.88673,290.2375,"April 16, 20",0.0088673
2020-04-17,301.25,301.43,293.61,295.65,284.16,899103,899103,-5.6,-1.86,297.985,"April 17, 20",-0.0186
2020-04-20,291.65,298.01,291.44,291.58,280.25,510100,510100,-0.07,-0.02400137,293.17,"April 20, 20",-0.0002400137
2020-04-21,286.07,287.55,278.57,281.09,270.17,663945,663945,-4.98,-1.74,283.32,"April 21, 20",-0.0174
2020-04-22,290.0,295.47,288.23,294.97,283.51,596100,596100,4.97,1.71,292.1675,"April 22, 20",0.0171
2020-04-23,290.94,297.16,288.31,289.4,278.16,730518,730518,-1.54,-0.52932,291.4525,"April 23, 20",-0.0052932
2020-04-24,289.89,292.46,285.97,291.84,281.71,464217,464217,1.95,0.67267,290.04,"April 24, 20",0.0067267
2020-04-27,293.79,294.76,290.28,290.9,280.8,689100,689100,-2.89,-0.9837,292.4325,"April 27, 20",-0.009837
2020-04-28,297.59,297.59,291.09,291.42,281.3,532014,532014,-6.17,-2.07,294.4225,"April 28, 20",-0.0207
2020-04-29,296.3,304.76,295.35,303.71,293.17,968053,968053,7.41,2.5,300.03,"April 29, 20",0.025
2020-04-30,301.36,301.53,287.06,288.43,278.42,846377,846377,-12.93,-4.29,294.595,"April 30, 20",-0.0429
