date,Open,High,Low,Close,adjClose,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-04-03,76.0,76.66,72.61,73.6,69.17,10023100,10023100,-2.4,-3.16,74.7175,"April 03, 20",-0.0316
2020-04-06,80.22,84.25,78.74,83.87,78.82,11253027,11253027,3.65,4.55,81.77,"April 06, 20",0.0455
2020-04-07,91.43,93.3,87.42,87.58,82.31,8698551,8698551,-3.85,-4.21,89.9325,"April 07, 20",-0.0421
2020-04-08,89.21,93.0,88.12,92.08,86.54,6122800,6122800,2.87,3.22,90.6025,"April 08, 20",0.0322
2020-04-09,94.59,97.85,93.46,94.82,89.11,6904961,6904961,0.23,0.24315,95.18,"April 09, 20",0.0024315
2020-04-13,93.29,93.42,87.94,90.33,84.89,5037700,5037700,-2.96,-3.17,91.245,"April 13, 20",-0.0317
2020-04-14,91.46,92.5,85.91,88.39,83.07,8703213,8703213,-3.07,-3.36,89.565,"April 14, 20",-0.0336
2020-04-15,83.43,85.4,80.68,83.79,78.74,10415600,10415600,0.36,0.4315,83.325,"April 15, 20",0.004315
2020-04-16,83.79,83.94,80.33,81.35,76.45,7526616,7526616,-2.44,-2.91,82.3525,"April 16, 20",-0.0291
2020-04-17,85.32,87.39,84.28,87.39,82.13,8269000,8269000,2.07,2.43,86.095,"April 17, 20",0.0243
2020-04-20,84.59,85.27,82.69,84.01,78.95,6140419,6140419,-0.58,-0.68566,84.14,"April 20, 20",-0.0068566
2020-04-21,80.73,82.46,79.47,81.52,76.61,7360300,7360300,0.79,0.97857,81.045,"April 21, 20",0.0097857
2020-04-22,83.6,83.66,81.97,82.54,77.57,5133476,5133476,-1.06,-1.27,82.9425,"April 22, 20",-0.0127
2020-04-23,83.24,84.78,81.71,82.46,77.49,5807217,5807217,-0.78,-0.93705,83.0475,"April 23, 20",-0.0093705
2020-04-24,84.13,84.78,81.31,83.17,78.16,9126723,9126723,-0.96,-1.14,83.3475,"April 24, 20",-0.0114
2020-04-27,83.47,85.15,82.34,85.06,79.94,7785036,7785036,1.59,1.9,84.005,"April 27, 20",0.019
2020-04-28,87.56,88.96,86.21,88.19,82.88,7165900,7165900,0.63,0.71951,87.73,"April 28, 20",0.0071951
2020-04-29,91.75,96.39,90.89,96.12,90.33,9396537,9396537,4.37,4.76,93.7875,"April 29, 20",0.0476
2020-04-30,93.75,94.31,91.17,91.25,85.76,6553700,6553700,-2.5,-2.67,92.62,"April 30, 20",-0.0267
2020-05-01,88.1,89.07,87.16,88.32,83.0,4620200,4620200,0.22,0.24972,88.1625,"May 01, 20",0.0024972
2020-05-04,86.09,87.37,85.02,86.38,81.18,4875440,4875440,0.29,0.33686,86.215,"May 04, 20",0.0033686
2020-05-05,88.0,88.73,86.36,86.74,81.52,4410300,4410300,-1.26,-1.43,87.4575,"May 05, 20",-0.0143
