date,Open,High,Low,Close,adjClose,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-04-03,1244.18,1279.16,1203.08,1230.68,1217.37,442446,442446,-13.5,-1.09,1239.275,"April 03, 20",-0.0109
2020-04-06,1303.28,1363.35,1292.81,1356.68,1342.01,751605,751605,53.4,4.1,1329.03,"April 06, 20",0.041
2020-04-07,1412.01,1495.0,1366.79,1376.37,1361.48,783524,783524,-35.64,-2.52,1412.5425,"April 07, 20",-0.0252
2020-04-08,1382.65,1428.72,1360.01,1372.06,1357.22,781037,781037,-10.59,-0.76592,1385.86,"April 08, 20",-0.0076592
2020-04-09,1424.76,1450.0,1403.0,1420.64,1405.28,1032857,1032857,-4.12,-0.28917,1424.6,"April 09, 20",-0.0028917
2020-04-13,1413.19,1428.01,1368.39,1421.01,1405.64,404405,404405,7.82,0.55336,1407.65,"April 13, 20",0.0055336
2020-04-14,1460.09,1469.96,1424.0,1449.42,1433.74,579147,579147,-10.67,-0.73078,1450.8675,"April 14, 20",-0.0073078
2020-04-15,1407.84,1440.0,1390.67,1424.61,1409.2,452836,452836,16.77,1.19,1415.78,"April 15, 20",0.0119
2020-04-16,1432.35,1432.35,1391.02,1407.4,1392.18,488402,488402,-24.95,-1.74,1415.78,"April 16, 20",-0.0174
2020-04-17,1469.0,1484.66,1450.19,1470.87,1454.96,691300,691300,1.87,0.1273,1468.68,"April 17, 20",0.001273
2020-04-20,1462.05,1470.0,1410.0,1411.63,1396.36,459200,459200,-50.42,-3.45,1438.42,"April 20, 20",-0.0345
2020-04-21,1382.81,1387.74,1317.4,1342.22,1327.7,652732,652732,-40.59,-2.94,1357.5425,"April 21, 20",-0.0294
2020-04-22,1365.01,1379.99,1342.0,1355.0,1340.35,356738,356738,-10.01,-0.73333,1360.5,"April 22, 20",-0.0073333
2020-04-23,1354.05,1388.99,1350.79,1360.0,1345.29,372904,372904,5.95,0.43942,1363.4575,"April 23, 20",0.0043942
2020-04-24,1372.39,1374.58,1338.66,1362.77,1348.03,334500,334500,-9.62,-0.70097,1362.1,"April 24, 20",-0.0070097
2020-04-27,1374.93,1411.24,1371.04,1402.99,1387.82,456942,456942,28.06,2.04,1390.05,"April 27, 20",0.0204
2020-04-28,1434.2,1463.65,1410.8,1439.32,1423.75,613504,613504,5.12,0.35699,1436.9925,"April 28, 20",0.0035699
2020-04-29,1487.83,1527.73,1473.3,1520.53,1504.09,703085,703085,32.7,2.2,1502.3475,"April 29, 20",0.022
2020-04-30,1514.53,1520.42,1464.78,1480.57,1464.56,451163,451163,-33.96,-2.24,1495.075,"April 30, 20",-0.0224
2020-05-01,1442.75,1460.3,1415.31,1448.79,1433.12,458530,458530,6.04,0.41864,1441.7875,"May 01, 20",0.0041864
2020-05-04,1415.73,1445.32,1388.51,1413.3,1398.02,471400,471400,-2.43,-0.17164,1415.715,"May 04, 20",-0.0017164
2020-05-05,1443.25,1446.36,1383.86,1393.2,1378.13,425900,425900,-50.05,-3.47,1416.6675,"May 05, 20",-0.0347
2020-05-06,1397.46,1416.36,1356.0,1378.91,1364.0,526761,526761,-18.55,-1.33,1387.1825,"May 06, 20",-0.0133
2020-05-07,1392.26,1448.59,1382.0,1443.91,1428.29,655632,655632,51.65,3.71,1416.69,"May 07, 20",0.0371
2020-05-08,1440.99,1444.25,1366.1,1430.83,1415.36,877664,877664,-10.16,-0.70507,1420.5425,"May 08, 20",-0.0070507
2020-05-11,1427.02,1428.97,1403.12,1411.0,1395.74,564798,564798,-16.02,-1.12,1417.5275,"May 11, 20",-0.0112
2020-05-12,1401.09,1413.98,1385.11,1385.92,1370.93,507213,507213,-15.17,-1.08,1396.525,"May 12, 20",-0.0108
2020-05-13,1379.34,1388.92,1336.32,1366.07,1351.3,781040,781040,-13.27,-0.96205,1367.6625,"May 13, 20",-0.0096205
2020-05-14,1348.74,1388.94,1303.25,1382.51,1367.56,708831,708831,33.77,2.5,1355.86,"May 14, 20",0.025
2020-05-15,1377.01,1409.49,1372.13,1384.31,1369.34,632646,632646,7.3,0.53013,1385.735,"May 15, 20",0.0053013
2020-05-18,1430.0,1581.56,1430.0,1557.43,1540.59,1322178,1322178,127.43,8.91,1499.7475,"May 18, 20",0.0891
2020-05-19,1556.29,1598.83,1544.16,1547.56,1530.82,828454,828454,-8.73,-0.56095,1561.71,"May 19, 20",-0.0056095
2020-05-20,1578.52,1605.74,1578.2,1599.15,1581.86,700096,700096,20.63,1.31,1590.4025,"May 20, 20",0.0131
2020-05-21,1605.0,1623.44,1575.79,1595.68,1578.42,631917,631917,-9.32,-0.58069,1599.9775,"May 21, 20",-0.0058069
2020-05-22,1591.74,1637.29,1584.65,1631.3,1613.66,574739,574739,39.56,2.49,1611.245,"May 22, 20",0.0249
2020-05-26,1704.32,1764.9,1692.11,1746.91,1728.02,1201362,1201362,42.59,2.5,1727.06,"May 26, 20",0.025
2020-05-27,1775.93,1788.0,1692.61,1698.73,1680.36,1018239,1018239,-77.2,-4.35,1738.8175,"May 27, 20",-0.0435
2020-05-28,1695.59,1708.0,1644.02,1648.99,1631.16,664242,664242,-46.6,-2.75,1674.15,"May 28, 20",-0.0275
2020-05-29,1657.0,1657.0,1618.43,1639.42,1621.69,696825,696825,-17.58,-1.06,1642.9625,"May 29, 20",-0.0106
2020-06-01,1633.12,1684.17,1633.12,1670.73,1652.66,491034,491034,37.61,2.3,1655.285,"June 01, 20",0.023
