date,Open,High,Low,Close,adjClose,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-04-03,8.08,8.08,8.08,8.08,6.04,0,0,0,0,8.08,"April 03, 20",0
2020-04-06,8.15,8.15,8.15,8.15,6.09,0,0,0,0,8.15,"April 06, 20",0
2020-04-07,8.23,8.23,8.23,8.23,6.15,0,0,0,0,8.23,"April 07, 20",0
2020-04-08,8.27,8.27,8.27,8.27,6.18,0,0,0,0,8.27,"April 08, 20",0
2020-04-09,8.4,8.4,8.4,8.4,6.28,0,0,0,0,8.4,"April 09, 20",0
2020-04-13,8.42,8.42,8.42,8.42,6.3,0,0,0,0,8.42,"April 13, 20",0
2020-04-14,8.46,8.46,8.46,8.46,6.33,0,0,0,0,8.46,"April 14, 20",0
2020-04-15,8.45,8.45,8.45,8.45,6.32,0,0,0,0,8.45,"April 15, 20",0
2020-04-16,8.48,8.48,8.48,8.48,6.34,0,0,0,0,8.48,"April 16, 20",0
2020-04-17,8.51,8.51,8.51,8.51,6.36,0,0,0,0,8.51,"April 17, 20",0
2020-04-20,8.48,8.48,8.48,8.48,6.34,0,0,0,0,8.48,"April 20, 20",0
2020-04-21,8.45,8.45,8.45,8.45,6.32,0,0,0,0,8.45,"April 21, 20",0
2020-04-22,8.44,8.44,8.44,8.44,6.31,0,0,0,0,8.44,"April 22, 20",0
2020-04-23,8.44,8.44,8.44,8.44,6.31,0,0,0,0,8.44,"April 23, 20",0
2020-04-24,8.42,8.42,8.42,8.42,6.3,0,0,0,0,8.42,"April 24, 20",0
2020-04-27,8.4,8.4,8.4,8.4,6.28,0,0,0,0,8.4,"April 27, 20",0
2020-04-28,8.4,8.4,8.4,8.4,6.28,0,0,0,0,8.4,"April 28, 20",0
2020-04-29,8.41,8.41,8.41,8.41,6.29,0,0,0,0,8.41,"April 29, 20",0
2020-04-30,8.41,8.41,8.41,8.41,6.31,0,0,0,0,8.41,"April 30, 20",0
2020-05-01,8.4,8.4,8.4,8.4,6.31,0,0,0,0,8.4,"May 01, 20",0
2020-05-04,8.39,8.39,8.39,8.39,6.3,0,0,0,0,8.39,"May 04, 20",0
2020-05-05,8.41,8.41,8.41,8.41,6.31,0,0,0,0,8.41,"May 05, 20",0
2020-05-06,8.42,8.42,8.42,8.42,6.32,0,0,0,0,8.42,"May 06, 20",0
2020-05-07,8.44,8.44,8.44,8.44,6.34,0,0,0,0,8.44,"May 07, 20",0
2020-05-08,8.46,8.46,8.46,8.46,6.35,0,0,0,0,8.46,"May 08, 20",0
2020-05-11,8.47,8.47,8.47,8.47,6.36,0,0,0,0,8.47,"May 11, 20",0
2020-05-12,8.5,8.5,8.5,8.5,6.38,0,0,0,0,8.5,"May 12, 20",0
2020-05-13,8.5,8.5,8.5,8.5,6.38,0,0,0,0,8.5,"May 13, 20",0
2020-05-14,8.48,8.48,8.48,8.48,6.37,0,0,0,0,8.48,"May 14, 20",0
2020-05-15,8.47,8.47,8.47,8.47,6.36,0,0,0,0,8.47,"May 15, 20",0
2020-05-18,8.5,8.5,8.5,8.5,6.38,0,0,0,0,8.5,"May 18, 20",0
2020-05-19,8.52,8.52,8.52,8.52,6.4,0,0,0,0,8.52,"May 19, 20",0
2020-05-20,8.55,8.55,8.55,8.55,6.42,0,0,0,0,8.55,"May 20, 20",0
2020-05-21,8.58,8.58,8.58,8.58,6.44,0,0,0,0,8.58,"May 21, 20",0
2020-05-22,8.6,8.6,8.6,8.6,6.46,0,0,0,0,8.6,"May 22, 20",0
2020-05-26,8.64,8.64,8.64,8.64,6.49,0,0,0,0,8.64,"May 26, 20",0
2020-05-27,8.69,8.69,8.69,8.69,6.52,0,0,0,0,8.69,"May 27, 20",0
2020-05-28,8.72,8.72,8.72,8.72,6.55,0,0,0,0,8.72,"May 28, 20",0
2020-05-29,8.73,8.73,8.73,8.73,6.58,0,0,0,0,8.73,"May 29, 20",0
2020-06-01,8.74,8.74,8.74,8.74,6.58,0,0,0,0,8.74,"June 01, 20",0
2020-06-02,8.77,8.77,8.77,8.77,6.61,0,0,0,0,8.77,"June 02, 20",0
2020-06-03,8.8,8.8,8.8,8.8,6.63,0,0,0,0,8.8,"June 03, 20",0
2020-06-04,8.83,8.83,8.83,8.83,6.65,0,0,0,0,8.83,"June 04, 20",0
2020-06-05,8.87,8.87,8.87,8.87,6.68,0,0,0,0,8.87,"June 05, 20",0
2020-06-08,8.9,8.9,8.9,8.9,6.7,0,0,0,0,8.9,"June 08, 20",0
2020-06-09,8.9,8.9,8.9,8.9,6.7,0,0,0,0,8.9,"June 09, 20",0
2020-06-10,8.91,8.91,8.91,8.91,6.71,0,0,0,0,8.91,"June 10, 20",0
2020-06-11,8.85,8.85,8.85,8.85,6.67,0,0,0,0,8.85,"June 11, 20",0
2020-06-12,8.86,8.86,8.86,8.86,6.67,0,0,0,0,8.86,"June 12, 20",0
2020-06-15,8.84,8.84,8.84,8.84,6.66,0,0,0,0,8.84,"June 15, 20",0
2020-06-16,8.86,8.86,8.86,8.86,6.67,0,0,0,0,8.86,"June 16, 20",0
2020-06-17,8.87,8.87,8.87,8.87,6.68,0,0,0,0,8.87,"June 17, 20",0
2020-06-18,8.87,8.87,8.87,8.87,6.68,0,0,0,0,8.87,"June 18, 20",0
2020-06-19,8.87,8.87,8.87,8.87,6.68,0,0,0,0,8.87,"June 19, 20",0
2020-06-22,8.87,8.87,8.87,8.87,6.68,0,0,0,0,8.87,"June 22, 20",0
2020-06-23,8.87,8.87,8.87,8.87,6.68,0,0,0,0,8.87,"June 23, 20",0
2020-06-24,8.84,8.84,8.84,8.84,6.66,0,0,0,0,8.84,"June 24, 20",0
2020-06-25,8.8,8.8,8.8,8.8,6.63,0,0,0,0,8.8,"June 25, 20",0
2020-06-26,8.78,8.78,8.78,8.78,6.61,0,0,0,0,8.78,"June 26, 20",0
2020-06-29,8.75,8.75,8.75,8.75,6.59,0,0,0,0,8.75,"June 29, 20",0
2020-06-30,8.74,8.74,8.74,8.74,6.61,0,0,0,0,8.74,"June 30, 20",0
2020-07-01,8.76,8.76,8.76,8.76,6.62,0,0,0,0,8.76,"July 01, 20",0
2020-07-02,8.77,8.77,8.77,8.77,6.63,0,0,0,0,8.77,"July 02, 20",0
2020-07-06,8.79,8.79,8.79,8.79,6.64,0,0,0,0,8.79,"July 06, 20",0
2020-07-07,8.79,8.79,8.79,8.79,6.64,0,0,0,0,8.79,"July 07, 20",0
2020-07-08,8.79,8.79,8.79,8.79,6.64,0,0,0,0,8.79,"July 08, 20",0
2020-07-09,8.79,8.79,8.79,8.79,6.64,0,0,0,0,8.79,"July 09, 20",0
2020-07-10,8.78,8.78,8.78,8.78,6.64,0,0,0,0,8.78,"July 10, 20",0
2020-07-13,8.79,8.79,8.79,8.79,6.64,0,0,0,0,8.79,"July 13, 20",0
2020-07-14,8.8,8.8,8.8,8.8,6.65,0,0,0,0,8.8,"July 14, 20",0
2020-07-15,8.82,8.82,8.82,8.82,6.67,0,0,0,0,8.82,"July 15, 20",0
2020-07-16,8.83,8.83,8.83,8.83,6.67,0,0,0,0,8.83,"July 16, 20",0
2020-07-17,8.84,8.84,8.84,8.84,6.68,0,0,0,0,8.84,"July 17, 20",0
2020-07-20,8.85,8.85,8.85,8.85,6.69,0,0,0,0,8.85,"July 20, 20",0
2020-07-21,8.88,8.88,8.88,8.88,6.71,0,0,0,0,8.88,"July 21, 20",0
2020-07-22,8.88,8.88,8.88,8.88,6.71,0,0,0,0,8.88,"July 22, 20",0
2020-07-23,8.89,8.89,8.89,8.89,6.72,0,0,0,0,8.89,"July 23, 20",0
2020-07-24,8.89,8.89,8.89,8.89,6.72,0,0,0,0,8.89,"July 24, 20",0
2020-07-27,8.89,8.89,8.89,8.89,6.72,0,0,0,0,8.89,"July 27, 20",0
2020-07-28,8.89,8.89,8.89,8.89,6.72,0,0,0,0,8.89,"July 28, 20",0
2020-07-29,8.89,8.89,8.89,8.89,6.72,0,0,0,0,8.89,"July 29, 20",0
2020-07-30,8.88,8.88,8.88,8.88,6.71,0,0,0,0,8.88,"July 30, 20",0
2020-07-31,8.88,8.88,8.88,8.88,6.73,0,0,0,0,8.88,"July 31, 20",0
2020-08-03,8.89,8.89,8.89,8.89,6.74,0,0,0,0,8.89,"August 03, 20",0
2020-08-04,8.89,8.89,8.89,8.89,6.74,0,0,0,0,8.89,"August 04, 20",0
2020-08-05,8.9,8.9,8.9,8.9,6.75,0,0,0,0,8.9,"August 05, 20",0
2020-08-06,8.91,8.91,8.91,8.91,6.75,0,0,0,0,8.91,"August 06, 20",0
2020-08-07,8.91,8.91,8.91,8.91,6.75,0,0,0,0,8.91,"August 07, 20",0
2020-08-10,8.92,8.92,8.92,8.92,6.76,0,0,0,0,8.92,"August 10, 20",0
2020-08-11,8.93,8.93,8.93,8.93,6.77,0,0,0,0,8.93,"August 11, 20",0
2020-08-12,8.94,8.94,8.94,8.94,6.78,0,0,0,0,8.94,"August 12, 20",0
2020-08-13,8.95,8.95,8.95,8.95,6.78,0,0,0,0,8.95,"August 13, 20",0
2020-08-14,8.95,8.95,8.95,8.95,6.78,0,0,0,0,8.95,"August 14, 20",0
2020-08-17,8.95,8.95,8.95,8.95,6.78,0,0,0,0,8.95,"August 17, 20",0
2020-08-18,8.95,8.95,8.95,8.95,6.78,0,0,0,0,8.95,"August 18, 20",0
2020-08-19,8.95,8.95,8.95,8.95,6.78,0,0,0,0,8.95,"August 19, 20",0
2020-08-20,8.95,8.95,8.95,8.95,6.78,0,0,0,0,8.95,"August 20, 20",0
2020-08-21,8.95,8.95,8.95,8.95,6.78,0,0,0,0,8.95,"August 21, 20",0
2020-08-24,8.95,8.95,8.95,8.95,6.78,0,0,0,0,8.95,"August 24, 20",0
2020-08-25,8.96,8.96,8.96,8.96,6.79,0,0,0,0,8.96,"August 25, 20",0
2020-08-26,8.96,8.96,8.96,8.96,6.79,0,0,0,0,8.96,"August 26, 20",0
2020-08-27,8.97,8.97,8.97,8.97,6.8,0,0,0,0,8.97,"August 27, 20",0
2020-08-28,8.97,8.97,8.97,8.97,6.8,0,0,0,0,8.97,"August 28, 20",0
2020-08-31,8.98,8.98,8.98,8.98,6.83,0,0,0,0,8.98,"August 31, 20",0
2020-09-01,8.99,8.99,8.99,8.99,6.83,0,0,0,0,8.99,"September 01, 20",0
2020-09-02,9.01,9.01,9.01,9.01,6.85,0,0,0,0,9.01,"September 02, 20",0
2020-09-03,9.03,9.03,9.03,9.03,6.87,0,0,0,0,9.03,"September 03, 20",0
2020-09-04,9.02,9.02,9.02,9.02,6.86,0,0,0,0,9.02,"September 04, 20",0
2020-09-08,9.02,9.02,9.02,9.02,6.86,0,0,0,0,9.02,"September 08, 20",0
2020-09-09,9.04,9.04,9.04,9.04,6.87,0,0,0,0,9.04,"September 09, 20",0
2020-09-10,9.04,9.04,9.04,9.04,6.87,0,0,0,0,9.04,"September 10, 20",0
2020-09-11,9.05,9.05,9.05,9.05,6.88,0,0,0,0,9.05,"September 11, 20",0
2020-09-14,9.06,9.06,9.06,9.06,6.89,0,0,0,0,9.06,"September 14, 20",0
2020-09-15,9.06,9.06,9.06,9.06,6.89,0,0,0,0,9.06,"September 15, 20",0
2020-09-16,9.07,9.07,9.07,9.07,6.9,0,0,0,0,9.07,"September 16, 20",0
2020-09-17,9.06,9.06,9.06,9.06,6.89,0,0,0,0,9.06,"September 17, 20",0
2020-09-18,9.06,9.06,9.06,9.06,6.89,0,0,0,0,9.06,"September 18, 20",0
2020-09-21,9.04,9.04,9.04,9.04,6.87,0,0,0,0,9.04,"September 21, 20",0
2020-09-22,9.04,9.04,9.04,9.04,6.87,0,0,0,0,9.04,"September 22, 20",0
2020-09-23,9.03,9.03,9.03,9.03,6.87,0,0,0,0,9.03,"September 23, 20",0
2020-09-24,9.01,9.01,9.01,9.01,6.85,0,0,0,0,9.01,"September 24, 20",0
2020-09-25,8.99,8.99,8.99,8.99,6.83,0,0,0,0,8.99,"September 25, 20",0
2020-09-28,9.0,9.0,9.0,9.0,6.84,0,0,0,0,9.0,"September 28, 20",0
2020-09-29,9.0,9.0,9.0,9.0,6.84,0,0,0,0,9.0,"September 29, 20",0
2020-09-30,8.99,8.99,8.99,8.99,6.86,0,0,0,0,8.99,"September 30, 20",0
2020-10-01,8.99,8.99,8.99,8.99,6.86,0,0,0,0,8.99,"October 01, 20",0
2020-10-02,8.99,8.99,8.99,8.99,6.86,0,0,0,0,8.99,"October 02, 20",0
2020-10-05,9.02,9.02,9.02,9.02,6.88,0,0,0,0,9.02,"October 05, 20",0
2020-10-06,9.03,9.03,9.03,9.03,6.89,0,0,0,0,9.03,"October 06, 20",0
2020-10-07,9.03,9.03,9.03,9.03,6.89,0,0,0,0,9.03,"October 07, 20",0
2020-10-08,9.04,9.04,9.04,9.04,6.89,0,0,0,0,9.04,"October 08, 20",0
2020-10-09,9.04,9.04,9.04,9.04,6.89,0,0,0,0,9.04,"October 09, 20",0
2020-10-12,9.04,9.04,9.04,9.04,6.89,0,0,0,0,9.04,"October 12, 20",0
2020-10-13,9.04,9.04,9.04,9.04,6.89,0,0,0,0,9.04,"October 13, 20",0
2020-10-14,9.04,9.04,9.04,9.04,6.89,0,0,0,0,9.04,"October 14, 20",0
2020-10-15,9.03,9.03,9.03,9.03,6.89,0,0,0,0,9.03,"October 15, 20",0
2020-10-16,9.03,9.03,9.03,9.03,6.89,0,0,0,0,9.03,"October 16, 20",0
