date,Open,High,Low,Close,adjClose,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-04-03,20.16,20.47,19.92,20.29,20.29,9873500,9873500,0.13,0.64484,20.23,"April 03, 20",0.0064484
2020-04-06,20.86,21.72,20.4,21.58,21.58,13536500,13536500,0.72,3.45,21.23,"April 06, 20",0.0345
2020-04-07,22.18,22.4,21.08,21.34,21.34,19296500,19296500,-0.84,-3.79,21.61,"April 07, 20",-0.0379
2020-04-08,21.62,22.04,21.34,21.84,21.84,6059500,6059500,0.22,1.02,21.74,"April 08, 20",0.0102
2020-04-09,21.96,21.96,20.13,20.39,20.39,12367500,12367500,-1.57,-7.15,20.82,"April 09, 20",-0.0715
2020-04-13,20.4,21.03,20.01,20.93,20.93,10787000,10787000,0.53,2.6,20.65,"April 13, 20",0.026
2020-04-14,21.48,21.97,21.01,21.87,21.87,8519500,8519500,0.39,1.82,21.62,"April 14, 20",0.0182
2020-04-15,21.51,22.15,21.39,21.97,21.97,8699000,8699000,0.46,2.14,21.84,"April 15, 20",0.0214
2020-04-16,22.25,22.35,21.64,22.05,22.05,7298000,7298000,-0.2,-0.89888,22.01,"April 16, 20",-0.0089888
2020-04-17,22.3,22.61,21.81,22.59,22.59,7935000,7935000,0.29,1.3,22.34,"April 17, 20",0.013
2020-04-20,22.59,23.0,22.36,22.47,22.47,7648000,7648000,-0.12,-0.53121,22.61,"April 20, 20",-0.0053121
2020-04-21,22.06,22.09,19.92,20.24,20.24,17925000,17925000,-1.82,-8.25,20.75,"April 21, 20",-0.0825
2020-04-22,20.76,21.04,20.5,20.86,20.86,6398000,6398000,0.1,0.4817,20.8,"April 22, 20",0.004817
2020-04-23,20.85,20.94,19.95,20.12,20.12,11861000,11861000,-0.73,-3.5,20.34,"April 23, 20",-0.035
2020-04-24,20.2,20.7,19.97,20.65,20.65,6478000,6478000,0.45,2.23,20.44,"April 24, 20",0.0223
2020-04-27,20.96,21.23,20.65,21.13,21.13,5659500,5659500,0.17,0.81107,21.0,"April 27, 20",0.0081107
2020-04-28,21.5,21.57,20.95,21.09,21.09,11565500,11565500,-0.41,-1.91,21.2,"April 28, 20",-0.0191
