date,Open,High,Low,Close,adjClose,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-04-03,47.72,47.89,47.06,47.43,40.98,20864828,20864828,-0.29,-0.60771,47.525,"April 03, 20",-0.0060771
2020-04-06,49.07,50.09,48.96,49.96,43.17,18767400,18767400,0.89,1.81,49.52,"April 06, 20",0.0181
2020-04-07,51.64,51.82,50.16,50.2,43.38,16255400,16255400,-1.44,-2.79,50.955,"April 07, 20",-0.0279
2020-04-08,50.48,50.92,50.03,50.72,43.83,15406536,15406536,0.24,0.47544,50.5375,"April 08, 20",0.0047544
2020-04-09,51.51,52.04,51.31,51.83,44.79,54618600,54618600,0.32,0.62124,51.6725,"April 09, 20",0.0062124
2020-04-13,51.64,51.79,49.6,51.38,44.4,22605820,22605820,-0.26,-0.50349,51.1025,"April 13, 20",-0.0050349
2020-04-14,52.15,52.63,52.09,52.31,45.2,19156100,19156100,0.16,0.30681,52.295,"April 14, 20",0.0030681
2020-04-15,50.72,51.0,50.46,50.65,43.77,11880300,11880300,-0.07,-0.13801,50.7075,"April 15, 20",-0.0013801
2020-04-16,50.79,50.93,50.19,50.65,43.77,19082400,19082400,-0.14,-0.27564,50.64,"April 16, 20",-0.0027564
2020-04-17,51.82,52.06,51.42,51.99,44.92,11692600,11692600,0.17,0.32806,51.8225,"April 17, 20",0.0032806
2020-04-20,51.45,52.06,51.24,51.24,44.28,17039017,17039017,-0.21,-0.40816,51.4975,"April 20, 20",-0.0040816
2020-04-21,50.56,50.91,50.11,50.22,43.39,17809100,17809100,-0.34,-0.67247,50.45,"April 21, 20",-0.0067247
2020-04-22,51.18,51.23,50.9,51.1,44.15,11835900,11835900,-0.08,-0.15631,51.1025,"April 22, 20",-0.0015631
2020-04-23,51.32,51.99,50.89,50.98,44.05,13653400,13653400,-0.34,-0.66251,51.295,"April 23, 20",-0.0066251
2020-04-24,51.4,51.66,51.0,51.62,44.6,11072400,11072400,0.22,0.42802,51.42,"April 24, 20",0.0042802
2020-04-27,51.97,52.4,51.88,52.26,45.16,11891200,11891200,0.295,0.55801,52.1275,"April 27, 20",0.0055801
2020-04-28,53.33,53.4,52.68,52.71,45.55,15360900,15360900,-0.62,-1.16,53.03,"April 28, 20",-0.0116
2020-04-29,53.8,54.24,53.71,54.02,46.68,11024800,11024800,0.22,0.40892,53.9425,"April 29, 20",0.0040892
2020-04-30,53.29,53.44,52.69,53.03,45.82,20692006,20692006,-0.26,-0.4879,53.1125,"April 30, 20",-0.004879
2020-05-01,52.16,52.3,51.64,51.85,44.8,14884900,14884900,-0.31,-0.59433,51.9875,"May 01, 20",-0.0059433
2020-05-04,51.47,51.85,51.26,51.84,44.79,15158600,15158600,0.37,0.71887,51.605,"May 04, 20",0.0071887
2020-05-05,52.18,52.41,51.85,51.93,44.87,12191000,12191000,-0.25,-0.47911,52.0925,"May 05, 20",-0.0047911
2020-05-06,52.3,52.37,51.57,51.57,44.56,9517900,9517900,-0.73,-1.4,51.9525,"May 06, 20",-0.014
2020-05-07,52.34,52.64,52.15,52.45,45.32,8346818,8346818,0.11,0.21016,52.395,"May 07, 20",0.0021016
2020-05-08,53.1,53.33,52.98,53.27,46.03,6580701,6580701,0.17,0.32015,53.17,"May 08, 20",0.0032015
2020-05-11,53.03,53.46,52.93,53.28,46.04,16942600,16942600,0.25,0.47143,53.175,"May 11, 20",0.0047143
2020-05-12,53.39,53.48,52.57,52.57,45.42,18373506,18373506,-0.82,-1.54,53.0025,"May 12, 20",-0.0154
2020-05-13,52.89,52.91,51.93,52.17,45.08,19661426,19661426,-0.72,-1.36,52.475,"May 13, 20",-0.0136
2020-05-14,50.98,51.71,50.64,51.64,44.62,18726805,18726805,0.66,1.29,51.2425,"May 14, 20",0.0129
2020-05-15,51.58,51.91,51.37,51.72,44.69,12473700,12473700,0.14,0.27142,51.645,"May 15, 20",0.0027142
2020-05-18,53.02,53.93,53.01,53.81,46.5,12390111,12390111,0.79,1.49,53.4425,"May 18, 20",0.0149
2020-05-19,53.46,53.7,53.11,53.14,45.92,13887800,13887800,-0.32,-0.59858,53.3525,"May 19, 20",-0.0059858
2020-05-20,54.12,54.47,54.02,54.21,46.84,13304700,13304700,0.09,0.1663,54.205,"May 20, 20",0.001663
2020-05-21,54.04,54.18,53.45,53.63,46.34,10206700,10206700,-0.41,-0.7587,53.825,"May 21, 20",-0.007587
2020-05-22,53.38,53.53,53.14,53.53,46.25,8767900,8767900,0.15,0.281,53.395,"May 22, 20",0.00281
2020-05-26,55.15,55.36,55.02,55.04,47.56,10846900,10846900,-0.11,-0.19946,55.1425,"May 26, 20",-0.0019946
2020-05-27,55.75,55.75,55.13,55.7,48.13,12110700,12110700,-0.05,-0.0896861,55.5825,"May 27, 20",-0.000896861
2020-05-28,56.38,56.81,56.19,56.22,48.58,15359100,15359100,-0.16,-0.28379,56.4,"May 28, 20",-0.0028379
2020-05-29,56.11,56.16,55.45,56.03,48.41,20448100,20448100,-0.08,-0.14258,55.9375,"May 29, 20",-0.0014258
2020-06-01,56.53,57.33,56.44,57.33,49.54,9788160,9788160,0.8,1.42,56.9075,"June 01, 20",0.0142
