date,Open,High,Low,Close,adjClose,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-04-03,223.85,225.22,216.8,218.39,211.5,1553803,1553803,-5.46,-2.44,221.065,"April 03, 20",-0.0244
2020-04-06,231.73,241.69,227.17,240.12,232.54,2535600,2535600,8.39,3.62,235.1775,"April 06, 20",0.0362
2020-04-07,247.62,248.98,239.02,239.76,232.19,1466226,1466226,-7.86,-3.17,243.845,"April 07, 20",-0.0317
2020-04-08,241.46,247.86,240.38,245.93,238.17,1223245,1223245,4.47,1.85,243.9075,"April 08, 20",0.0185
2020-04-09,246.81,254.94,245.87,252.1,244.67,1646900,1646900,5.29,2.14,249.93,"April 09, 20",0.0214
2020-04-13,250.71,252.77,244.56,250.09,242.72,1298900,1298900,-0.62,-0.2473,249.5325,"April 13, 20",-0.002473
2020-04-14,257.18,262.35,252.66,261.32,253.62,1817931,1817931,4.14,1.61,258.3775,"April 14, 20",0.0161
2020-04-15,256.95,257.47,250.73,251.96,244.53,1198795,1198795,-4.99,-1.94,254.2775,"April 15, 20",-0.0194
2020-04-16,256.15,259.47,251.84,257.44,249.85,1087735,1087735,1.29,0.50361,256.225,"April 16, 20",0.0050361
2020-04-17,264.73,267.33,259.01,265.36,257.54,1423658,1423658,0.63,0.23798,264.1075,"April 17, 20",0.0023798
2020-04-20,260.49,267.92,260.33,264.0,256.22,1297402,1297402,3.51,1.35,263.185,"April 20, 20",0.0135
2020-04-21,259.48,260.88,246.42,249.15,241.81,1525800,1525800,-10.33,-3.98,253.9825,"April 21, 20",-0.0398
2020-04-22,254.91,265.91,252.01,263.85,256.07,1258667,1258667,8.94,3.51,259.17,"April 22, 20",0.0351
2020-04-23,263.03,267.8,256.98,258.06,250.45,1309228,1309228,-4.97,-1.89,261.4675,"April 23, 20",-0.0189
2020-04-24,260.18,264.84,256.58,263.66,255.89,1069900,1069900,3.48,1.34,261.315,"April 24, 20",0.0134
2020-04-27,267.43,273.08,265.22,271.83,263.82,941200,941200,4.4,1.65,269.39,"April 27, 20",0.0165
2020-04-28,273.34,276.98,265.78,266.31,258.46,1000036,1000036,-7.03,-2.57,270.6025,"April 28, 20",-0.0257
2020-04-29,269.91,274.94,267.69,273.43,265.37,1132413,1132413,3.52,1.3,271.4925,"April 29, 20",0.013
2020-04-30,272.76,275.1,268.22,269.81,261.86,1410900,1410900,-2.95,-1.08,271.4725,"April 30, 20",-0.0108
2020-05-01,265.33,267.53,259.75,261.13,253.43,1193600,1193600,-4.2,-1.58,263.435,"May 01, 20",-0.0158
2020-05-04,259.0,268.01,258.3,267.78,259.89,1366645,1366645,8.78,3.39,263.2725,"May 04, 20",0.0339
2020-05-05,270.08,277.84,269.54,274.48,266.39,1052743,1052743,4.4,1.63,272.985,"May 05, 20",0.0163
2020-05-06,276.01,278.24,273.89,275.87,267.74,754522,754522,-0.14,-0.0507228,276.0025,"May 06, 20",-0.000507228
2020-05-07,278.99,284.04,278.25,280.8,272.52,955230,955230,1.81,0.64877,280.52,"May 07, 20",0.0064877
2020-05-08,282.0,282.96,277.16,280.36,272.1,1209530,1209530,-1.64,-0.58156,280.62,"May 08, 20",-0.0058156
2020-05-11,280.47,289.28,279.64,287.84,279.36,882246,882246,7.37,2.63,284.3075,"May 11, 20",0.0263
2020-05-12,288.99,289.77,280.73,281.68,273.38,933500,933500,-7.31,-2.53,285.2925,"May 12, 20",-0.0253
2020-05-13,281.58,286.17,273.55,277.16,268.99,957182,957182,-4.42,-1.57,279.615,"May 13, 20",-0.0157
2020-05-14,274.94,280.56,270.91,280.27,272.01,912900,912900,5.33,1.94,276.67,"May 14, 20",0.0194
2020-05-15,277.24,285.08,276.59,284.39,276.01,850000,850000,7.15,2.58,280.825,"May 15, 20",0.0258
2020-05-18,290.87,295.37,286.41,290.37,281.81,1187835,1187835,-0.5,-0.1719,290.755,"May 18, 20",-0.001719
