date,Open,High,Low,Close,adjClose,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2021-01-04,11.1252,11.2499,10.5,10.8,10.8,150491,150500,-0.3252,-2.92,10.85,"January 04, 21",-0.0292
2021-01-05,10.85,11.83,10.75,11.11,11.11,165312,165300,0.26,2.4,11.23,"January 05, 21",0.024
2021-01-06,11.5,11.5,11.0,11.05,11.05,175597,175600,-0.45,-3.91,11.18,"January 06, 21",-0.0391
2021-01-07,11.5,11.5,11.05,11.11,11.11,94302,94200,-0.39,-3.39,11.22,"January 07, 21",-0.0339
2021-01-08,11.65,12.35,11.0,11.01,11.01,137470,137500,-0.64,-5.49,11.45,"January 08, 21",-0.0549
2021-01-11,11.8,11.8,10.8,11.17,11.17,162646,162600,-0.63,-5.34,11.26,"January 11, 21",-0.0534
2021-01-12,11.8,11.8,11.07,11.18,11.18,210156,210700,-0.62,-5.25,11.35,"January 12, 21",-0.0525
2021-01-13,11.34,11.37,10.97,11.2,11.2,386105,386100,-0.14,-1.23,11.18,"January 13, 21",-0.0123
2021-01-14,11.31,11.7,11.225,11.44,11.44,291118,291000,0.13,1.15,11.45,"January 14, 21",0.0115
2021-01-15,11.57,11.79,11.11,11.22,11.22,269711,269600,-0.35,-3.03,11.37,"January 15, 21",-0.0303
2021-01-19,11.4,11.48,11.09,11.32,11.32,574096,573900,-0.08,-0.70175,11.3,"January 19, 21",-0.0070175
2021-01-20,11.33,11.45,11.25,11.32,11.32,434250,434000,-0.01,-0.08826125,11.34,"January 20, 21",-0.0008826125
2021-01-21,11.39,11.72,11.24,11.5,11.5,401628,401600,0.11,0.96576,11.49,"January 21, 21",0.0096576
2021-01-22,11.55,12.2,11.5,12.0,12.0,503899,503900,0.45,3.9,11.9,"January 22, 21",0.039
2021-01-25,12.5,12.58,11.8,12.09,12.09,621123,621100,-0.41,-3.28,12.16,"January 25, 21",-0.0328
2021-01-26,12.38,12.45,11.83,11.91,11.91,695021,695000,-0.47,-3.8,12.06,"January 26, 21",-0.038
2021-01-27,11.52,11.68,11.26,11.45,11.45,919681,919500,-0.07,-0.60764,11.46,"January 27, 21",-0.0060764
2021-01-28,11.5,11.68,11.35,11.37,11.37,183553,183400,-0.13,-1.13,11.47,"January 28, 21",-0.0113
2021-01-29,11.42,11.45,11.1,11.35,11.35,230928,230900,-0.07,-0.61296,11.3,"January 29, 21",-0.0061296
2021-02-01,11.45,11.68,11.4,11.55,11.55,244758,244800,0.1,0.87336,11.54,"February 01, 21",0.0087336
2021-02-02,11.77,12.12,11.72,11.9,11.9,159266,159600,0.13,1.1,11.91,"February 02, 21",0.011
2021-02-03,11.98,12.21,11.96,12.0,12.0,164570,164600,0.02,0.16694,12.06,"February 03, 21",0.0016694
2021-02-04,12.15,12.21,11.93,11.99,11.99,141966,142000,-0.16,-1.32,12.04,"February 04, 21",-0.0132
2021-02-05,12.2,12.2,11.74,11.76,11.76,162389,162400,-0.44,-3.61,11.9,"February 05, 21",-0.0361
2021-02-08,11.98,11.98,11.58,11.78,11.78,527863,527500,-0.2,-1.67,11.78,"February 08, 21",-0.0167
2021-02-09,11.77,11.99,11.56,11.99,11.99,240406,240500,0.22,1.87,11.85,"February 09, 21",0.0187
2021-02-10,11.86,11.91,11.65,11.88,11.88,151281,151300,0.02,0.16863,11.81,"February 10, 21",0.0016863
2021-02-11,11.88,11.94,11.56,11.77,11.77,83288,83200,-0.11,-0.92593,11.76,"February 11, 21",-0.0092593
2021-02-12,11.65,11.8,11.61,11.8,11.8,117201,117200,0.15,1.29,11.74,"February 12, 21",0.0129
2021-02-16,11.8,11.89,11.61,11.7,11.7,265468,265500,-0.1,-0.84746,11.73,"February 16, 21",-0.0084746
2021-02-17,11.85,11.85,11.67,11.81,11.81,157867,177400,-0.04,-0.33755,11.78,"February 17, 21",-0.0033755
2021-02-18,12.27,12.46,12.11,12.24,12.24,460259,460300,-0.03,-0.2445,12.27,"February 18, 21",-0.002445
2021-02-19,12.37,13.19,12.37,12.71,12.71,424275,424300,0.34,2.75,12.76,"February 19, 21",0.0275
2021-02-22,12.66,13.29,12.5579,12.75,12.75,502920,506900,0.09,0.7109,12.87,"February 22, 21",0.007109
2021-02-23,12.25,12.32,11.4,12.14,12.14,379651,379700,-0.11,-0.89796,11.95,"February 23, 21",-0.0089796
2021-02-24,14.05,15.39,13.61,14.44,14.44,7375259,7375300,0.39,2.78,14.48,"February 24, 21",0.0278
2021-02-25,14.0,14.56,13.0326,13.12,13.12,2025099,2067400,-0.88,-6.29,13.57,"February 25, 21",-0.0629
2021-02-26,13.34,14.8,12.6,14.47,14.47,1702242,1714800,1.13,8.47,13.96,"February 26, 21",0.0847
2021-03-01,14.61,14.84,13.7,14.6,14.6,960549,959500,-0.01,-0.06844627,14.38,"March 01, 21",-0.0006844627
2021-03-02,14.5,14.75,12.86,12.86,12.86,830073,830100,-1.64,-11.31,13.49,"March 02, 21",-0.1131
2021-03-03,13.0,13.15,11.73,11.87,11.87,1067132,1067100,-1.13,-8.69,12.25,"March 03, 21",-0.0869
