date,Open,High,Low,Close,adjClose,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-04-03,236.98,239.88,230.31,237.03,230.46,4163000,4163000,0.05,0.02109883,236.05,"April 03, 20",0.0002109883
2020-04-06,252.0,267.11,250.01,265.94,258.57,8636717,8636717,13.94,5.53,258.765,"April 06, 20",0.0553
2020-04-07,281.61,282.87,258.48,259.08,251.9,8635902,8635902,-22.53,-8.0,270.51,"April 07, 20",-0.08
2020-04-08,262.51,271.88,258.91,270.95,263.85,5690100,5690100,8.44,3.22,266.0625,"April 08, 20",0.0322
2020-04-09,275.13,276.0,267.72,269.4,262.34,6662932,6662932,-5.73,-2.08,272.0625,"April 09, 20",-0.0208
2020-04-13,268.2,268.7,255.75,263.34,256.44,7114446,7114446,-4.86,-1.81,263.9975,"April 13, 20",-0.0181
2020-04-14,269.88,275.64,269.2,270.72,263.63,6354413,6354413,0.84,0.31125,271.36,"April 14, 20",0.0031125
2020-04-15,260.51,262.95,255.62,257.14,250.4,10240700,10240700,-3.37,-1.29,259.055,"April 15, 20",-0.0129
2020-04-16,258.39,258.39,244.71,246.76,240.29,11455445,11455445,-11.63,-4.5,252.0625,"April 16, 20",-0.045
2020-04-17,258.25,260.7,251.51,259.97,253.16,10412100,10412100,1.72,0.66602,257.6075,"April 17, 20",0.0066602
2020-04-20,254.51,256.63,249.67,251.73,245.13,6042740,6042740,-2.78,-1.09,253.135,"April 20, 20",-0.0109
2020-04-21,246.65,249.39,244.1,245.35,238.92,5964645,5964645,-1.3,-0.52706,246.3725,"April 21, 20",-0.0052706
2020-04-22,251.46,258.6,251.0,256.91,250.18,5085293,5085293,5.45,2.17,254.4925,"April 22, 20",0.0217
2020-04-23,259.39,262.42,255.27,255.86,249.15,4270600,4270600,-3.53,-1.36,258.235,"April 23, 20",-0.0136
2020-04-24,258.43,259.83,252.83,258.76,251.98,3824653,3824653,0.33,0.12769,257.4625,"April 24, 20",0.0012769
2020-04-27,260.22,265.72,259.51,265.12,258.17,4099900,4099900,4.9,1.88,262.6425,"April 27, 20",0.0188
2020-04-28,270.4,272.65,262.96,264.6,257.67,4344000,4344000,-5.8,-2.14,267.6525,"April 28, 20",-0.0214
2020-04-29,278.45,285.0,276.26,283.69,276.26,8505034,8505034,5.24,1.88,280.85,"April 29, 20",0.0188
2020-04-30,278.43,281.63,273.41,274.97,267.76,5898945,5898945,-3.46,-1.24,277.11,"April 30, 20",-0.0124
2020-05-01,268.7,273.99,267.21,268.74,261.7,5067800,5067800,0.04,0.01488649,269.66,"May 01, 20",0.0001488649
2020-05-04,265.5,270.07,263.01,269.26,262.2,3747543,3747543,3.76,1.42,266.96,"May 04, 20",0.0142
2020-05-05,276.84,277.85,273.3,273.98,266.8,3926219,3926219,-2.86,-1.03,275.4925,"May 05, 20",-0.0103
2020-05-06,276.96,276.96,271.55,272.44,265.3,3261900,3261900,-4.52,-1.63,274.4775,"May 06, 20",-0.0163
2020-05-07,277.81,282.45,277.24,278.47,271.17,4372140,4372140,0.66,0.23757,278.9925,"May 07, 20",0.0023757
2020-05-08,283.4,283.42,279.5,282.44,275.04,3217825,3217825,-0.96,-0.33874,282.19,"May 08, 20",-0.0033874
2020-05-11,279.5,282.81,277.63,281.23,273.86,4056915,4056915,1.73,0.61896,280.2925,"May 11, 20",0.0061896
2020-05-12,280.45,282.33,272.11,272.11,264.98,4031400,4031400,-8.34,-2.97,276.75,"May 12, 20",-0.0297
2020-05-13,272.3,276.07,264.19,269.16,262.11,4802100,4802100,-3.14,-1.15,270.43,"May 13, 20",-0.0115
2020-05-14,270.2,277.56,263.96,277.31,270.04,6294224,6294224,7.11,2.63,272.2575,"May 14, 20",0.0263
2020-05-15,276.04,279.14,273.29,278.94,271.63,3813349,3813349,2.9,1.05,276.8525,"May 15, 20",0.0105
2020-05-18,285.46,292.09,285.0,289.9,282.3,6042025,6042025,4.44,1.56,288.1125,"May 18, 20",0.0156
