date,Open,High,Low,Close,adjClose,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-04-03,56.9,57.09,55.95,56.2,50.94,3424605,3424605,-0.7,-1.23,56.535,"April 03, 20",-0.0123
2020-04-06,57.88,58.48,57.56,58.41,52.95,4778900,4778900,0.53,0.91569,58.0825,"April 06, 20",0.0091569
2020-04-07,59.8,59.8,58.22,58.42,52.95,4721406,4721406,-1.38,-2.31,59.06,"April 07, 20",-0.0231
2020-04-08,58.4,58.62,57.91,58.47,53.0,3019592,3019592,0.07,0.11986,58.35,"April 08, 20",0.0011986
2020-04-09,58.79,59.27,58.18,58.39,52.93,3419300,3419300,-0.4,-0.68039,58.6575,"April 09, 20",-0.0068039
2020-04-13,58.4,58.62,57.88,58.49,53.02,2014240,2014240,0.09,0.15411,58.3475,"April 13, 20",0.0015411
2020-04-14,59.58,60.01,59.58,59.74,54.15,3723210,3723210,0.16,0.26855,59.7275,"April 14, 20",0.0026855
2020-04-15,58.66,59.24,58.49,59.04,53.52,3600906,3600906,0.38,0.6478,58.8575,"April 15, 20",0.006478
2020-04-16,59.61,59.86,59.4,59.7,54.11,3841500,3841500,0.09,0.15098,59.6425,"April 16, 20",0.0015098
2020-04-17,60.53,60.6,59.81,60.17,54.54,2980246,2980246,-0.36,-0.59475,60.2775,"April 17, 20",-0.0059475
2020-04-20,59.92,60.68,59.89,60.08,54.46,2749200,2749200,0.16,0.26702,60.1425,"April 20, 20",0.0026702
2020-04-21,59.07,59.18,58.47,58.66,53.17,3188500,3188500,-0.41,-0.69409,58.845,"April 21, 20",-0.0069409
2020-04-22,60.14,60.22,59.9,59.95,54.34,1620300,1620300,-0.19,-0.31593,60.0525,"April 22, 20",-0.0031593
2020-04-23,60.21,60.44,59.46,59.51,53.94,2687000,2687000,-0.7,-1.16,59.905,"April 23, 20",-0.0116
2020-04-24,59.86,59.87,59.25,59.66,54.08,1227241,1227241,-0.2,-0.33411,59.66,"April 24, 20",-0.0033411
2020-04-27,60.4,60.56,60.21,60.51,54.85,5079700,5079700,0.11,0.18212,60.42,"April 27, 20",0.0018212
2020-04-28,61.29,61.35,60.28,60.32,54.68,6184649,6184649,-0.97,-1.58,60.81,"April 28, 20",-0.0158
2020-04-29,61.0,61.53,60.89,61.34,55.6,3224200,3224200,0.34,0.55738,61.19,"April 29, 20",0.0055738
2020-04-30,61.13,61.36,59.6,59.98,54.37,4178498,4178498,-1.15,-1.88,60.5175,"April 30, 20",-0.0188
2020-05-01,58.58,58.66,57.57,57.69,52.29,5072900,5072900,-0.89,-1.52,58.125,"May 01, 20",-0.0152
2020-05-04,57.8,57.92,57.5,57.9,52.48,2678734,2678734,0.1,0.17301,57.78,"May 04, 20",0.0017301
2020-05-05,58.79,59.08,58.63,58.71,53.22,2567400,2567400,-0.08,-0.13608,58.8025,"May 05, 20",-0.0013608
2020-05-06,59.51,59.75,59.1,59.14,53.61,1558227,1558227,-0.37,-0.62174,59.375,"May 06, 20",-0.0062174
2020-05-07,59.67,59.81,59.37,59.63,54.05,1581400,1581400,-0.04,-0.06703536,59.62,"May 07, 20",-0.0006703536
2020-05-08,60.62,61.2,60.45,61.05,55.34,2317332,2317332,0.43,0.70934,60.83,"May 08, 20",0.0070934
2020-05-11,60.98,61.42,60.96,61.23,55.5,3385104,3385104,0.25,0.40997,61.1475,"May 11, 20",0.0040997
2020-05-12,61.49,61.81,60.76,60.76,55.08,5519346,5519346,-0.73,-1.19,61.205,"May 12, 20",-0.0119
2020-05-13,61.66,61.9,60.59,61.0,55.29,4296133,4296133,-0.66,-1.07,61.2875,"May 13, 20",-0.0107
2020-05-14,59.82,60.93,59.54,60.83,55.14,4846836,4846836,1.01,1.69,60.28,"May 14, 20",0.0169
2020-05-15,59.95,60.37,59.89,60.31,54.67,2515107,2515107,0.36,0.6005,60.13,"May 15, 20",0.006005
2020-05-18,61.88,62.86,61.82,62.7,56.83,4352200,4352200,0.82,1.33,62.315,"May 18, 20",0.0133
2020-05-19,62.64,63.14,62.45,62.48,56.63,2462716,2462716,-0.16,-0.25543,62.6775,"May 19, 20",-0.0025543
2020-05-20,63.38,63.59,62.29,62.89,57.01,4230757,4230757,-0.49,-0.77311,63.0375,"May 20, 20",-0.0077311
2020-05-21,61.53,61.82,61.03,61.35,55.61,4021600,4021600,-0.18,-0.29254,61.4325,"May 21, 20",-0.0029254
2020-05-22,59.92,59.92,59.01,59.08,53.55,7005100,7005100,-0.84,-1.4,59.4825,"May 22, 20",-0.014
2020-05-26,60.67,61.08,60.07,60.17,54.54,6472428,6472428,-0.5,-0.82413,60.4975,"May 26, 20",-0.0082413
2020-05-27,60.23,60.23,59.18,59.68,54.1,6224782,6224782,-0.55,-0.91317,59.83,"May 27, 20",-0.0091317
2020-05-28,59.67,60.11,59.18,59.24,53.7,9012307,9012307,-0.43,-0.72063,59.55,"May 28, 20",-0.0072063
2020-05-29,59.93,61.11,59.47,61.0,55.29,5977057,5977057,1.07,1.79,60.3775,"May 29, 20",0.0179
2020-06-01,61.36,62.09,61.32,62.07,56.26,3584891,3584891,0.71,1.16,61.71,"June 01, 20",0.0116
2020-06-02,62.55,63.54,62.47,63.43,57.5,2957100,2957100,0.88,1.41,62.9975,"June 02, 20",0.0141
2020-06-03,63.87,64.48,63.66,64.33,58.31,3388078,3388078,0.46,0.72021,64.085,"June 03, 20",0.0072021
2020-06-04,63.72,64.14,63.31,63.61,57.66,2165905,2165905,-0.11,-0.17263,63.695,"June 04, 20",-0.0017263
2020-06-05,64.65,64.99,64.57,64.7,58.65,4795400,4795400,0.05,0.07733952,64.7275,"June 05, 20",0.0007733952
2020-06-08,64.39,64.52,63.91,64.52,58.48,3295902,3295902,0.13,0.20189,64.335,"June 08, 20",0.0020189
2020-06-09,63.93,64.54,63.77,64.44,58.41,6751028,6751028,0.51,0.79775,64.17,"June 09, 20",0.0079775
2020-06-10,64.88,65.55,64.6,65.28,59.17,5596808,5596808,0.4,0.61652,65.0775,"June 10, 20",0.0061652
2020-06-11,63.72,64.04,62.72,62.81,56.93,7865500,7865500,-0.91,-1.43,63.3225,"June 11, 20",-0.0143
