date,Open,High,Low,Close,adjClose,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-04-03,452.72,460.96,443.01,454.47,454.47,868470,868500,1.75,0.38655,450.52,"April 03, 20",0.0038655
2020-04-06,473.88,509.25,470.09,506.16,506.16,688257,688300,32.28,6.81,497.3,"April 06, 20",0.0681
2020-04-07,547.19,554.93,507.5881,525.67,525.669983,711511,711400,-21.52,-3.93,529.91,"April 07, 20",-0.0393
2020-04-08,536.25,548.0,527.08,544.0,544.0,391283,391200,7.75,1.45,539.45,"April 08, 20",0.0145
2020-04-09,551.04,557.85,527.08,533.28,533.28,497028,497000,-17.76,-3.22,536.09,"April 09, 20",-0.0322
2020-04-13,528.02,546.99,517.01,543.0,543.0,401423,401100,14.98,2.84,532.42,"April 13, 20",0.0284
2020-04-14,558.72,577.24,551.62,562.02,562.02,644479,644500,3.3,0.59064,566.52,"April 14, 20",0.0059064
2020-04-15,551.87,595.836,540.9,588.64,588.64,667031,667000,36.77,6.66,577.16,"April 15, 20",0.0666
2020-04-16,611.25,633.2,590.01,612.71,612.71,932903,932500,1.46,0.23885,611.2,"April 16, 20",0.0023885
2020-04-17,626.18,628.13,582.805,597.5,597.5,558253,558200,-28.68,-4.58,599.73,"April 17, 20",-0.0458
2020-04-20,593.72,617.9638,591.0,601.64,601.64,550706,550600,7.92,1.33,606.45,"April 20, 20",0.0133
2020-04-21,595.72,598.15,562.0,573.38,573.38,546844,546700,-22.34,-3.75,575.31,"April 21, 20",-0.0375
2020-04-22,586.99,615.0,570.085,601.05,601.049988,669957,670000,14.06,2.4,597.85,"April 22, 20",0.024
2020-04-23,609.01,614.995,582.13,586.71,586.71,429297,429300,-22.3,-3.66,596.38,"April 23, 20",-0.0366
2020-04-24,590.26,597.13,553.61,571.27,571.27,728613,728600,-18.99,-3.22,568.96,"April 24, 20",-0.0322
2020-04-27,591.43,593.0,575.0,589.47,589.469971,398845,398800,-1.96,-0.3314,584.53,"April 27, 20",-0.003314
2020-04-28,592.02,606.36,589.0,598.54,598.539978,456828,456600,6.52,1.1,597.19,"April 28, 20",0.011
2020-04-29,605.01,611.76,591.04,602.42,602.419983,497320,497200,-2.59,-0.42809,599.57,"April 29, 20",-0.0042809
2020-04-30,603.87,606.69,579.01,583.51,583.51,604468,604100,-20.36,-3.37,587.9,"April 30, 20",-0.0337
2020-05-01,571.4,609.81,570.01,605.52,605.52,699100,699100,34.12,5.97,599.96,"May 01, 20",0.0597
2020-05-04,596.3,610.4,592.72,607.4,607.4,415834,415700,11.1,1.86,604.67,"May 04, 20",0.0186
2020-05-05,618.85,633.9,610.83,620.94,620.94,861762,861800,2.09,0.33772,621.13,"May 05, 20",0.0033772
2020-05-06,734.0,777.97,729.09,742.88,742.88,2359081,2359100,8.88,1.21,746.93,"May 06, 20",0.0121
2020-05-07,750.0,772.72,738.675,772.02,772.02,853094,852800,22.02,2.94,756.01,"May 07, 20",0.0294
2020-05-08,773.59,798.1,761.4102,784.52,784.52,629401,629400,10.93,1.41,785.02,"May 08, 20",0.0141
2020-05-11,780.0,805.84,776.59,781.11,781.109985,501292,501000,1.11,0.14231,790.43,"May 11, 20",0.0014231
2020-05-12,785.16,794.43,761.25,762.09,762.09,512676,512500,-23.07,-2.94,777.19,"May 12, 20",-0.0294
2020-05-13,765.61,777.98,753.1232,768.54,768.539978,645888,645800,2.93,0.3827,766.04,"May 13, 20",0.003827
2020-05-14,760.03,778.95,746.01,777.27,777.27,487434,487300,17.24,2.27,764.08,"May 14, 20",0.0227
2020-05-15,764.27,783.74,764.27,775.05,775.049988,350538,350500,10.78,1.41,774.48,"May 15, 20",0.0141
2020-05-18,792.53,804.65,786.03,794.56,794.559998,426164,426100,2.03,0.25614,795.38,"May 18, 20",0.0025614
2020-05-19,802.88,827.33,799.245,805.96,805.96,672610,672500,3.08,0.38362,812.67,"May 19, 20",0.0038362
2020-05-20,821.05,842.7,817.2238,828.31,828.309998,526673,526700,7.26,0.88423,828.94,"May 20, 20",0.0088423
2020-05-21,825.61,831.02,802.06,814.71,814.71,482345,482300,-10.9,-1.32,814.98,"May 21, 20",-0.0132
2020-05-22,812.99,843.38,804.85,841.31,841.309998,440683,440500,28.32,3.48,833.17,"May 22, 20",0.0348
2020-05-26,859.14,864.05,828.32,834.17,834.169983,546350,546300,-24.97,-2.91,843.59,"May 26, 20",-0.0291
2020-05-27,833.86,836.285,783.01,820.83,820.83,647723,647700,-13.03,-1.56,805.33,"May 27, 20",-0.0156
2020-05-28,817.11,838.43,811.21,827.16,827.159973,360756,360300,10.05,1.23,826.86,"May 28, 20",0.0123
2020-05-29,835.0,855.0,830.945,851.67,851.669983,555378,554900,16.67,2.0,842.59,"May 29, 20",0.02
2020-06-01,852.67,860.7076,842.0,844.08,844.08,298951,298900,-8.59,-1.01,848.78,"June 01, 20",-0.0101
2020-06-02,844.5,867.23,837.76,859.77,859.77,469014,469000,15.27,1.81,856.54,"June 02, 20",0.0181
