date,Open,High,Low,Close,adjClose,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-04-03,157.15,157.91,150.83,154.18,153.46,25983317,25983317,-2.97,-1.89,155.0175,"April 03, 20",-0.0189
2020-04-06,160.15,166.2,158.51,165.55,164.77,28453600,28453600,5.4,3.37,162.6025,"April 06, 20",0.0337
2020-04-07,171.79,173.39,166.01,168.83,168.04,31411919,31411919,-2.96,-1.72,170.005,"April 07, 20",-0.0172
2020-04-08,171.25,175.0,167.74,174.28,173.46,21664200,21664200,3.03,1.77,172.0675,"April 08, 20",0.0177
2020-04-09,175.9,177.08,171.57,175.19,174.37,23534300,23534300,-0.71,-0.40364,174.935,"April 09, 20",-0.0040364
2020-04-13,173.67,175.0,169.45,174.79,173.97,19355400,19355400,1.12,0.6449,173.2275,"April 13, 20",0.006449
2020-04-14,178.98,181.23,176.62,178.17,177.33,21011815,21011815,-0.8065,-0.45256,178.75,"April 14, 20",-0.0045256
2020-04-15,175.19,178.19,172.82,176.97,176.14,17423003,17423003,1.78,1.02,175.7925,"April 15, 20",0.0102
2020-04-16,177.95,178.05,172.51,176.25,175.42,23593229,23593229,-1.7,-0.95532,176.19,"April 16, 20",-0.0095532
2020-04-17,179.2,180.28,176.66,179.24,178.4,20974800,20974800,0.04,0.02232143,178.845,"April 17, 20",0.0002232143
2020-04-20,177.41,180.5,176.77,178.24,177.4,16110700,16110700,0.83,0.46784,178.23,"April 20, 20",0.0046784
2020-04-21,175.25,175.38,168.34,170.8,170.0,24850528,24850528,-4.45,-2.54,172.4425,"April 21, 20",-0.0254
2020-04-22,178.45,184.78,178.14,182.28,181.42,33369931,33369931,3.83,2.15,180.9125,"April 22, 20",0.0215
2020-04-23,184.08,187.05,183.15,185.13,184.26,21426604,21426604,1.05,0.5704,184.8525,"April 23, 20",0.005704
2020-04-24,183.23,190.41,180.83,190.07,189.18,28868528,28868528,6.84,3.73,186.135,"April 24, 20",0.0373
2020-04-27,192.66,193.75,187.41,187.5,186.62,29197800,29197800,-5.16,-2.68,190.33,"April 27, 20",-0.0268
2020-04-28,188.66,189.2,182.56,182.91,182.05,21731000,21731000,-5.75,-3.05,185.8325,"April 28, 20",-0.0305
2020-04-29,190.93,196.91,190.0,194.19,193.28,45954521,45954521,3.26,1.71,193.0075,"April 29, 20",0.0171
2020-04-30,206.92,209.69,201.57,204.71,203.75,46230116,46230116,-2.21,-1.07,205.7225,"April 30, 20",-0.0107
2020-05-01,201.6,207.28,199.05,202.27,201.32,30415600,30415600,0.67,0.33234,202.55,"May 01, 20",0.0033234
2020-05-04,200.2,205.91,198.76,205.26,204.3,19250700,19250700,5.06,2.53,202.5325,"May 04, 20",0.0253
2020-05-05,207.02,210.38,206.5,207.07,206.1,21071223,21071223,0.05,0.02415226,207.7425,"May 05, 20",0.0002415226
2020-05-06,208.12,211.6,206.66,208.47,207.49,21857000,21857000,0.35,0.16817,208.7125,"May 06, 20",0.0016817
2020-05-07,211.16,211.6,209.04,211.26,210.27,15152000,15152000,0.1,0.04735745,210.765,"May 07, 20",0.0004735745
2020-05-08,212.24,213.21,210.85,212.35,211.35,12524048,12524048,0.11,0.05182812,212.1625,"May 08, 20",0.0005182812
2020-05-11,210.89,215.0,210.37,213.18,212.18,12911948,12911948,2.29,1.09,212.36,"May 11, 20",0.0109
2020-05-12,213.29,215.28,210.0,210.1,209.11,14704647,14704647,-3.19,-1.5,212.1675,"May 12, 20",-0.015
2020-05-13,209.43,210.78,202.11,205.1,204.14,20684600,20684600,-4.33,-2.07,206.855,"May 13, 20",-0.0207
2020-05-14,202.56,206.93,200.69,206.81,205.84,17178947,17178947,4.25,2.1,204.2475,"May 14, 20",0.021
2020-05-15,205.27,211.34,204.12,210.88,209.89,19383200,19383200,5.61,2.73,207.9025,"May 15, 20",0.0273
2020-05-18,212.15,214.64,210.94,213.19,212.19,20167443,20167443,1.04,0.49022,212.73,"May 18, 20",0.0049022
2020-05-19,213.27,220.49,212.83,216.88,215.86,31843200,31843200,3.61,1.69,215.8675,"May 19, 20",0.0169
2020-05-20,223.5,231.34,223.19,229.97,228.89,50162900,50162900,6.47,2.89,227.0,"May 20, 20",0.0289
2020-05-21,234.72,237.2,231.2,231.39,230.3,47782636,47782636,-3.33,-1.42,233.6275,"May 21, 20",-0.0142
2020-05-22,231.51,235.99,228.74,234.91,233.81,33925600,33925600,3.4,1.47,232.7875,"May 22, 20",0.0147
2020-05-26,239.77,240.9,231.67,232.2,231.11,33178318,33178318,-7.57,-3.16,236.135,"May 26, 20",-0.0316
2020-05-27,229.07,230.56,221.13,229.14,228.07,34697600,34697600,0.07,0.03055834,227.475,"May 27, 20",0.0003055834
2020-05-28,224.3,231.63,224.0,225.46,224.4,29423013,29423013,1.16,0.51716,226.3475,"May 28, 20",0.0051716
2020-05-29,225.2,227.49,222.88,225.09,224.03,23322476,23322476,-0.11,-0.04884547,225.165,"May 29, 20",-0.0004884547
2020-06-01,224.59,232.44,223.5,231.91,230.82,18223839,18223839,7.32,3.26,228.11,"June 01, 20",0.0326
2020-06-02,230.94,233.0,226.56,232.72,231.63,20919018,20919018,1.78,0.77076,230.805,"June 02, 20",0.0077076
2020-06-03,232.11,232.65,228.53,230.16,229.08,15380300,15380300,-1.95,-0.84012,230.8625,"June 03, 20",-0.0084012
2020-06-04,229.56,231.63,224.61,226.29,225.23,17041500,17041500,-3.27,-1.42,228.0225,"June 04, 20",-0.0142
2020-06-05,226.71,231.35,225.31,230.77,229.69,16750438,16750438,4.06,1.79,228.535,"June 05, 20",0.0179
2020-06-08,229.03,231.55,227.41,231.4,230.31,15466500,15466500,2.37,1.03,229.8475,"June 08, 20",0.0103
2020-06-09,231.52,239.77,230.41,238.67,237.55,27462900,27462900,7.15,3.09,235.0925,"June 09, 20",0.0309
2020-06-10,240.96,241.21,235.28,236.73,235.62,20720709,20720709,-4.23,-1.76,238.545,"June 10, 20",-0.0176
2020-06-11,229.94,232.89,223.55,224.43,223.38,26708200,26708200,-5.51,-2.4,227.7025,"June 11, 20",-0.024
2020-06-12,229.9,231.66,224.5,228.58,227.51,22091400,22091400,-1.32,-0.57416,228.66,"June 12, 20",-0.0057416
2020-06-15,225.09,233.77,224.8,232.5,231.41,15340300,15340300,7.41,3.29,229.04,"June 15, 20",0.0329
2020-06-16,237.14,238.46,233.0,235.65,234.54,15236700,15236700,-1.49,-0.62832,236.0625,"June 16, 20",-0.0062832
2020-06-17,235.0,237.59,231.73,235.53,234.43,19578125,19578125,0.53,0.22553,234.9625,"June 17, 20",0.0022553
2020-06-18,234.99,236.14,232.15,235.94,234.83,15782500,15782500,0.95,0.40427,234.805,"June 18, 20",0.0040427
2020-06-19,237.79,240.83,235.55,238.79,237.67,30081300,30081300,1.0,0.42054,238.24,"June 19, 20",0.0042054
2020-06-22,238.56,240.7,236.91,239.22,238.1,18917800,18917800,0.66,0.27666,238.8475,"June 22, 20",0.0027666
2020-06-23,241.28,245.19,239.86,242.24,241.1,24017915,24017915,0.96,0.39788,242.1425,"June 23, 20",0.0039788
2020-06-24,241.2,243.22,232.68,234.02,232.92,20834904,20834904,-7.18,-2.98,237.78,"June 24, 20",-0.0298
2020-06-25,234.62,237.3,232.74,235.68,234.57,18704339,18704339,1.06,0.45179,235.085,"June 25, 20",0.0045179
2020-06-26,232.64,233.09,215.4,216.08,215.07,76343939,76343939,-16.56,-7.12,224.3025,"June 26, 20",-0.0712
2020-06-29,209.75,220.75,207.11,220.64,219.61,58514300,58514300,10.89,5.19,214.5625,"June 29, 20",0.0519
2020-06-30,220.59,227.5,218.47,227.07,226.0,33927100,33927100,6.48,2.94,223.4075,"June 30, 20",0.0294
