date,Open,High,Low,Close,adjClose,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-04-03,283.05,286.6,270.02,270.61,257.93,841400,841400,-12.44,-4.39,277.57,"April 03, 20",-0.0439
2020-04-06,285.54,303.75,280.07,302.49,288.31,617800,617800,16.95,5.94,292.9625,"April 06, 20",0.0594
2020-04-07,312.12,314.5,286.08,286.08,272.67,752447,752447,-26.04,-8.34,299.695,"April 07, 20",-0.0834
2020-04-08,289.98,298.83,286.05,297.18,283.25,624482,624482,7.2,2.48,293.01,"April 08, 20",0.0248
2020-04-09,298.93,313.26,298.8,310.69,296.13,941611,941611,11.76,3.93,305.42,"April 09, 20",0.0393
2020-04-13,308.77,311.0,304.02,309.52,295.01,575300,575300,0.75,0.2429,308.3275,"April 13, 20",0.002429
2020-04-14,317.72,323.44,312.67,313.41,298.72,701002,701002,-4.31,-1.36,316.81,"April 14, 20",-0.0136
2020-04-15,307.42,312.64,300.32,309.62,295.11,743700,743700,2.2,0.71563,307.5,"April 15, 20",0.0071563
2020-04-16,311.57,315.41,306.19,309.4,294.9,660741,660741,-2.17,-0.69647,310.6425,"April 16, 20",-0.0069647
2020-04-17,317.0,322.67,314.01,317.18,302.31,768971,768971,0.18,0.05678233,317.715,"April 17, 20",0.0005678233
2020-04-20,315.57,325.79,310.02,321.95,306.86,621434,621434,6.38,2.02,318.3325,"April 20, 20",0.0202
2020-04-21,315.65,318.86,308.47,311.32,296.73,467900,467900,-4.33,-1.37,313.575,"April 21, 20",-0.0137
2020-04-22,316.71,323.84,314.54,320.62,305.59,640100,640100,3.91,1.23,318.9275,"April 22, 20",0.0123
2020-04-23,320.07,324.33,315.66,317.44,302.56,354230,354230,-2.63,-0.8217,319.375,"April 23, 20",-0.008217
2020-04-24,318.73,326.06,312.48,324.89,309.66,535905,535905,6.16,1.93,320.54,"April 24, 20",0.0193
2020-04-27,329.79,334.41,327.36,331.61,316.07,500800,500800,1.82,0.55187,330.7925,"April 27, 20",0.0055187
2020-04-28,339.0,344.0,311.14,319.16,304.2,916900,916900,-19.84,-5.85,328.325,"April 28, 20",-0.0585
2020-04-29,326.8,337.18,321.97,334.7,319.01,575765,575765,7.9,2.42,330.1625,"April 29, 20",0.0242
2020-04-30,330.53,333.05,323.15,327.0,311.67,771600,771600,-3.53,-1.07,328.4325,"April 30, 20",-0.0107
2020-05-01,320.98,324.94,316.3,319.94,304.94,337400,337400,-1.04,-0.32401,320.54,"May 01, 20",-0.0032401
2020-05-04,317.65,322.63,314.26,321.46,306.39,335300,335300,3.81,1.2,319.0,"May 04, 20",0.012
2020-05-05,326.01,340.22,324.08,337.34,321.53,563100,563100,11.33,3.48,331.9125,"May 05, 20",0.0348
2020-05-06,338.0,341.48,328.29,330.25,314.77,338900,338900,-7.75,-2.29,334.505,"May 06, 20",-0.0229
2020-05-07,336.34,342.58,334.1,334.1,318.44,545444,545444,-2.24,-0.66599,336.78,"May 07, 20",-0.0066599
2020-05-08,338.37,340.52,332.0,333.58,317.94,414224,414224,-4.79,-1.42,336.1175,"May 08, 20",-0.0142
2020-05-11,330.4,349.04,329.46,347.25,330.97,590015,590015,16.85,5.1,339.0375,"May 11, 20",0.051
2020-05-12,350.27,356.66,345.26,347.12,330.85,579931,579931,-3.15,-0.89931,349.8275,"May 12, 20",-0.0089931
2020-05-13,345.21,347.1,331.19,335.62,319.89,585504,585504,-9.59,-2.78,339.78,"May 13, 20",-0.0278
2020-05-14,331.99,342.36,331.68,342.05,326.68,379707,379707,10.06,3.03,337.02,"May 14, 20",0.0303
2020-05-15,340.35,350.03,339.08,341.22,325.89,467100,467100,0.87,0.25562,342.67,"May 15, 20",0.0025562
2020-05-18,348.59,353.2,346.71,346.75,331.17,444100,444100,-1.84,-0.52784,348.8125,"May 18, 20",-0.0052784
2020-05-19,345.99,351.8,337.47,337.53,322.36,518355,518355,-8.46,-2.45,343.1975,"May 19, 20",-0.0245
2020-05-20,341.78,346.55,340.05,341.51,326.16,469424,469424,-0.27,-0.07899819,342.4725,"May 20, 20",-0.0007899819
2020-05-21,341.75,344.37,331.82,333.35,318.37,426230,426230,-8.4,-2.46,337.8225,"May 21, 20",-0.0246
2020-05-22,334.24,339.09,331.02,337.97,322.78,356500,356500,3.73,1.12,335.58,"May 22, 20",0.0112
2020-05-26,345.0,346.18,325.05,326.17,311.51,626258,626258,-18.83,-5.46,335.6,"May 26, 20",-0.0546
2020-05-27,328.53,330.01,311.08,315.17,301.01,937707,937707,-13.36,-4.07,321.1975,"May 27, 20",-0.0407
2020-05-28,317.11,328.5,313.62,322.68,308.18,928900,928900,5.57,1.76,320.4775,"May 28, 20",0.0176
2020-05-29,324.97,331.51,322.84,328.85,314.07,800508,800508,3.88,1.19,327.0425,"May 29, 20",0.0119
2020-06-01,330.32,337.85,326.45,335.37,320.3,468618,468618,5.05,1.53,332.4975,"June 01, 20",0.0153
2020-06-02,336.24,336.28,323.48,324.92,310.32,693300,693300,-11.32,-3.37,330.23,"June 02, 20",-0.0337
2020-06-03,323.92,326.46,313.88,318.58,304.26,853632,853632,-5.34,-1.65,320.71,"June 03, 20",-0.0165
2020-06-04,314.81,321.31,307.4,311.58,297.58,726807,726807,-3.23,-1.03,313.775,"June 04, 20",-0.0103
2020-06-05,311.89,333.11,301.01,330.88,316.01,1190040,1190040,18.99,6.09,319.2225,"June 05, 20",0.0609
2020-06-08,325.7,331.7,320.76,331.09,316.21,742172,742172,5.39,1.65,327.3125,"June 08, 20",0.0165
2020-06-09,329.36,334.9,326.89,327.16,312.46,464840,464840,-2.2,-0.66796,329.5775,"June 09, 20",-0.0066796
2020-06-10,327.95,335.4,326.38,331.27,316.38,438547,438547,3.32,1.01,330.25,"June 10, 20",0.0101
