date,Open,High,Low,Close,adjClose,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-04-03,155.1,157.38,152.19,153.83,147.24,41243300,41243300,-1.27,-0.81883,154.625,"April 03, 20",-0.0081883
2020-04-06,160.32,166.5,157.58,165.27,158.19,67111700,67111700,4.95,3.09,162.4175,"April 06, 20",0.0309
2020-04-07,169.59,170.0,163.26,163.49,156.49,62769038,62769038,-6.09,-3.6,166.585,"April 07, 20",-0.036
2020-04-08,165.67,166.67,163.5,165.13,158.06,48318234,48318234,-0.54,-0.32595,165.2425,"April 08, 20",-0.0032595
2020-04-09,166.36,167.37,163.33,165.14,158.07,51431775,51431775,-1.22,-0.73335,165.55,"April 09, 20",-0.0073335
2020-04-13,164.35,165.57,162.3,165.51,158.42,41905300,41905300,1.16,0.70581,164.4325,"April 13, 20",0.0070581
2020-04-14,169.0,173.75,168.0,173.7,166.26,52874338,52874338,4.7,2.78,171.1125,"April 14, 20",0.0278
2020-04-15,171.2,173.57,169.24,171.88,164.52,40940833,40940833,0.68,0.3972,171.4725,"April 15, 20",0.003972
2020-04-16,174.3,177.28,172.9,177.04,169.46,50479610,50479610,2.74,1.57,175.38,"April 16, 20",0.0157
2020-04-17,179.5,180.0,175.87,178.6,170.95,52765625,52765625,-0.9,-0.50139,178.4925,"April 17, 20",-0.0050139
2020-04-20,176.63,178.75,174.99,175.06,167.56,36669600,36669600,-1.57,-0.88886,176.3575,"April 20, 20",-0.0088886
2020-04-21,173.5,173.67,166.11,167.82,160.63,56203749,56203749,-5.68,-3.27,170.275,"April 21, 20",-0.0327
2020-04-22,171.39,174.0,170.82,173.52,166.09,34651604,34651604,2.13,1.24,172.4325,"April 22, 20",0.0124
2020-04-23,174.11,175.06,170.91,171.42,164.08,32790804,32790804,-2.69,-1.55,172.875,"April 23, 20",-0.0155
2020-04-24,172.06,174.56,170.71,174.55,167.08,34305320,34305320,2.49,1.45,172.97,"April 24, 20",0.0145
2020-04-27,176.59,176.9,173.3,174.05,166.6,33194400,33194400,-2.54,-1.44,175.21,"April 27, 20",-0.0144
2020-04-28,175.59,175.67,169.39,169.81,162.54,34392700,34392700,-5.78,-3.29,172.615,"April 28, 20",-0.0329
2020-04-29,173.22,177.68,171.88,177.43,169.83,51286600,51286600,4.21,2.43,175.0525,"April 29, 20",0.0243
2020-04-30,180.0,180.4,176.23,179.21,171.54,53875900,53875900,-0.79,-0.43889,178.96,"April 30, 20",-0.0043889
