date,Open,High,Low,Close,adjClose,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-04-03,367.47,370.9,357.51,361.76,361.76,4860768,4860800,-5.71,-1.55,361.93,"April 03, 20",-0.0155
2020-04-06,365.22,380.29,361.71,379.96,379.959991,8183921,8183900,14.74,4.04,373.77,"April 06, 20",0.0404
2020-04-07,380.0,381.33,369.34,372.28,372.279999,7046438,7046400,-7.72,-2.03,375.22,"April 07, 20",-0.0203
2020-04-08,374.01,378.39,368.31,371.12,371.119995,6908879,6908900,-2.89,-0.77271,371.84,"April 08, 20",-0.0077271
2020-04-09,371.06,372.1,363.03,370.72,370.72,7711296,7711300,-0.34,-0.09162939,368.69,"April 09, 20",-0.0009162939
2020-04-13,371.31,400.51,367.72,396.72,396.72,11692922,11692900,25.41,6.84,391.06,"April 13, 20",0.0684
2020-04-14,397.5,417.82,394.8468,413.55,413.549988,11580983,11581000,16.05,4.04,408.72,"April 14, 20",0.0404
2020-04-15,413.0,434.98,412.25,426.75,426.75,13561222,13561200,13.75,3.33,426.61,"April 15, 20",0.0333
2020-04-16,437.0,449.52,431.61,439.17,439.17,16128666,16128700,2.17,0.49657,440.77,"April 16, 20",0.0049657
2020-04-17,431.0,432.0,414.695,422.96,422.959991,12616258,12616300,-8.04,-1.87,422.29,"April 17, 20",-0.0187
2020-04-20,435.17,444.49,430.56,437.49,437.48999,12655818,12655800,2.32,0.53312,438.46,"April 20, 20",0.0053312
2020-04-21,444.77,447.0,425.6,433.83,433.829987,23177550,23177600,-10.94,-2.46,438.58,"April 21, 20",-0.0246
2020-04-22,429.725,433.0,413.0,421.42,421.42,21123773,21084800,-8.305,-1.93,422.99,"April 22, 20",-0.0193
2020-04-23,419.26,438.413,419.26,426.7,426.7,13952330,13952300,7.44,1.77,430.25,"April 23, 20",0.0177
2020-04-24,425.0,427.17,415.88,424.99,424.98999,8670362,8658900,-0.01,-0.00235294,422.84,"April 24, 20",-2.35294e-05
2020-04-27,425.0,429.0,420.84,421.38,421.38,6277480,6277500,-3.62,-0.85176,424.42,"April 27, 20",-0.0085176
