date,Open,High,Low,Close,adjClose,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-04-03,27.21,27.94,26.75,27.11,27.11,5999518,5999518,-0.105,-0.36751,27.2525,"April 03, 20",-0.0036751
2020-04-06,28.23,28.74,27.69,28.56,28.56,10118092,10118092,0.33,1.17,28.305,"April 06, 20",0.0117
2020-04-07,29.49,29.81,28.76,28.8,28.8,9024746,9024746,-0.69333,-2.34,29.215,"April 07, 20",-0.0234
2020-04-08,29.17,29.63,28.73,29.36,29.36,7908870,7908870,0.19333,0.65135,29.2225,"April 08, 20",0.0065135
2020-04-09,29.81,30.74,29.56,29.65,29.65,11857726,11857726,-0.165,-0.53673,29.94,"April 09, 20",-0.0053673
2020-04-13,30.1,30.65,29.85,30.49,30.49,8779682,8779682,0.39167,1.3,30.2725,"April 13, 20",0.013
2020-04-14,31.25,31.42,30.74,31.32,31.32,7705482,7705482,0.075,0.224,31.1825,"April 14, 20",0.00224
2020-04-15,30.78,31.33,30.67,31.06,31.06,6197496,6197496,0.27667,0.90968,30.96,"April 15, 20",0.0090968
2020-04-16,31.31,31.92,31.1,31.71,31.71,7640532,7640532,0.405,1.28,31.51,"April 16, 20",0.0128
2020-04-17,32.5,32.72,31.89,32.24,32.24,10764790,10764790,-0.26167,-0.8,32.3375,"April 17, 20",-0.008
2020-04-20,32.08,32.9,31.97,32.38,32.38,7082904,7082904,0.30333,0.93516,32.3325,"April 20, 20",0.0093516
2020-04-21,31.99,32.37,30.72,31.08,31.08,7291464,7291464,-0.90833,-2.84,31.54,"April 21, 20",-0.0284
2020-04-22,31.67,32.25,31.61,31.98,31.98,4706554,4706554,0.31,0.97884,31.8775,"April 22, 20",0.0097884
2020-04-23,31.93,32.48,31.7,32.01,32.01,4052866,4052866,0.0833335,0.25055,32.03,"April 23, 20",0.0025055
2020-04-24,32.14,32.49,32.07,32.24,32.24,5060608,5060608,0.1,0.31114,32.235,"April 24, 20",0.0031114
2020-04-27,32.71,33.3,32.53,32.81,32.81,8987720,8987720,0.098333,0.30572,32.8375,"April 27, 20",0.0030572
2020-04-28,33.33,33.44,32.19,32.26,32.26,6177948,6177948,-1.07,-3.21,32.805,"April 28, 20",-0.0321
2020-04-29,32.87,33.34,32.65,32.95,32.95,6318042,6318042,0.0816665,0.24338,32.9525,"April 29, 20",0.0024338
2020-04-30,32.69,33.23,32.55,32.75,32.75,3645008,3645008,0.0583335,0.18354,32.805,"April 30, 20",0.0018354
2020-05-01,32.17,32.66,32.02,32.45,32.45,6433380,6433380,0.28,0.87038,32.325,"May 01, 20",0.0087038
2020-05-04,32.28,32.28,31.76,31.97,31.97,5932282,5932282,-0.31,-0.96035,32.0725,"May 04, 20",-0.0096035
2020-05-05,32.3,33.32,32.29,33.03,33.03,6581862,6581862,0.73667,2.26,32.735,"May 05, 20",0.0226
2020-05-06,33.81,34.02,33.42,33.54,33.54,8328188,8328188,-0.27333,-0.79858,33.6975,"May 06, 20",-0.0079858
2020-05-07,34.14,35.69,33.99,35.52,35.52,10390744,10390744,1.38,4.04,34.835,"May 07, 20",0.0404
2020-05-08,35.72,35.85,35.19,35.66,35.66,6393156,6393156,-0.065,-0.16797,35.605,"May 08, 20",-0.0016797
2020-05-11,35.5,36.59,35.41,36.38,36.38,7197126,7197126,0.87667,2.48,35.97,"May 11, 20",0.0248
2020-05-12,36.5,36.57,35.59,35.69,35.69,5841802,5841802,-0.805,-2.22,36.0875,"May 12, 20",-0.0222
2020-05-13,36.67,36.97,35.13,35.96,35.96,10498840,10498840,-0.71,-1.94,36.1825,"May 13, 20",-0.0194
2020-05-14,35.32,36.6,35.31,36.59,36.59,9666638,9666638,1.28,3.6,35.955,"May 14, 20",0.036
2020-05-15,36.33,37.33,36.16,37.14,37.14,8156678,8156678,0.805,2.23,36.74,"May 15, 20",0.0223
2020-05-18,37.63,38.56,37.34,37.69,37.69,7478250,7478250,0.061667,0.15945,37.805,"May 18, 20",0.0015945
2020-05-19,37.8,38.74,37.8,37.86,37.86,13197330,13197330,0.0616665,0.15873,38.05,"May 19, 20",0.0015873
2020-05-20,38.42,39.13,38.33,39.08,39.08,9340568,9340568,0.66333,1.72,38.74,"May 20, 20",0.0172
2020-05-21,39.0,39.61,38.08,38.25,38.25,15858320,15858320,-0.75,-1.92,38.735,"May 21, 20",-0.0192
2020-05-22,40.0,40.52,38.67,39.65,39.65,24634284,24634284,-0.345,-0.875,39.71,"May 22, 20",-0.00875
2020-05-26,39.99,40.21,38.5,38.53,38.53,12652260,12652260,-1.46,-3.65,39.3075,"May 26, 20",-0.0365
2020-05-27,38.51,38.69,37.19,38.63,38.63,9913316,9913316,0.11833,0.31161,38.255,"May 27, 20",0.0031161
2020-05-28,38.41,38.87,37.9,38.23,38.23,6410862,6410862,-0.18167,-0.46863,38.3525,"May 28, 20",-0.0046863
2020-05-29,38.34,39.28,38.17,39.21,39.21,8001440,8001440,0.86833,2.27,38.75,"May 29, 20",0.0227
2020-06-01,39.17,39.9,38.73,39.72,39.72,5872804,5872804,0.55167,1.4,39.38,"June 01, 20",0.014
2020-06-02,39.72,39.99,39.23,39.98,39.98,5398654,5398654,0.25833,0.65458,39.73,"June 02, 20",0.0065458
2020-06-03,39.65,40.14,38.88,38.9,38.9,11907304,11907304,-0.75333,-1.89,39.3925,"June 03, 20",-0.0189
2020-06-04,38.33,38.65,37.47,37.78,37.78,18656712,18656712,-0.55167,-1.43,38.0575,"June 04, 20",-0.0143
2020-06-05,37.79,38.74,37.37,38.56,38.56,10532152,10532152,0.77333,2.04,38.115,"June 05, 20",0.0204
2020-06-08,38.35,39.65,38.14,39.63,39.63,10690252,10690252,1.28,3.34,38.9425,"June 08, 20",0.0334
2020-06-09,39.67,39.74,38.91,38.93,38.93,5252590,5252590,-0.74,-1.87,39.3125,"June 09, 20",-0.0187
2020-06-10,39.17,39.42,38.78,38.78,38.78,7234398,7234398,-0.38667,-0.99566,39.0375,"June 10, 20",-0.0099566
2020-06-11,37.93,38.53,36.93,36.99,36.99,8663906,8663906,-0.94167,-2.48,37.595,"June 11, 20",-0.0248
2020-06-12,37.87,38.06,36.29,36.97,36.97,8498456,8498456,-0.895,-2.38,37.2975,"June 12, 20",-0.0238
2020-06-15,36.63,37.84,36.25,37.72,37.72,7233888,7233888,1.08,2.98,37.11,"June 15, 20",0.0298
2020-06-16,38.33,38.36,37.67,38.12,38.12,5865868,5865868,-0.21667,-0.54787,38.12,"June 16, 20",-0.0054787
2020-06-17,38.25,38.61,38.12,38.21,38.21,4824850,4824850,-0.04,-0.10458,38.2975,"June 17, 20",-0.0010458
2020-06-18,38.17,38.53,38.03,38.39,38.39,6762048,6762048,0.22167,0.57637,38.28,"June 18, 20",0.0057637
2020-06-19,38.83,39.06,37.98,38.45,38.45,11375890,11375890,-0.37833,-0.97862,38.58,"June 19, 20",-0.0097862
2020-06-22,38.48,39.08,38.36,38.81,38.81,8162864,8162864,0.33667,0.85759,38.6825,"June 22, 20",0.0085759
2020-06-23,38.68,38.81,38.07,38.22,38.22,8329484,8329484,-0.46,-1.19,38.445,"June 23, 20",-0.0119
2020-06-24,38.17,38.52,36.89,37.23,37.23,7705626,7705626,-0.93333,-2.46,37.7025,"June 24, 20",-0.0246
2020-06-25,37.17,37.85,36.87,37.82,37.82,5842300,5842300,0.65,1.75,37.4275,"June 25, 20",0.0175
2020-06-26,37.74,37.81,37.17,37.56,37.56,13090386,13090386,-0.175,-0.47695,37.57,"June 26, 20",-0.0047695
2020-06-29,37.47,38.0,36.79,37.85,37.85,5737648,5737648,0.37333,1.01,37.5275,"June 29, 20",0.0101
2020-06-30,37.85,38.34,37.69,38.28,38.28,9508616,9508616,0.43,1.14,38.04,"June 30, 20",0.0114
2020-07-01,38.23,38.49,37.95,38.23,38.23,7942032,7942032,-0.0083335,0.0,38.225,"July 01, 20",0.0
2020-07-02,38.5,38.81,38.22,38.42,38.42,8546318,8546318,-0.0783335,-0.20779,38.4875,"July 02, 20",-0.0020779
2020-07-06,38.78,39.75,38.68,39.32,39.32,6132852,6132852,0.54,1.39,39.1325,"July 06, 20",0.0139
2020-07-07,39.28,39.82,38.8,38.84,38.84,7535808,7535808,-0.43167,-1.12,39.185,"July 07, 20",-0.0112
2020-07-08,39.0,40.5,38.93,40.47,40.47,11723380,11723380,1.47,3.77,39.725,"July 08, 20",0.0377
2020-07-09,40.66,41.6,40.39,41.43,41.43,11844142,11844142,0.76833,1.89,41.02,"July 09, 20",0.0189
2020-07-10,41.45,41.5,40.87,41.49,41.49,8173352,8173352,0.041667,0.09650181,41.3275,"July 10, 20",0.0009650181
2020-07-13,41.71,42.64,40.09,40.18,40.18,14930342,14930342,-1.53,-3.67,41.155,"July 13, 20",-0.0367
2020-07-14,40.01,40.92,39.26,40.89,40.89,8929550,8929550,0.88167,2.2,40.27,"July 14, 20",0.022
2020-07-15,41.08,41.12,39.91,40.08,40.08,4662118,4662118,-1.0,-2.43,40.5475,"July 15, 20",-0.0243
2020-07-16,39.67,39.92,39.13,39.56,39.56,5271778,5271778,-0.11,-0.27729,39.57,"July 16, 20",-0.0027729
2020-07-17,39.72,40.11,39.27,39.97,39.97,3318734,3318734,0.245,0.62941,39.7675,"July 17, 20",0.0062941
2020-07-20,40.24,42.06,40.17,41.93,41.93,5886220,5886220,1.69,4.2,41.1,"July 20, 20",0.042
