date,Open,High,Low,Close,adjClose,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-04-03,57.0,57.73,55.41,56.02,54.15,7177600,7177600,-0.98,-1.72,56.54,"April 03, 20",-0.0172
2020-04-06,58.62,61.91,58.61,61.59,59.53,17371000,17371000,2.98,5.07,60.1825,"April 06, 20",0.0507
2020-04-07,63.85,63.94,61.4,61.4,59.35,11802856,11802856,-2.45,-3.84,62.6475,"April 07, 20",-0.0384
2020-04-08,62.5,63.75,61.69,63.44,61.31,9511600,9511600,0.94,1.5,62.845,"April 08, 20",0.015
2020-04-09,64.1,64.82,61.45,61.94,59.86,20815010,20815010,-2.16,-3.37,63.0775,"April 09, 20",-0.0337
2020-04-13,61.67,62.85,61.38,62.75,60.65,10961670,10961670,1.08,1.75,62.1625,"April 13, 20",0.0175
2020-04-14,64.31,65.55,64.09,65.49,63.3,15346446,15346446,1.18,1.83,64.86,"April 14, 20",0.0183
2020-04-15,64.03,64.07,63.0,63.73,61.59,12026800,12026800,-0.3,-0.46853,63.7075,"April 15, 20",-0.0046853
2020-04-16,64.83,65.72,64.2,65.42,63.23,9310000,9310000,0.59,0.91007,65.0425,"April 16, 20",0.0091007
2020-04-17,66.68,66.97,65.43,66.06,63.85,10195200,10195200,-0.625,-0.92981,66.285,"April 17, 20",-0.0092981
2020-04-20,65.01,66.06,64.64,64.66,62.49,6241222,6241222,-0.35,-0.53838,65.0925,"April 20, 20",-0.0053838
2020-04-21,63.56,63.91,61.39,61.76,59.69,12767292,12767292,-1.8,-2.83,62.655,"April 21, 20",-0.0283
2020-04-22,63.58,65.62,63.53,65.25,63.07,12030526,12030526,1.67,2.63,64.495,"April 22, 20",0.0263
2020-04-23,65.23,65.96,64.5,64.65,62.49,8544478,8544478,-0.58,-0.88916,65.085,"April 23, 20",-0.0088916
2020-04-24,64.65,66.11,64.16,65.96,63.75,7987978,7987978,1.31,2.03,65.22,"April 24, 20",0.0203
2020-04-27,66.61,67.33,66.26,66.77,64.54,8903624,8903624,0.16,0.2402,66.7425,"April 27, 20",0.002402
2020-04-28,67.9,68.23,66.25,66.33,64.11,9113600,9113600,-1.57,-2.31,67.1775,"April 28, 20",-0.0231
2020-04-29,67.52,69.68,67.27,69.44,67.12,9771000,9771000,1.92,2.84,68.4775,"April 29, 20",0.0284
2020-04-30,69.05,69.05,66.75,66.86,64.63,13736400,13736400,-2.19,-3.17,67.9275,"April 30, 20",-0.0317
2020-05-01,65.43,65.55,63.47,63.72,61.58,12031126,12031126,-1.72,-2.61,64.5425,"May 01, 20",-0.0261
2020-05-04,63.45,64.5,63.06,64.42,62.27,7615800,7615800,0.97,1.53,63.8575,"May 04, 20",0.0153
2020-05-05,65.33,66.42,64.89,65.26,63.08,9668896,9668896,-0.075,-0.10715,65.475,"May 05, 20",-0.0010715
2020-05-06,66.06,67.02,65.87,66.03,63.82,6652898,6652898,-0.03,-0.04541326,66.245,"May 06, 20",-0.0004541326
2020-05-07,67.25,67.46,66.36,66.63,64.4,6246778,6246778,-0.625,-0.92193,66.925,"May 07, 20",-0.0092193
2020-05-08,67.36,68.41,67.09,68.33,66.04,6033270,6033270,0.965,1.44,67.7975,"May 08, 20",0.0144
2020-05-11,67.67,68.85,67.62,68.36,66.07,5441712,5441712,0.695,1.02,68.125,"May 11, 20",0.0102
2020-05-12,68.8,68.96,66.46,66.48,64.26,7153254,7153254,-2.32,-3.37,67.675,"May 12, 20",-0.0337
2020-05-13,66.97,67.19,64.39,65.3,63.12,13728498,13728498,-1.67,-2.49,65.9625,"May 13, 20",-0.0249
2020-05-14,64.81,67.19,63.71,67.13,64.88,11389616,11389616,2.32,3.58,65.71,"May 14, 20",0.0358
2020-05-15,64.88,65.93,64.43,65.6,63.41,14959036,14959036,0.725,1.11,65.21,"May 15, 20",0.0111
2020-05-18,67.28,68.79,67.22,68.43,66.14,8480874,8480874,1.14,1.71,67.93,"May 18, 20",0.0171
