date,Open,High,Low,Close,adjClose,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-04-03,238.33,241.48,236.02,238.8,228.98,2217600,2217600,0.47,0.19721,238.6575,"April 03, 20",0.0019721
2020-04-06,248.23,257.3,243.96,255.83,245.31,2129237,2129237,7.6,3.06,251.33,"April 06, 20",0.0306
2020-04-07,264.86,265.24,255.74,256.06,245.53,1679541,1679541,-8.8,-3.32,260.475,"April 07, 20",-0.0332
2020-04-08,259.5,262.09,255.23,261.51,250.75,1326200,1326200,2.01,0.77457,259.5825,"April 08, 20",0.0077457
2020-04-09,262.95,284.88,262.95,283.55,271.89,2740528,2740528,20.6,7.83,273.5825,"April 09, 20",0.0783
2020-04-13,279.5,280.41,267.37,268.44,257.4,2900401,2900401,-11.06,-3.96,273.93,"April 13, 20",-0.0396
2020-04-14,275.6,278.99,271.25,277.34,265.93,2588707,2588707,1.74,0.63135,275.795,"April 14, 20",0.0063135
2020-04-15,270.2,274.92,267.14,273.25,262.01,1594000,1594000,3.05,1.13,271.3775,"April 15, 20",0.0113
2020-04-16,274.18,276.15,270.89,274.55,263.26,1265372,1265372,0.37,0.13495,273.9425,"April 16, 20",0.0013495
2020-04-17,282.68,286.62,278.29,282.59,270.97,2667708,2667708,-0.09,-0.03183812,282.545,"April 17, 20",-0.0003183812
2020-04-20,277.85,280.67,276.49,279.17,267.69,1512929,1512929,1.32,0.47508,278.545,"April 20, 20",0.0047508
2020-04-21,271.25,273.55,265.92,267.23,256.24,1856200,1856200,-4.02,-1.48,269.4875,"April 21, 20",-0.0148
2020-04-22,272.71,277.4,269.4,276.01,264.66,1112237,1112237,3.3,1.21,273.88,"April 22, 20",0.0121
2020-04-23,276.79,281.3,276.03,279.56,268.06,1699433,1699433,2.77,1.0,278.42,"April 23, 20",0.01
2020-04-24,282.61,284.53,280.38,283.94,272.26,1124500,1124500,1.33,0.47061,282.865,"April 24, 20",0.0047061
2020-04-27,286.46,292.05,285.19,291.19,279.21,1289718,1289718,4.73,1.65,288.7225,"April 27, 20",0.0165
2020-04-28,300.0,308.41,292.51,295.83,283.66,2048045,2048045,-4.17,-1.39,299.1875,"April 28, 20",-0.0139
2020-04-29,303.26,303.79,293.42,294.42,282.31,1757196,1757196,-8.84,-2.91,298.7225,"April 29, 20",-0.0291
2020-04-30,289.27,295.1,288.51,292.88,280.83,1916526,1916526,3.61,1.25,291.44,"April 30, 20",0.0125
2020-05-01,287.67,289.03,284.09,286.06,274.3,1152000,1152000,-1.61,-0.55967,286.7125,"May 01, 20",-0.0055967
2020-05-04,283.3,288.13,281.07,285.77,274.02,1187800,1187800,2.47,0.87187,284.5675,"May 04, 20",0.0087187
2020-05-05,289.62,298.56,288.33,295.41,283.26,1049704,1049704,5.79,2.0,292.98,"May 05, 20",0.02
2020-05-06,294.82,297.44,288.92,289.36,277.46,881034,881034,-5.46,-1.85,292.635,"May 06, 20",-0.0185
2020-05-07,294.55,297.77,292.92,295.58,283.42,1282637,1282637,1.03,0.34969,295.205,"May 07, 20",0.0034969
2020-05-08,300.0,300.0,295.78,297.65,285.41,852000,852000,-2.35,-0.78333,298.3575,"May 08, 20",-0.0078333
2020-05-11,294.04,303.28,292.65,300.68,288.31,1206009,1206009,6.64,2.26,297.6625,"May 11, 20",0.0226
2020-05-12,304.96,307.17,299.21,299.21,286.9,1303868,1303868,-5.75,-1.89,302.6375,"May 12, 20",-0.0189
2020-05-13,297.74,302.48,291.99,294.4,282.29,1642500,1642500,-3.34,-1.12,296.6525,"May 13, 20",-0.0112
2020-05-14,291.41,300.26,290.08,300.12,287.78,1253732,1253732,8.71,2.99,295.4675,"May 14, 20",0.0299
2020-05-15,298.39,304.63,297.33,303.14,290.67,1960800,1960800,4.75,1.59,300.8725,"May 15, 20",0.0159
2020-05-18,311.05,316.26,310.62,311.63,298.81,1773091,1773091,0.58,0.18647,312.39,"May 18, 20",0.0018647
2020-05-19,311.76,317.29,310.67,311.09,298.3,1237740,1237740,-0.67,-0.21491,312.7025,"May 19, 20",-0.0021491
2020-05-20,315.36,317.07,312.38,314.0,301.09,801243,801243,-1.36,-0.43125,314.7025,"May 20, 20",-0.0043125
2020-05-21,314.29,316.81,309.23,310.76,297.98,725210,725210,-3.53,-1.12,312.7725,"May 21, 20",-0.0112
2020-05-22,310.94,312.63,307.52,311.86,299.03,621524,621524,0.92,0.29588,310.7375,"May 22, 20",0.0029588
2020-05-26,318.26,318.89,311.2,312.34,300.14,1695355,1695355,-5.92,-1.86,315.1725,"May 26, 20",-0.0186
2020-05-27,316.89,316.89,308.14,315.43,303.11,1182909,1182909,-1.46,-0.46073,314.3375,"May 27, 20",-0.0046073
2020-05-28,317.77,323.52,314.8,318.8,306.35,1928700,1928700,1.03,0.32413,318.7225,"May 28, 20",0.0032413
2020-05-29,320.62,326.0,318.36,325.02,312.32,1935836,1935836,4.4,1.37,322.5,"May 29, 20",0.0137
2020-06-01,326.05,329.57,323.37,327.3,314.51,892323,892323,1.25,0.38338,326.5725,"June 01, 20",0.0038338
2020-06-02,325.82,327.82,323.31,327.37,314.58,1280258,1280258,1.55,0.47572,326.08,"June 02, 20",0.0047572
2020-06-03,330.12,334.64,326.62,333.38,320.36,1058932,1058932,3.26,0.98752,331.19,"June 03, 20",0.0098752
2020-06-04,331.1,333.6,324.34,327.39,314.6,1209100,1209100,-3.71,-1.12,329.1075,"June 04, 20",-0.0112
2020-06-05,332.48,334.66,329.63,333.37,320.35,1522241,1522241,0.89,0.26769,332.535,"June 05, 20",0.0026769
2020-06-08,330.88,333.08,325.89,331.98,319.01,1116809,1116809,1.1,0.33245,330.4575,"June 08, 20",0.0033245
2020-06-09,329.24,330.86,326.67,327.61,314.81,966600,966600,-1.63,-0.49508,328.595,"June 09, 20",-0.0049508
2020-06-10,328.98,334.09,326.12,331.18,318.24,1136400,1136400,2.2,0.66873,330.0925,"June 10, 20",0.0066873
2020-06-11,325.0,326.18,306.5,307.03,295.04,1663514,1663514,-17.97,-5.53,316.1775,"June 11, 20",-0.0553
2020-06-12,314.41,318.22,310.0,316.91,304.53,1168700,1168700,2.5,0.79514,314.885,"June 12, 20",0.0079514
2020-06-15,310.0,320.9,308.11,319.65,307.16,998309,998309,9.65,3.11,314.665,"June 15, 20",0.0311
2020-06-16,330.0,330.0,319.06,324.93,312.24,918878,918878,-5.07,-1.54,325.9975,"June 16, 20",-0.0154
2020-06-17,326.62,329.58,325.15,326.32,313.57,896707,896707,-0.3,-0.09184986,326.9175,"June 17, 20",-0.0009184986
2020-06-18,324.54,327.77,323.32,326.81,314.04,726309,726309,2.27,0.69945,325.61,"June 18, 20",0.0069945
2020-06-19,332.27,333.0,321.28,323.73,311.08,1932700,1932700,-8.54,-2.57,327.57,"June 19, 20",-0.0257
2020-06-22,323.71,326.93,320.77,326.36,313.61,1330400,1330400,2.65,0.81863,324.4425,"June 22, 20",0.0081863
2020-06-23,329.55,332.54,327.01,328.56,315.73,890000,890000,-0.99,-0.30041,329.415,"June 23, 20",-0.0030041
2020-06-24,324.55,326.44,316.4,317.97,305.55,1298209,1298209,-6.58,-2.03,321.34,"June 24, 20",-0.0203
