date,Open,High,Low,Close,adjClose,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-04-03,48.62,48.9,47.55,47.81,44.03,2865156,2865156,-0.81,-1.67,48.22,"April 03, 20",-0.0167
2020-04-06,49.48,49.96,49.03,49.94,45.99,2822308,2822308,0.46,0.92967,49.6025,"April 06, 20",0.0092967
2020-04-07,50.62,50.65,49.18,49.47,45.55,3282512,3282512,-1.15,-2.27,49.98,"April 07, 20",-0.0227
2020-04-08,49.59,50.24,49.4,50.15,46.18,3214269,3214269,0.56,1.13,49.845,"April 08, 20",0.0113
2020-04-09,50.4,50.61,49.37,49.47,45.55,4217784,4217784,-0.93,-1.85,49.9625,"April 09, 20",-0.0185
2020-04-13,49.86,49.87,49.0,49.8,45.86,3764533,3764533,-0.06,-0.12034,49.6325,"April 13, 20",-0.0012034
2020-04-14,50.88,51.5,50.82,51.45,47.38,3212636,3212636,0.57,1.12,51.1625,"April 14, 20",0.0112
2020-04-15,50.5,51.2,50.27,50.96,46.93,2991082,2991082,0.46,0.91089,50.7325,"April 15, 20",0.0091089
2020-04-16,52.5,53.33,52.5,53.11,48.91,5469760,5469760,0.61,1.16,52.86,"April 16, 20",0.0116
2020-04-17,53.0,53.02,52.23,52.35,48.21,3703905,3703905,-0.65,-1.23,52.65,"April 17, 20",-0.0123
2020-04-20,52.55,53.08,52.2,52.46,48.31,2532229,2532229,-0.09,-0.17127,52.5725,"April 20, 20",-0.0017127
2020-04-21,51.25,51.69,51.01,51.07,47.03,2480395,2480395,-0.18,-0.35122,51.255,"April 21, 20",-0.0035122
2020-04-22,52.9,53.02,52.69,52.86,48.68,2719943,2719943,-0.04,-0.07561437,52.8675,"April 22, 20",-0.0007561437
2020-04-23,53.09,53.4,52.45,52.46,48.31,2240606,2240606,-0.63,-1.19,52.85,"April 23, 20",-0.0119
2020-04-24,52.66,52.95,52.45,52.85,48.67,1635606,1635606,0.19,0.36081,52.7275,"April 24, 20",0.0036081
2020-04-27,53.32,53.46,53.06,53.3,49.08,1963651,1963651,-0.02,-0.03750938,53.285,"April 27, 20",-0.0003750938
2020-04-28,54.01,54.2,53.3,53.44,49.21,2918124,2918124,-0.57,-1.06,53.7375,"April 28, 20",-0.0106
2020-04-29,54.08,54.17,53.75,54.05,49.77,1942368,1942368,-0.03,-0.05547337,54.0125,"April 29, 20",-0.0005547337
2020-04-30,53.74,53.97,52.35,52.62,48.46,3097779,3097779,-1.12,-2.08,53.17,"April 30, 20",-0.0208
2020-05-01,51.49,51.54,50.91,51.05,47.01,5652966,5652966,-0.44,-0.85453,51.2475,"May 01, 20",-0.0085453
2020-05-04,51.1,51.69,50.9,51.57,47.49,2443557,2443557,0.47,0.91977,51.315,"May 04, 20",0.0091977
2020-05-05,52.2,52.48,52.11,52.17,48.04,2652967,2652967,-0.03,-0.05747126,52.24,"May 05, 20",-0.0005747126
