date,Open,High,Low,Close,adjClose,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-04-03,47.79,48.15,46.78,47.06,43.81,5486218,5486218,-0.73,-1.53,47.445,"April 03, 20",-0.0153
2020-04-06,48.63,50.1,48.51,49.97,46.52,7370313,7370313,1.34,2.76,49.3025,"April 06, 20",0.0276
2020-04-07,51.29,51.32,49.66,49.72,46.29,6569106,6569106,-1.57,-3.06,50.4975,"April 07, 20",-0.0306
2020-04-08,50.21,50.6,49.54,50.27,46.8,6325900,6325900,0.06,0.1195,50.155,"April 08, 20",0.001195
2020-04-09,50.28,50.66,47.72,48.33,44.99,12279621,12279621,-1.95,-3.88,49.2475,"April 09, 20",-0.0388
2020-04-13,48.74,49.09,47.96,48.75,45.38,9873226,9873226,0.01,0.02051703,48.635,"April 13, 20",0.0002051703
2020-04-14,50.0,51.27,49.95,50.63,47.13,11068800,11068800,0.63,1.26,50.4625,"April 14, 20",0.0126
2020-04-15,49.76,49.97,49.04,49.66,46.23,9398100,9398100,-0.1,-0.20096,49.6075,"April 15, 20",-0.0020096
2020-04-16,51.81,53.14,51.68,52.4,48.78,18615900,18615900,0.59,1.14,52.2575,"April 16, 20",0.0114
2020-04-17,54.13,54.19,53.0,53.69,49.98,11288528,11288528,-0.44,-0.81286,53.7525,"April 17, 20",-0.0081286
2020-04-20,53.0,53.82,52.56,52.59,48.96,9901710,9901710,-0.41,-0.77358,52.9925,"April 20, 20",-0.0077358
2020-04-21,51.6,51.81,50.52,51.37,47.82,13102501,13102501,-0.23,-0.44574,51.325,"April 21, 20",-0.0044574
2020-04-22,52.48,53.11,52.41,52.95,49.29,8256019,8256019,0.47,0.89558,52.7375,"April 22, 20",0.0089558
2020-04-23,52.81,53.13,52.26,52.64,49.0,7619941,7619941,-0.17,-0.32191,52.71,"April 23, 20",-0.0032191
2020-04-24,52.6,52.89,52.0,52.73,49.09,5701920,5701920,0.13,0.24715,52.555,"April 24, 20",0.0024715
2020-04-27,53.15,53.75,52.97,53.51,49.81,5812300,5812300,0.36,0.67733,53.345,"April 27, 20",0.0067733
2020-04-28,53.51,53.73,52.68,52.76,49.12,8561100,8561100,-0.75,-1.4,53.17,"April 28, 20",-0.014
2020-04-29,53.75,54.69,53.43,54.48,50.72,8565518,8565518,0.73,1.36,54.0875,"April 29, 20",0.0136
2020-04-30,54.2,54.41,52.96,53.13,49.46,6337929,6337929,-1.07,-1.97,53.675,"April 30, 20",-0.0197
2020-05-01,52.48,52.56,51.09,51.1,47.57,10238700,10238700,-1.38,-2.63,51.8075,"May 01, 20",-0.0263
2020-05-04,51.79,52.18,51.28,52.15,48.55,7514029,7514029,0.36,0.69511,51.85,"May 04, 20",0.0069511
2020-05-05,52.21,52.58,51.58,51.71,48.14,7780707,7780707,-0.5,-0.95767,52.02,"May 05, 20",-0.0095767
2020-05-06,52.11,52.62,52.0,52.13,48.53,8206720,8206720,0.02,0.03838035,52.215,"May 06, 20",0.0003838035
2020-05-07,52.95,52.98,52.1,52.33,48.71,5495879,5495879,-0.62,-1.17,52.59,"May 07, 20",-0.0117
2020-05-08,52.62,53.34,52.47,52.91,49.25,6087907,6087907,0.29,0.55112,52.835,"May 08, 20",0.0055112
2020-05-11,52.61,52.83,52.38,52.4,48.78,6459336,6459336,-0.21,-0.39916,52.555,"May 11, 20",-0.0039916
2020-05-12,52.64,52.64,51.08,51.1,47.57,8584500,8584500,-1.54,-2.93,51.865,"May 12, 20",-0.0293
2020-05-13,51.91,52.02,50.48,50.92,47.4,8611000,8611000,-0.99,-1.91,51.3325,"May 13, 20",-0.0191
2020-05-14,50.43,52.15,49.79,52.1,48.5,13695619,13695619,1.67,3.31,51.1175,"May 14, 20",0.0331
2020-05-15,50.56,51.05,49.38,49.8,46.36,17777241,17777241,-0.76,-1.5,50.1975,"May 15, 20",-0.015
2020-05-18,50.94,52.19,50.77,51.87,48.29,12731130,12731130,0.93,1.83,51.4425,"May 18, 20",0.0183
2020-05-19,51.35,51.46,50.8,50.81,47.3,12940336,12940336,-0.54,-1.05,51.105,"May 19, 20",-0.0105
2020-05-20,51.58,52.09,50.5,51.84,48.26,8406200,8406200,0.26,0.50407,51.5025,"May 20, 20",0.0050407
2020-05-21,52.1,52.21,50.69,50.75,47.24,7842611,7842611,-1.35,-2.59,51.4375,"May 21, 20",-0.0259
2020-05-22,50.84,50.86,49.61,49.8,46.36,12462333,12462333,-1.04,-2.05,50.2775,"May 22, 20",-0.0205
2020-05-26,51.3,51.4,50.79,50.82,47.31,8872005,8872005,-0.48,-0.93567,51.0775,"May 26, 20",-0.0093567
2020-05-27,51.03,51.74,50.75,51.74,48.17,11405700,11405700,0.71,1.39,51.315,"May 27, 20",0.0139
2020-05-28,51.46,51.62,50.1,50.28,46.81,8181643,8181643,-1.18,-2.29,50.865,"May 28, 20",-0.0229
2020-05-29,50.34,50.73,49.86,50.33,46.85,10919232,10919232,-0.01,-0.01986492,50.315,"May 29, 20",-0.0001986492
2020-06-01,50.91,51.28,50.54,51.03,47.5,6189338,6189338,0.12,0.23571,50.94,"June 01, 20",0.0023571
2020-06-02,51.45,52.04,51.29,52.01,48.42,6063630,6063630,0.56,1.09,51.6975,"June 02, 20",0.0109
2020-06-03,52.64,53.25,52.42,53.06,49.39,8380200,8380200,0.42,0.79787,52.8425,"June 03, 20",0.0079787
2020-06-04,53.06,54.37,53.03,54.28,50.53,13269500,13269500,1.22,2.3,53.685,"June 04, 20",0.023
2020-06-05,55.5,56.34,55.06,55.2,51.39,9776102,9776102,-0.3,-0.54054,55.525,"June 05, 20",-0.0054054
2020-06-08,55.74,55.78,54.71,55.57,51.73,6302100,6302100,-0.17,-0.30499,55.45,"June 08, 20",-0.0030499
2020-06-09,55.29,56.63,54.95,56.61,52.7,9355114,9355114,1.32,2.39,55.87,"June 09, 20",0.0239
2020-06-10,56.82,58.04,56.82,57.55,53.57,9194340,9194340,0.73,1.28,57.3075,"June 10, 20",0.0128
2020-06-11,55.85,56.41,55.01,55.04,51.24,9877129,9877129,-0.81,-1.45,55.5775,"June 11, 20",-0.0145
2020-06-12,56.5,56.87,55.35,56.0,52.13,9838823,9838823,-0.5,-0.88496,56.18,"June 12, 20",-0.0088496
2020-06-15,54.71,56.12,54.52,56.02,52.15,7514094,7514094,1.31,2.39,55.3425,"June 15, 20",0.0239
2020-06-16,56.59,57.0,55.54,55.8,51.95,8828808,8828808,-0.79,-1.4,56.2325,"June 16, 20",-0.014
2020-06-17,56.15,56.82,55.89,56.6,52.69,8248700,8248700,0.45,0.80142,56.365,"June 17, 20",0.0080142
2020-06-18,56.04,56.54,55.79,56.15,52.58,6831510,6831510,0.11,0.19629,56.13,"June 18, 20",0.0019629
2020-06-19,56.48,56.5,55.27,55.31,51.8,6965100,6965100,-1.17,-2.07,55.89,"June 19, 20",-0.0207
2020-06-22,55.5,56.0,55.32,56.0,52.44,4480431,4480431,0.5,0.9009,55.705,"June 22, 20",0.009009
2020-06-23,56.64,57.16,56.53,56.76,53.15,7836501,7836501,0.12,0.21186,56.7725,"June 23, 20",0.0021186
2020-06-24,56.71,57.06,56.16,56.58,52.98,7080243,7080243,-0.13,-0.22924,56.6275,"June 24, 20",-0.0022924
2020-06-25,56.56,57.09,55.95,57.04,53.42,4509600,4509600,0.48,0.84866,56.66,"June 25, 20",0.0084866
2020-06-26,57.0,57.26,56.21,56.33,52.75,6229329,6229329,-0.67,-1.18,56.7,"June 26, 20",-0.0118
2020-06-29,56.34,56.41,55.66,56.39,52.81,5016600,5016600,0.05,0.08874689,56.2,"June 29, 20",0.0008874689
2020-06-30,56.25,56.99,56.19,56.77,53.16,7158807,7158807,0.52,0.92444,56.55,"June 30, 20",0.0092444
2020-07-01,56.97,57.47,56.76,56.82,53.21,6866517,6866517,-0.15,-0.2633,57.005,"July 01, 20",-0.002633
2020-07-02,57.95,59.07,57.95,58.62,54.9,10021232,10021232,0.67,1.16,58.3975,"July 02, 20",0.0116
