date,Open,High,Low,Close,adjClose,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-04-03,23.73,23.79,21.67,22.82,22.82,40714339,40572000,-0.91,-3.83,22.7,"April 03, 20",-0.0383
2020-04-06,24.13,26.09,23.93,25.99,25.99,34999281,34692600,1.86,7.71,25.26,"April 06, 20",0.0771
2020-04-07,27.95,28.11,25.5,25.74,25.74,36947013,36433800,-2.21,-7.91,26.75,"April 07, 20",-0.0791
2020-04-08,26.0,27.8781,25.79,26.94,26.94,36289775,36166900,0.94,3.62,26.98,"April 08, 20",0.0362
2020-04-09,27.88,28.89,26.46,27.11,27.11,36405543,36190200,-0.77,-2.76,27.73,"April 09, 20",-0.0276
2020-04-13,27.04,28.08,26.47,27.99,27.99,24881449,24671600,0.95,3.51,27.35,"April 13, 20",0.0351
2020-04-14,28.0,28.77,27.013,27.75,27.75,33301646,32625300,-0.25,-0.89286,27.96,"April 14, 20",-0.0089286
2020-04-15,26.82,27.79,26.44,27.41,27.41,18980368,18720900,0.59,2.2,27.12,"April 15, 20",0.022
2020-04-16,27.21,28.05,26.46,27.03,27.03,24224895,24088700,-0.18,-0.66152,27.27,"April 16, 20",-0.0066152
2020-04-17,28.69,28.79,27.26,28.0,28.0,34843219,34129800,-0.69,-2.41,27.96,"April 17, 20",-0.0241
2020-04-20,27.07,28.76,26.9,28.19,28.19,32480985,32224000,1.12,4.14,28.16,"April 20, 20",0.0414
2020-04-21,27.5,28.15,26.6,27.19,27.19,21202320,20969100,-0.31,-1.13,27.34,"April 21, 20",-0.0113
2020-04-22,27.97,28.56,27.51,28.24,28.24,21411593,21199400,0.27,0.96532,28.1,"April 22, 20",0.0096532
2020-04-23,28.75,29.25,28.2414,28.33,28.33,27132758,26992400,-0.42,-1.46,28.72,"April 23, 20",-0.0146
2020-04-24,28.51,29.59,28.14,29.49,29.49,20728597,20634900,0.98,3.44,28.99,"April 24, 20",0.0344
2020-04-27,29.74,30.49,29.4112,30.08,30.08,32077711,31705800,0.34,1.14,30.02,"April 27, 20",0.0114
2020-04-28,31.0,31.83,29.36,30.12,30.12,27914225,27383200,-0.88,-2.84,30.32,"April 28, 20",-0.0284
2020-04-29,31.0,32.0,30.33,31.37,31.37,28623654,28288100,0.37,1.19,31.45,"April 29, 20",0.0119
2020-04-30,30.5,31.05,29.75,30.27,30.27,20363866,20095400,-0.23,-0.7541,30.27,"April 30, 20",-0.007541
2020-05-01,29.13,29.72,28.325,28.39,28.389999,19547006,19290200,-0.74,-2.54,28.83,"May 01, 20",-0.0254
2020-05-04,27.56,28.07,26.58,27.42,27.42,23743083,23428300,-0.14,-0.50798,27.32,"May 04, 20",-0.0050798
2020-05-05,28.25,28.9088,27.44,28.07,28.07,31029068,30725400,-0.18,-0.63717,28.22,"May 05, 20",-0.0063717
2020-05-06,27.5,28.06,26.81,27.82,27.82,31304308,31076500,0.32,1.16,27.77,"May 06, 20",0.0116
2020-05-07,29.6,31.65,29.58,30.93,30.93,62573507,62229500,1.33,4.49,30.87,"May 07, 20",0.0449
2020-05-08,32.59,33.3,31.64,32.79,32.79,70387541,69458100,0.2,0.61369,32.53,"May 08, 20",0.0061369
2020-05-11,31.98,32.385,31.41,31.64,31.639999,26956400,26439200,-0.34,-1.06,31.83,"May 11, 20",-0.0106
2020-05-12,31.42,34.45,30.41,32.4,32.4,89887238,89586000,0.98,3.12,32.95,"May 12, 20",0.0312
2020-05-13,32.3,33.06,30.83,33.02,33.02,47541944,47279500,0.72,2.23,32.16,"May 13, 20",0.0223
2020-05-14,32.53,33.0399,31.24,32.79,32.79,33174679,32912600,0.26,0.79926,32.32,"May 14, 20",0.0079926
2020-05-15,32.26,32.89,31.59,32.47,32.47,26117307,25950000,0.21,0.65096,32.38,"May 15, 20",0.0065096
2020-05-18,33.7,36.0,32.99,33.62,33.619999,47719868,47534600,-0.08,-0.23739,34.3,"May 18, 20",-0.0023739
2020-05-19,33.68,34.0,32.86,33.4,33.4,20419627,20223600,-0.28,-0.83135,33.58,"May 19, 20",-0.0083135
2020-05-20,34.12,34.77,33.82,34.48,34.48,21611868,21386700,0.36,1.06,34.35,"May 20, 20",0.0106
2020-05-21,34.45,35.01,33.47,34.26,34.259998,24278469,24075300,-0.19,-0.55152,34.28,"May 21, 20",-0.0055152
2020-05-22,34.15,34.93,33.57,34.83,34.83,18859640,18675700,0.68,1.99,34.51,"May 22, 20",0.0199
2020-05-26,35.97,36.0,34.5,34.56,34.56,24270362,23483200,-1.41,-3.92,35.08,"May 26, 20",-0.0392
2020-05-27,34.42,35.0,33.1,34.88,34.88,27732770,27514600,0.46,1.34,34.2,"May 27, 20",0.0134
2020-05-28,34.9,35.1,33.82,34.15,34.15,22107316,21951900,-0.75,-2.15,34.55,"May 28, 20",-0.0215
2020-05-29,34.18,36.45,34.0,36.32,36.32,72624169,72393800,2.14,6.26,35.67,"May 29, 20",0.0626
2020-06-01,35.64,36.39,35.16,35.82,35.82,22178498,21893800,0.18,0.50505,35.87,"June 01, 20",0.0050505
2020-06-02,36.16,36.42,35.26,35.81,35.81,19544192,19328400,-0.35,-0.96792,35.8,"June 02, 20",-0.0096792
2020-06-03,36.2,37.3678,36.14,36.75,36.75,23223729,23051800,0.55,1.52,36.9,"June 03, 20",0.0152
2020-06-04,36.42,37.3,36.28,36.43,36.43,17646735,17423600,0.01,0.02745744,36.72,"June 04, 20",0.0002745744
2020-06-05,37.53,38.7825,36.92,37.21,37.209999,30710273,30393400,-0.32,-0.85265,37.64,"June 05, 20",-0.0085265
2020-06-08,37.87,37.9,36.09,37.08,37.08,30424477,30099500,-0.79,-2.09,36.69,"June 08, 20",-0.0209
2020-06-09,36.7,37.33,36.25,36.59,36.59,15327875,15127300,-0.11,-0.29973,36.81,"June 09, 20",-0.0029973
2020-06-10,36.69,36.8,34.265,34.83,34.83,43610183,43473700,-1.86,-5.07,35.07,"June 10, 20",-0.0507
2020-06-11,32.63,33.245,30.8904,31.1,31.1,45972966,45298700,-1.53,-4.69,32.09,"June 11, 20",-0.0469
2020-06-12,32.73,32.74,31.04,32.24,32.24,28038479,27685200,-0.49,-1.5,32.0,"June 12, 20",-0.015
2020-06-15,31.16,32.68,31.0201,32.67,32.669998,21590368,21350300,1.51,4.85,31.99,"June 15, 20",0.0485
2020-06-16,34.0,34.17,32.43,33.49,33.49,21656282,21377100,-0.51,-1.5,33.53,"June 16, 20",-0.015
2020-06-17,33.5,33.595,33.011,33.29,33.29,14961375,14827700,-0.21,-0.62687,33.29,"June 17, 20",-0.0062687
2020-06-18,33.0,33.44,32.8,33.4,33.4,15614725,15495800,0.4,1.21,33.17,"June 18, 20",0.0121
2020-06-19,33.98,34.02,32.27,32.3,32.299999,29625235,29426300,-1.68,-4.94,32.94,"June 19, 20",-0.0494
2020-06-22,32.43,32.85,31.43,32.68,32.68,17982819,17790300,0.25,0.77089,32.26,"June 22, 20",0.0077089
2020-06-23,32.88,33.21,32.5901,33.05,33.049999,13799870,13622100,0.17,0.51703,32.96,"June 23, 20",0.0051703
2020-06-24,32.75,32.93,30.455,30.46,30.459999,29604295,29477200,-2.29,-6.99,31.07,"June 24, 20",-0.0699
2020-06-25,30.0,30.855,29.56,30.58,30.58,19525595,19142800,0.58,1.93,30.22,"June 25, 20",0.0193
2020-06-26,30.44,30.44,29.2099,29.61,29.61,46617748,46482300,-0.83,-2.73,29.64,"June 26, 20",-0.0273
2020-06-29,29.51,29.75,28.39,29.63,29.629999,20965215,20795400,0.12,0.40664,29.36,"June 29, 20",0.0040664
2020-06-30,30.83,31.25,30.13,31.08,31.08,21518533,21282800,0.25,0.8109,30.86,"June 30, 20",0.008109
2020-07-01,30.96,31.265,30.1622,30.43,30.43,13772775,13611500,-0.53,-1.71,30.58,"July 01, 20",-0.0171
2020-07-02,31.02,31.57,30.51,30.68,30.68,15145693,14981100,-0.34,-1.1,30.93,"July 02, 20",-0.011
2020-07-06,33.1,33.2,31.76,32.52,32.52,42947039,42392200,-0.58,-1.75,32.39,"July 06, 20",-0.0175
2020-07-07,32.46,33.5598,32.39,32.82,32.82,35276710,34874700,0.36,1.11,32.99,"July 07, 20",0.0111
2020-07-08,33.21,33.97,32.68,33.93,33.93,24936289,24602400,0.72,2.17,33.44,"July 08, 20",0.0217
2020-07-09,34.24,34.46,32.2599,33.15,33.15,25469601,25061800,-1.09,-3.18,33.17,"July 09, 20",-0.0318
2020-07-10,33.14,33.55,32.65,33.14,33.139999,13798045,13586300,0.0,0.0,33.04,"July 10, 20",0.0
2020-07-13,33.21,33.6,31.66,31.72,31.719999,19847731,19604800,-1.49,-4.49,32.58,"July 13, 20",-0.0449
2020-07-14,31.35,31.38,30.48,30.93,30.93,21978001,21781800,-0.42,-1.34,30.89,"July 14, 20",-0.0134
2020-07-15,32.1,32.97,31.68,32.81,32.81,21211753,20976500,0.71,2.21,32.38,"July 15, 20",0.0221
2020-07-16,32.05,32.59,31.55,32.35,32.349998,11231266,11090800,0.3,0.93604,32.19,"July 16, 20",0.0093604
2020-07-17,32.58,32.8162,31.85,32.55,32.549999,13754207,13658700,-0.03,-0.09208103,32.26,"July 17, 20",-0.0009208103
2020-07-20,32.48,33.925,32.35,33.66,33.66,16328263,16213600,1.18,3.63,33.34,"July 20, 20",0.0363
2020-07-21,34.16,34.23,32.53,32.55,32.549999,16979891,16725100,-1.61,-4.71,33.1,"July 21, 20",-0.0471
2020-07-22,32.44,32.88,32.33,32.66,32.66,12266694,12128400,0.22,0.67818,32.6,"July 22, 20",0.0067818
2020-07-23,32.33,33.02,31.983,32.17,32.169998,12827529,12749800,-0.16,-0.4949,32.5,"July 23, 20",-0.004949
2020-07-24,31.74,31.8,30.47,31.18,31.18,17030412,16896100,-0.56,-1.76,31.11,"July 24, 20",-0.0176
2020-07-27,31.21,31.6,30.75,30.99,30.99,10272575,10182300,-0.22,-0.7049,31.09,"July 27, 20",-0.007049
2020-07-28,30.79,31.24,30.35,30.81,30.809999,13101125,12977100,0.02,0.06495615,30.77,"July 28, 20",0.0006495615
2020-07-29,30.92,31.26,30.77,31.02,31.02,8311018,8215900,0.1,0.32342,30.99,"July 29, 20",0.0032342
2020-07-30,30.65,30.68,29.97,30.24,30.24,13171705,13062900,-0.41,-1.34,30.23,"July 30, 20",-0.0134
2020-07-31,30.4,30.42,29.785,30.26,30.26,16490393,16346800,-0.14,-0.46053,30.14,"July 31, 20",-0.0046053
2020-08-03,30.24,31.295,30.06,31.19,31.19,17254995,17078900,0.95,3.14,30.73,"August 03, 20",0.0314
2020-08-04,31.17,32.845,31.17,32.68,32.68,22096770,21958100,1.51,4.84,32.44,"August 04, 20",0.0484
2020-08-05,33.1,33.32,32.5,33.2,33.2,17491016,16987800,0.1,0.30211,33.05,"August 05, 20",0.0030211
2020-08-06,33.27,34.795,33.21,34.71,34.709999,38822816,38601500,1.44,4.33,34.22,"August 06, 20",0.0433
2020-08-07,33.09,33.7,32.45,32.9,32.9,39591648,39071200,-0.19,-0.57419,32.92,"August 07, 20",-0.0057419
2020-08-10,33.04,33.18,31.51,32.27,32.27,21545220,21347600,-0.77,-2.33,32.21,"August 10, 20",-0.0233
2020-08-11,31.66,32.21,30.65,31.21,31.209999,31967916,31569900,-0.45,-1.42,31.42,"August 11, 20",-0.0142
2020-08-12,31.46,32.22,30.69,30.84,30.84,23577383,23375900,-0.62,-1.97,31.31,"August 12, 20",-0.0197
2020-08-13,30.52,31.33,30.32,30.46,30.459999,22195394,21976800,-0.06,-0.19659,30.78,"August 13, 20",-0.0019659
2020-08-14,30.4,30.49,29.815,29.99,29.99,17801127,17631600,-0.41,-1.35,30.03,"August 14, 20",-0.0135
2020-08-17,30.05,30.12,29.14,29.48,29.48,18718175,18544700,-0.57,-1.9,29.55,"August 17, 20",-0.019
2020-08-18,29.5,30.46,29.41,30.08,30.08,29630558,29398200,0.58,1.97,29.91,"August 18, 20",0.0197
2020-08-19,30.15,30.349,29.39,29.42,29.42,14237423,14050300,-0.73,-2.42,29.78,"August 19, 20",-0.0242
2020-08-20,29.13,31.7,28.48,31.41,31.41,56835770,56663300,2.28,7.83,30.28,"August 20, 20",0.0783
2020-08-21,31.39,31.82,30.7144,30.83,30.83,20545935,20217000,-0.56,-1.78,31.08,"August 21, 20",-0.0178
2020-08-24,30.97,31.3,30.37,31.04,31.04,17556066,17406200,0.07,0.22603,30.93,"August 24, 20",0.0022603
2020-08-25,31.04,31.19,30.6,31.19,31.19,10195986,10056800,0.15,0.48325,30.9,"August 25, 20",0.0048325
2020-08-26,31.01,32.71,30.95,32.3,32.299999,20734235,20599800,1.29,4.16,32.14,"August 26, 20",0.0416
2020-08-27,32.4,33.07,32.27,32.8,32.799999,21466047,21306500,0.4,1.23,32.76,"August 27, 20",0.0123
2020-08-28,33.0,33.94,32.82,33.8,33.799999,17959932,17825600,0.8,2.42,33.56,"August 28, 20",0.0242
2020-08-31,33.62,33.92,33.1401,33.63,33.63,15179010,14980600,0.01,0.0297442,33.61,"August 31, 20",0.000297442
2020-09-01,33.45,34.51,33.145,34.3,34.299999,16161439,16013900,0.85,2.54,34.09,"September 01, 20",0.0254
2020-09-02,34.21,34.505,33.29,34.37,34.369999,16791191,16552700,0.16,0.4677,33.96,"September 02, 20",0.004677
2020-09-03,34.08,34.74,32.95,33.41,33.41,17447566,17288800,-0.67,-1.97,33.71,"September 03, 20",-0.0197
2020-09-04,33.33,33.65,31.55,33.24,33.24,17451846,17480600,-0.09,-0.27003,32.73,"September 04, 20",-0.0027003
2020-09-08,32.36,35.1,32.16,34.32,34.32,33887874,33683500,1.96,6.06,34.29,"September 08, 20",0.0606
2020-09-09,34.11,35.5,34.11,35.01,35.009998,23043558,22803500,0.9,2.64,35.07,"September 09, 20",0.0264
2020-09-10,35.2,36.78,35.19,35.98,35.98,35736561,35468300,0.78,2.22,36.16,"September 10, 20",0.0222
2020-09-11,36.3,37.145,36.254,36.98,36.98,27334808,27130900,0.68,1.87,36.8,"September 11, 20",0.0187
2020-09-14,37.1,38.0,37.08,37.95,37.95,28390403,28016000,0.85,2.29,37.66,"September 14, 20",0.0229
2020-09-15,37.95,38.48,37.27,37.47,37.47,23863949,23532600,-0.48,-1.26,37.91,"September 15, 20",-0.0126
2020-09-16,37.39,38.52,37.39,37.66,37.66,21856068,21787100,0.27,0.72212,38.01,"September 16, 20",0.0072212
2020-09-17,36.68,37.445,36.14,37.06,37.06,23781918,23534800,0.38,1.04,36.77,"September 17, 20",0.0104
2020-09-18,37.15,37.565,36.39,37.12,37.119999,68619055,68428600,-0.03,-0.0807537,37.08,"September 18, 20",-0.000807537
2020-09-21,35.86,36.58,35.12,36.49,36.49,19322084,19100800,0.63,1.76,35.97,"September 21, 20",0.0176
2020-09-22,36.53,36.55,34.1,34.4,34.4,28358635,28242800,-2.13,-5.83,34.78,"September 22, 20",-0.0583
2020-09-23,34.45,34.805,33.4,33.55,33.549999,15925012,15796900,-0.9,-2.61,34.12,"September 23, 20",-0.0261
2020-09-24,33.66,34.0,32.89,33.35,33.349998,16697139,16404100,-0.31,-0.92097,33.44,"September 24, 20",-0.0092097
2020-09-25,33.2,34.5,33.2,34.46,34.459999,10800377,10736300,1.26,3.8,34.1,"September 25, 20",0.038
2020-09-28,35.8,36.625,35.26,35.56,35.56,23047892,22878400,-0.24,-0.67039,35.87,"September 28, 20",-0.0067039
2020-09-29,35.56,35.65,34.595,35.43,35.43,16637342,16488700,-0.13,-0.36558,35.08,"September 29, 20",-0.0036558
2020-09-30,35.28,36.5,35.28,36.48,36.48,21511995,21386300,1.2,3.4,36.15,"September 30, 20",0.034
2020-10-01,36.86,37.8282,36.58,37.14,37.139999,19391752,19187500,0.28,0.75963,37.04,"October 01, 20",0.0075963
2020-10-02,36.0,37.99,35.94,37.72,37.72,20389749,20123400,1.72,4.78,37.12,"October 02, 20",0.0478
2020-10-05,37.7,38.0,36.88,37.14,37.139999,13242099,13093100,-0.56,-1.49,37.28,"October 05, 20",-0.0149
2020-10-06,37.17,37.37,36.04,36.26,36.259998,13246881,13074700,-0.91,-2.45,36.61,"October 06, 20",-0.0245
2020-10-07,36.59,37.11,36.365,36.78,36.779999,13880394,13782100,0.19,0.51927,36.75,"October 07, 20",0.0051927
2020-10-08,37.0,37.83,36.96,37.34,37.34,12293889,12212400,0.34,0.91892,37.48,"October 08, 20",0.0091892
2020-10-09,37.91,38.35,37.19,37.27,37.27,13360236,13172000,-0.64,-1.69,37.61,"October 09, 20",-0.0169
2020-10-12,37.56,37.56,36.175,36.26,36.259998,16648255,16569400,-1.3,-3.46,36.51,"October 12, 20",-0.0346
2020-10-13,36.22,36.23,35.02,35.56,35.56,15568062,15463100,-0.66,-1.82,35.72,"October 13, 20",-0.0182
2020-10-14,35.69,36.09,35.075,35.11,35.11,15586872,15397200,-0.58,-1.63,35.6,"October 14, 20",-0.0163
2020-10-15,34.68,34.81,34.02,34.26,34.259998,15599577,15443800,-0.42,-1.21,34.35,"October 15, 20",-0.0121
2020-10-16,34.78,34.8,33.61,33.72,33.72,15055009,14899700,-1.06,-3.05,34.02,"October 16, 20",-0.0305
2020-10-19,34.16,34.59,34.0,34.22,34.22,19520246,19278600,0.06,0.17564,34.25,"October 19, 20",0.0017564
2020-10-20,34.53,36.76,34.53,36.31,36.31,30100660,29820700,1.78,5.15,36.12,"October 20, 20",0.0515
2020-10-21,36.25,36.25,34.8751,35.2,35.2,18992913,19058700,-1.05,-2.9,35.39,"October 21, 20",-0.029
2020-10-22,35.42,36.89,34.9146,36.7,36.7,14365406,14243600,1.28,3.61,36.1,"October 22, 20",0.0361
2020-10-23,36.5,36.99,35.9238,36.75,36.75,16091443,15960600,0.25,0.68493,36.62,"October 23, 20",0.0068493
2020-10-26,36.5,36.74,35.12,35.49,35.49,12606172,12511700,-1.01,-2.77,35.69,"October 26, 20",-0.0277
2020-10-27,35.51,35.7,34.02,34.16,34.16,13789644,13692100,-1.35,-3.8,34.39,"October 27, 20",-0.038
2020-10-28,33.62,33.66,32.9,33.65,33.65,16022634,15787900,0.03,0.0892326,33.35,"October 28, 20",0.000892326
2020-10-29,33.71,34.935,33.33,34.06,34.06,13849421,13735300,0.35,1.04,34.32,"October 29, 20",0.0104
