date,Open,High,Low,Close,adjClose,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-04-03,12.65,13.02,11.8,12.24,11.91,41665200,41665200,-0.405,-3.24,12.4275,"April 03, 20",-0.0324
2020-04-06,13.68,15.03,13.5,14.72,14.32,41583000,41583000,1.04,7.6,14.2325,"April 06, 20",0.076
2020-04-07,16.27,16.41,14.7,14.72,14.32,59664000,59664000,-1.56,-9.53,15.525,"April 07, 20",-0.0953
2020-04-08,15.2,16.43,14.81,16.21,15.78,40655240,40655240,1.01,6.64,15.6625,"April 08, 20",0.0664
2020-04-09,16.85,17.48,16.46,16.95,16.49,53853242,53853242,0.1,0.59347,16.935,"April 09, 20",0.0059347
2020-04-13,16.76,16.82,15.7,16.45,16.01,43303400,43303400,-0.31,-1.85,16.4325,"April 13, 20",-0.0185
2020-04-14,17.45,18.1,17.24,17.95,17.47,38211200,38211200,0.5,2.87,17.685,"April 14, 20",0.0287
2020-04-15,16.76,17.13,16.36,16.79,16.34,33866800,33866800,0.035,0.179,16.76,"April 15, 20",0.00179
2020-04-16,17.04,17.2,16.42,17.04,16.58,42307286,42307286,0.0,0.0,16.925,"April 16, 20",0.0
2020-04-17,18.18,18.53,17.63,18.43,17.94,37022844,37022844,0.25,1.38,18.1925,"April 17, 20",0.0138
2020-04-20,17.63,18.34,17.39,17.43,16.97,35936456,35936456,-0.195,-1.13,17.6975,"April 20, 20",-0.0113
2020-04-21,16.52,16.77,15.66,15.83,15.4,43077600,43077600,-0.7,-4.18,16.195,"April 21, 20",-0.0418
2020-04-22,16.76,17.22,16.52,16.9,16.45,25065384,25065384,0.14,0.83532,16.85,"April 22, 20",0.0083532
2020-04-23,17.15,17.77,16.83,16.88,16.43,36714222,36714222,-0.275,-1.57,17.1575,"April 23, 20",-0.0157
2020-04-24,17.19,17.72,16.78,17.59,17.12,28617246,28617246,0.4,2.33,17.32,"April 24, 20",0.0233
2020-04-27,18.0,18.57,17.9,18.36,17.88,23238600,23238600,0.37,2.0,18.2075,"April 27, 20",0.02
2020-04-28,19.12,19.18,18.03,18.1,17.61,36668454,36668454,-1.03,-5.33,18.6075,"April 28, 20",-0.0533
2020-04-29,19.2,19.83,18.99,19.5,18.98,29156816,29156816,0.29,1.56,19.38,"April 29, 20",0.0156
2020-04-30,19.21,19.32,18.59,18.95,18.45,30899600,30899600,-0.26,-1.35,19.0175,"April 30, 20",-0.0135
2020-05-01,17.93,18.09,17.21,17.43,16.97,33125400,33125400,-0.505,-2.79,17.665,"May 01, 20",-0.0279
2020-05-04,17.07,17.67,16.77,17.61,17.15,21443000,21443000,0.545,3.16,17.28,"May 04, 20",0.0316
2020-05-05,18.17,18.65,18.0,18.09,17.6,22136082,22136082,-0.085,-0.44029,18.2275,"May 05, 20",-0.0044029
2020-05-06,18.43,18.52,17.68,17.73,17.25,26540242,26540242,-0.71,-3.8,18.09,"May 06, 20",-0.038
2020-05-07,18.37,18.74,18.25,18.36,17.87,22188012,22188012,-0.015,-0.05443658,18.43,"May 07, 20",-0.0005443658
2020-05-08,18.99,19.34,18.77,19.26,18.74,20539312,20539312,0.265,1.42,19.09,"May 08, 20",0.0142
2020-05-11,18.84,19.57,18.75,19.29,18.77,21826622,21826622,0.45,2.39,19.1125,"May 11, 20",0.0239
2020-05-12,19.52,19.61,18.1,18.1,17.62,24825238,24825238,-1.42,-7.27,18.8325,"May 12, 20",-0.0727
