date,Open,High,Low,Close,adjClose,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-04-03,8.1,8.17,7.66,7.9,7.87,1483100,1483100,-0.2,-2.47,7.9575,"April 03, 20",-0.0247
2020-04-06,8.08,8.76,8.05,8.6,8.57,1415926,1415926,0.52,6.44,8.3725,"April 06, 20",0.0644
2020-04-07,9.02,9.28,8.1,8.14,8.11,1974700,1974700,-0.88,-9.76,8.635,"April 07, 20",-0.0976
2020-04-08,8.23,8.73,8.19,8.5,8.47,1550600,1550600,0.27,3.28,8.4125,"April 08, 20",0.0328
2020-04-09,8.8,9.36,8.75,9.19,9.15,2207526,2207526,0.39,4.43,9.025,"April 09, 20",0.0443
2020-04-13,8.97,9.76,8.95,9.65,9.61,2202695,2202695,0.68,7.58,9.3325,"April 13, 20",0.0758
2020-04-14,9.72,10.37,9.72,9.88,9.84,2254348,2254348,0.16,1.65,9.9225,"April 14, 20",0.0165
2020-04-15,9.7,10.02,9.24,9.72,9.68,1091608,1091608,0.02,0.20619,9.67,"April 15, 20",0.0020619
2020-04-16,9.77,10.15,9.67,10.0,9.96,1551100,1551100,0.23,2.35,9.8975,"April 16, 20",0.0235
2020-04-17,10.33,10.6,10.07,10.28,10.24,2105732,2105732,-0.05,-0.48403,10.32,"April 17, 20",-0.0048403
2020-04-20,10.13,10.6,9.85,10.26,10.22,865800,865800,0.13,1.28,10.21,"April 20, 20",0.0128
2020-04-21,10.08,10.32,9.76,9.98,9.94,2111300,2111300,-0.1,-0.99206,10.035,"April 21, 20",-0.0099206
2020-04-22,10.12,10.35,9.84,10.0,9.96,1884500,1884500,-0.12,-1.19,10.0775,"April 22, 20",-0.0119
2020-04-23,10.01,10.38,9.87,10.09,10.05,981040,981040,0.08,0.7992,10.0875,"April 23, 20",0.007992
2020-04-24,10.23,10.47,10.04,10.26,10.22,753700,753700,0.03,0.29326,10.25,"April 24, 20",0.0029326
2020-04-27,10.4,10.57,10.21,10.37,10.33,1096800,1096800,-0.03,-0.28846,10.3875,"April 27, 20",-0.0028846
2020-04-28,10.5,10.81,10.1,10.45,10.41,1192000,1192000,-0.05,-0.47619,10.465,"April 28, 20",-0.0047619
2020-04-29,10.71,10.86,10.5,10.65,10.61,1242400,1242400,-0.06,-0.56022,10.68,"April 29, 20",-0.0056022
2020-04-30,10.63,10.84,10.06,10.59,10.55,1567048,1567048,-0.04,-0.37629,10.53,"April 30, 20",-0.0037629
2020-05-01,10.42,10.59,9.82,10.29,10.25,2055300,2055300,-0.13,-1.25,10.28,"May 01, 20",-0.0125
2020-05-04,10.4,10.4,9.98,10.09,10.05,1527421,1527421,-0.31,-2.98,10.2175,"May 04, 20",-0.0298
2020-05-05,10.13,10.5,10.1,10.4,10.36,2763700,2763700,0.27,2.67,10.2825,"May 05, 20",0.0267
2020-05-06,9.85,10.87,9.72,10.65,10.61,4518500,4518500,0.8,8.12,10.2725,"May 06, 20",0.0812
2020-05-07,11.03,11.36,10.79,10.87,10.83,2720542,2720542,-0.16,-1.45,11.0125,"May 07, 20",-0.0145
2020-05-08,10.96,11.4,10.9,11.01,10.97,2308600,2308600,0.05,0.4562,11.0675,"May 08, 20",0.004562
2020-05-11,11.23,11.8,11.06,11.54,11.5,2556448,2556448,0.31,2.76,11.4075,"May 11, 20",0.0276
2020-05-12,11.64,11.8,11.48,11.56,11.52,1971722,1971722,-0.08,-0.68729,11.62,"May 12, 20",-0.0068729
2020-05-13,11.53,11.65,11.07,11.24,11.2,2783000,2783000,-0.29,-2.52,11.3725,"May 13, 20",-0.0252
2020-05-14,11.07,11.64,10.75,11.59,11.55,1927100,1927100,0.52,4.7,11.2625,"May 14, 20",0.047
2020-05-15,11.5,11.63,11.28,11.45,11.41,1591749,1591749,-0.05,-0.43478,11.465,"May 15, 20",-0.0043478
2020-05-18,11.75,12.25,11.44,11.71,11.66,2161805,2161805,-0.04,-0.34043,11.7875,"May 18, 20",-0.0034043
2020-05-19,11.69,12.18,11.65,11.75,11.7,1527600,1527600,0.06,0.51326,11.8175,"May 19, 20",0.0051326
2020-05-20,12.0,12.44,11.96,11.97,11.92,2236500,2236500,-0.03,-0.25,12.0925,"May 20, 20",-0.0025
2020-05-21,12.01,12.3,11.77,12.02,11.97,2635400,2635400,0.01,0.08326395,12.025,"May 21, 20",0.0008326395
2020-05-22,12.06,12.18,11.98,12.07,12.02,2370700,2370700,0.01,0.08291874,12.0725,"May 22, 20",0.0008291874
2020-05-26,12.47,12.58,12.21,12.49,12.44,3573417,3573417,0.02,0.16038,12.4375,"May 26, 20",0.0016038
2020-05-27,12.75,12.75,12.31,12.45,12.4,3815200,3815200,-0.3,-2.35,12.565,"May 27, 20",-0.0235
