date,Open,High,Low,Close,adjClose,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-04-03,155.56,157.72,150.6,151.85,146.55,11994700,11994700,-3.71,-2.38,153.9325,"April 03, 20",-0.0238
2020-04-06,160.02,170.73,158.25,169.44,163.52,16479116,16479116,9.42,5.89,164.61,"April 06, 20",0.0589
2020-04-07,177.76,178.8,168.1,168.59,162.7,15379002,15379002,-9.17,-5.16,173.3125,"April 07, 20",-0.0516
2020-04-08,171.01,176.0,167.93,174.94,168.83,11146505,11146505,3.93,2.3,172.47,"April 08, 20",0.023
2020-04-09,176.27,177.19,172.85,173.69,167.62,12234791,12234791,-2.58,-1.46,175.0,"April 09, 20",-0.0146
2020-04-13,172.26,172.32,166.15,168.99,163.09,14043743,14043743,-3.27,-1.9,169.93,"April 13, 20",-0.019
2020-04-14,173.09,175.43,170.83,174.62,168.52,9980500,9980500,1.53,0.88393,173.4925,"April 14, 20",0.0088393
2020-04-15,168.7,169.36,164.95,165.96,160.16,12118700,12118700,-2.74,-1.62,167.2425,"April 15, 20",-0.0162
2020-04-16,167.11,168.0,159.8,162.42,156.75,20308242,20308242,-4.69,-2.81,164.3325,"April 16, 20",-0.0281
2020-04-17,169.65,170.99,164.95,169.54,163.62,15375823,15375823,-0.11,-0.06483938,168.7825,"April 17, 20",-0.0006483938
2020-04-20,167.33,167.43,163.2,164.22,158.48,10505200,10505200,-3.11,-1.86,165.545,"April 20, 20",-0.0186
2020-04-21,162.0,162.57,159.15,160.53,154.92,10562119,10562119,-1.47,-0.90741,161.0625,"April 21, 20",-0.0090741
2020-04-22,164.66,167.7,162.92,166.59,160.77,14512902,14512902,1.93,1.17,165.4675,"April 22, 20",0.0117
2020-04-23,167.88,170.41,166.21,166.38,160.57,11411300,11411300,-1.5,-0.8935,167.72,"April 23, 20",-0.008935
2020-04-24,168.44,168.75,164.01,167.32,161.48,8393562,8393562,-1.12,-0.66493,167.13,"April 24, 20",-0.0066493
2020-04-27,168.65,172.35,168.55,171.76,165.76,9903319,9903319,3.11,1.84,170.3275,"April 27, 20",0.0184
2020-04-28,175.0,175.01,170.38,171.25,165.27,8614404,8614404,-3.75,-2.14,172.91,"April 28, 20",-0.0214
2020-04-29,176.85,182.25,176.1,181.79,175.44,12862801,12862801,4.94,2.79,179.2475,"April 29, 20",0.0279
2020-04-30,181.78,181.83,177.66,178.72,172.48,11331600,11331600,-3.06,-1.68,179.9975,"April 30, 20",-0.0168
2020-05-01,174.45,179.64,174.27,175.57,169.44,10109600,10109600,1.12,0.64202,175.9825,"May 01, 20",0.0064202
2020-05-04,172.95,176.94,171.72,176.15,170.0,9386209,9386209,3.2,1.85,174.44,"May 04, 20",0.0185
2020-05-05,179.09,181.1,178.26,178.44,172.21,13513000,13513000,-0.65,-0.36295,179.2225,"May 05, 20",-0.0036295
2020-05-06,179.72,180.51,177.88,178.78,172.54,8540501,8540501,-0.94,-0.52304,179.2225,"May 06, 20",-0.0052304
2020-05-07,181.75,184.98,181.71,182.72,176.34,9262209,9262209,0.97,0.5337,182.79,"May 07, 20",0.005337
2020-05-08,185.03,185.75,183.62,185.09,178.62,6475195,6475195,0.06,0.03242717,184.8725,"May 08, 20",0.0003242717
2020-05-11,183.87,184.62,181.43,183.56,177.15,8683139,8683139,-0.31,-0.1686,183.37,"May 11, 20",-0.001686
2020-05-12,183.56,183.99,179.37,179.47,173.2,8219700,8219700,-4.09,-2.23,181.5975,"May 12, 20",-0.0223
2020-05-13,178.5,181.09,175.04,177.09,171.19,13377121,13377121,-1.41,-0.78992,177.93,"May 13, 20",-0.0078992
2020-05-14,175.94,181.05,173.82,180.9,174.87,9695147,9695147,4.96,2.82,177.9275,"May 14, 20",0.0282
