date,Open,High,Low,Close,adjClose,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-04-03,46.02,46.68,42.33,43.72,43.72,18832049,18748600,-2.3,-5.0,43.61,"April 03, 20",-0.05
2020-04-06,47.22,51.1,46.19,50.42,50.419998,25456019,25521700,3.2,6.78,49.1,"April 06, 20",0.0678
2020-04-07,54.78,54.91,49.7,50.31,50.31,17380092,17105000,-4.47,-8.16,51.83,"April 07, 20",-0.0816
2020-04-08,51.81,57.75,51.81,57.04,57.04,24730011,24785100,5.23,10.09,55.58,"April 08, 20",0.1009
2020-04-09,58.88,64.94,58.5,59.21,59.209999,31134839,30870900,0.33,0.56046,60.68,"April 09, 20",0.0056046
2020-04-13,60.1,60.1,56.12,59.42,59.419998,15356040,15199500,-0.68,-1.13,58.52,"April 13, 20",-0.0113
2020-04-14,60.02,62.61,59.6145,62.41,62.41,18248669,17905500,2.39,3.98,61.42,"April 14, 20",0.0398
2020-04-15,59.67,61.76,59.33,61.38,61.38,12646599,12468800,1.71,2.87,60.86,"April 15, 20",0.0287
2020-04-16,58.1,59.3,56.63,57.32,57.32,20150920,19879200,-0.78,-1.34,57.88,"April 16, 20",-0.0134
2020-04-17,59.5,61.44,58.7,61.09,61.09,14303937,14044800,1.59,2.67,60.42,"April 17, 20",0.0267
2020-04-20,59.44,63.59,59.15,61.06,61.06,14508561,14342400,1.62,2.73,61.71,"April 20, 20",0.0273
2020-04-21,60.0,60.44,56.86,57.4,57.4,15451066,15333900,-2.6,-4.33,58.06,"April 21, 20",-0.0433
2020-04-22,59.35,61.25,58.01,60.96,60.959999,13546435,13444900,1.61,2.71,60.1,"April 22, 20",0.0271
2020-04-23,61.31,63.5,60.9209,61.82,61.82,13169624,13098800,0.51,0.83184,62.35,"April 23, 20",0.0083184
2020-04-24,62.23,62.56,61.04,62.01,62.009998,9712575,9625000,-0.22,-0.35353,61.91,"April 24, 20",-0.0035353
2020-04-27,63.61,64.24,61.81,63.55,63.549999,10347485,10241700,-0.06,-0.09432479,63.49,"April 27, 20",-0.0009432479
2020-04-28,64.17,65.025,60.9,61.75,61.75,12029206,11852100,-2.42,-3.77,62.53,"April 28, 20",-0.0377
2020-04-29,63.44,66.72,63.39,65.77,65.769997,14470356,14387300,2.33,3.67,65.52,"April 29, 20",0.0367
2020-04-30,65.0,66.89,64.72,65.14,65.139999,10638813,10525900,0.14,0.21538,65.78,"April 30, 20",0.0021538
2020-05-01,62.84,63.9095,61.44,63.0,63.0,10144670,10042400,0.16,0.25461,62.56,"May 01, 20",0.0025461
2020-05-04,61.34,64.17,61.09,63.69,63.689999,7669913,7556900,2.35,3.83,63.3,"May 04, 20",0.0383
2020-05-05,66.0,68.59,65.21,66.69,66.69,12115989,12011500,0.69,1.05,67.17,"May 05, 20",0.0105
2020-05-06,67.32,69.81,67.12,68.1,68.099998,16285142,16202900,0.78,1.16,68.19,"May 06, 20",0.0116
2020-05-07,69.86,76.8,69.58,74.62,74.62,31356545,31027000,4.76,6.81,74.41,"May 07, 20",0.0681
2020-05-08,72.04,76.4,72.0,76.05,76.05,20516698,20030600,4.01,5.57,74.57,"May 08, 20",0.0557
2020-05-11,75.7,75.9027,74.36,74.9,74.9,12854671,12720600,-0.8,-1.06,75.08,"May 11, 20",-0.0106
2020-05-12,76.0,77.39,74.31,75.21,75.209999,17179577,17015500,-0.79,-1.04,75.72,"May 12, 20",-0.0104
2020-05-13,75.32,75.8,70.82,73.79,73.79,14068179,13970100,-1.53,-2.03,73.63,"May 13, 20",-0.0203
2020-05-14,72.17,78.25,71.07,78.2,78.199997,16132884,16038900,6.03,8.36,75.84,"May 14, 20",0.0836
2020-05-15,77.75,81.13,76.65,80.26,80.26,16443503,16312000,2.51,3.23,79.72,"May 15, 20",0.0323
2020-05-18,78.7,81.35,76.44,76.63,76.629997,16614101,16215500,-2.07,-2.63,78.27,"May 18, 20",-0.0263
2020-05-19,76.45,82.14,76.25,79.25,79.25,14367232,14225500,2.8,3.66,80.06,"May 19, 20",0.0366
2020-05-20,81.5,83.1,80.52,82.04,82.04,10273403,10152200,0.54,0.66258,81.94,"May 20, 20",0.0066258
2020-05-21,79.5,81.7,78.76,81.49,81.489998,10278224,10082100,1.99,2.5,80.49,"May 21, 20",0.025
2020-05-22,81.23,82.49,80.83,81.49,81.489998,6353703,6262000,0.26,0.32008,81.6,"May 22, 20",0.0032008
2020-05-26,83.98,84.09,80.5,80.79,80.79,9893253,9682800,-3.19,-3.8,81.63,"May 26, 20",-0.038
2020-05-27,80.04,81.14,76.02,81.02,81.019997,11721960,11637100,0.98,1.22,78.8,"May 27, 20",0.0122
2020-05-28,81.02,82.32,79.0,79.62,79.62,10027275,9939400,-1.4,-1.73,80.77,"May 28, 20",-0.0173
2020-05-29,79.73,81.95,79.34,81.08,81.08,8402463,8325500,1.35,1.69,80.78,"May 29, 20",0.0169
2020-06-01,81.0,83.42,80.12,82.72,82.72,8807271,8709700,1.72,2.12,82.32,"June 01, 20",0.0212
2020-06-02,82.96,88.27,82.38,88.0,88.0,18450423,18364200,5.04,6.08,86.69,"June 02, 20",0.0608
2020-06-03,88.0,92.5496,87.09,91.97,91.97,17295104,17089200,3.97,4.51,91.03,"June 03, 20",0.0451
2020-06-04,90.96,92.9599,86.19,87.72,87.72,13539646,13368100,-3.24,-3.56,88.92,"June 04, 20",-0.0356
2020-06-05,90.0,91.45,88.067,89.93,89.93,11290618,11127700,-0.07,-0.07777778,89.65,"June 05, 20",-0.0007777778
2020-06-08,90.5,91.23,88.03,89.62,89.62,8844693,8751100,-0.88,-0.97238,89.23,"June 08, 20",-0.0097238
2020-06-09,89.02,91.6538,87.87,89.53,89.529999,7823269,7749000,0.51,0.5729,90.21,"June 09, 20",0.005729
2020-06-10,90.26,92.97,89.5,91.91,91.91,9561378,9486700,1.65,1.83,91.43,"June 10, 20",0.0183
2020-06-11,87.75,90.0,85.77,86.09,86.089996,14921361,14754700,-1.66,-1.89,87.37,"June 11, 20",-0.0189
2020-06-12,89.02,89.18,84.25,86.72,86.72,10050663,9937300,-2.3,-2.58,86.3,"June 12, 20",-0.0258
2020-06-15,84.79,91.3,84.06,91.0,91.0,9938837,9813000,6.21,7.32,89.21,"June 15, 20",0.0732
2020-06-16,93.07,95.8681,92.56,94.74,94.739998,13187791,13026400,1.67,1.79,94.53,"June 16, 20",0.0179
2020-06-17,94.78,100.0,94.7,97.03,97.029999,17233625,17113700,2.25,2.37,98.13,"June 17, 20",0.0237
2020-06-18,97.0,98.6499,95.82,98.27,98.269997,8901083,8766900,1.27,1.31,97.67,"June 18, 20",0.0131
2020-06-19,100.1,102.26,97.92,97.98,97.98,14065838,13879800,-2.12,-2.12,99.85,"June 19, 20",-0.0212
2020-06-22,99.74,105.46,99.25,104.22,104.22,17209353,17117000,4.48,4.49,103.96,"June 22, 20",0.0449
2020-06-23,105.0,106.36,103.05,104.75,104.75,14277833,14042800,-0.25,-0.2381,104.92,"June 23, 20",-0.002381
2020-06-24,104.0,105.7492,98.93,100.88,100.879997,13378324,13250400,-3.12,-3.0,101.58,"June 24, 20",-0.03
2020-06-25,102.46,106.15,101.286,104.78,104.779999,13697234,13569800,2.32,2.26,104.61,"June 25, 20",0.0226
2020-06-26,105.03,107.84,102.5176,104.3,104.3,19850875,19759100,-0.73,-0.69504,105.14,"June 26, 20",-0.0069504
2020-06-29,105.15,105.28,101.22,103.68,103.68,9350889,9210800,-1.47,-1.4,103.43,"June 29, 20",-0.014
2020-06-30,103.5,105.3,102.8875,104.94,104.94,7661954,7605100,1.44,1.39,104.32,"June 30, 20",0.0139
2020-07-01,106.92,117.13,106.54,115.9,115.9,22594474,22480900,8.98,8.4,113.37,"July 01, 20",0.084
2020-07-02,118.0,118.78,113.23,113.39,113.389999,15335494,15066300,-4.61,-3.91,115.57,"July 02, 20",-0.0391
2020-07-06,118.79,128.36,118.03,118.97,118.97,34683195,34424000,0.18,0.15153,123.0,"July 06, 20",0.0015153
2020-07-07,121.2,129.84,120.03,125.6,125.599998,28765283,28573900,4.4,3.63,126.43,"July 07, 20",0.0363
2020-07-08,127.2,133.43,127.0,133.35,133.35,25932736,25627400,6.15,4.83,131.6,"July 08, 20",0.0483
2020-07-09,132.54,133.81,127.67,129.39,129.389999,22247560,21959300,-3.15,-2.38,130.3,"July 09, 20",-0.0238
2020-07-10,128.39,129.6,125.255,128.05,128.05,11397230,11260800,-0.34,-0.26482,126.97,"July 10, 20",-0.0026482
2020-07-13,131.05,133.24,116.67,118.65,118.65,18646038,18489500,-12.4,-9.46,125.32,"July 13, 20",-0.0946
2020-07-14,118.59,121.8536,111.14,121.24,121.239998,17390515,17175100,2.65,2.23,117.73,"July 14, 20",0.0223
2020-07-15,124.01,124.48,117.66,122.2,122.199997,9782713,9606900,-1.81,-1.46,121.12,"July 15, 20",-0.0146
2020-07-16,119.94,123.3,117.55,119.95,119.949997,11923552,11827600,0.01,0.0083375,120.16,"July 16, 20",8.3375e-05
2020-07-17,120.98,122.38,118.59,120.73,120.73,7051118,6961700,-0.25,-0.20665,120.21,"July 17, 20",-0.0020665
2020-07-20,121.26,129.46,120.53,128.39,128.389999,12486010,12424000,7.13,5.88,126.61,"July 20, 20",0.0588
2020-07-21,129.95,130.8,125.07,126.99,126.989998,10927768,10777800,-2.96,-2.28,127.56,"July 21, 20",-0.0228
2020-07-22,127.49,131.71,127.06,129.18,129.179993,8508936,8437500,1.69,1.33,128.85,"July 22, 20",0.0133
2020-07-23,127.74,129.8494,121.32,122.93,122.93,11084845,11010200,-4.81,-3.77,124.59,"July 23, 20",-0.0377
2020-07-24,119.89,122.91,117.0,121.41,121.41,8167951,8060000,1.52,1.27,120.81,"July 24, 20",0.0127
2020-07-27,124.62,126.77,122.34,125.75,125.75,9809126,9685700,1.13,0.90676,124.84,"July 27, 20",0.0090676
2020-07-28,125.2,127.53,123.32,123.51,123.51,7184663,7126100,-1.69,-1.35,125.18,"July 28, 20",-0.0135
2020-07-29,125.14,128.95,124.9,128.55,128.55,8752442,8693400,3.41,2.72,127.55,"July 29, 20",0.0272
2020-07-30,128.54,131.37,125.33,129.13,129.13,10344847,10192300,0.59,0.459,128.45,"July 30, 20",0.00459
2020-07-31,131.34,131.9,127.36,129.85,129.85,8715125,8599700,-1.49,-1.13,129.27,"July 31, 20",-0.0113
2020-08-03,130.26,136.135,130.26,134.8,134.8,11598834,11472600,4.54,3.49,133.96,"August 03, 20",0.0349
2020-08-04,135.88,137.8,133.6,136.83,136.83,11037004,10870300,0.95,0.69915,136.78,"August 04, 20",0.0069915
2020-08-05,153.16,158.43,146.2,146.55,146.55,40247640,39507000,-6.61,-4.32,151.57,"August 05, 20",-0.0432
2020-08-06,149.76,155.89,149.12,154.0,154.0,19586813,19352800,4.24,2.83,152.89,"August 06, 20",0.0283
2020-08-07,151.51,153.8399,143.35,147.22,147.22,15819755,15577300,-4.29,-2.83,148.15,"August 07, 20",-0.0283
2020-08-10,147.53,147.82,138.66,139.34,139.339996,13196532,13066300,-8.19,-5.55,141.69,"August 10, 20",-0.0555
2020-08-11,137.94,142.9475,135.03,138.25,138.25,13294687,13157100,0.31,0.22474,139.37,"August 11, 20",0.0022474
2020-08-12,140.01,143.42,137.69,139.02,139.02,10702266,10596900,-0.99,-0.70709,140.15,"August 12, 20",-0.0070709
2020-08-13,140.9,145.51,140.2,143.19,143.19,9923739,9835000,2.29,1.63,143.13,"August 13, 20",0.0163
2020-08-14,143.89,143.9999,139.7303,141.96,141.96,6739498,6654700,-1.93,-1.34,141.61,"August 14, 20",-0.0134
2020-08-17,144.49,153.68,143.18,152.48,152.479996,13365403,13280500,7.99,5.53,150.11,"August 17, 20",0.0553
2020-08-18,151.97,153.19,147.4121,151.04,151.039993,8673435,8523400,-0.93,-0.61196,150.09,"August 18, 20",-0.0061196
2020-08-19,151.22,152.355,148.56,150.37,150.369995,6611617,6539900,-0.85,-0.56209,150.77,"August 19, 20",-0.0056209
2020-08-20,150.17,158.1,149.82,155.86,155.86,12498226,12428100,5.69,3.79,155.95,"August 20, 20",0.0379
2020-08-21,156.4,159.47,153.12,155.1,155.1,8761798,8630500,-1.3,-0.8312,155.12,"August 21, 20",-0.008312
2020-08-24,159.0,159.0,150.98,151.79,151.789993,8939069,8807700,-7.21,-4.53,153.43,"August 24, 20",-0.0453
2020-08-25,151.8,155.74,149.0,155.0,155.0,6540447,6429400,3.2,2.11,153.83,"August 25, 20",0.0211
2020-08-26,156.09,158.69,151.73,153.74,153.74,7764524,7689900,-2.35,-1.51,154.97,"August 26, 20",-0.0151
2020-08-27,156.87,161.5399,155.5,155.61,155.61,11754210,11617200,-1.26,-0.80321,158.3,"August 27, 20",-0.0080321
2020-08-28,159.15,159.15,154.06,155.93,155.929993,6477829,6292000,-3.22,-2.02,156.18,"August 28, 20",-0.0202
2020-08-31,157.0,160.7745,156.02,159.56,159.559998,7678748,7630200,2.56,1.63,158.96,"August 31, 20",0.0163
2020-09-01,164.81,170.46,162.0,166.66,166.66,12511036,12306400,1.85,1.12,167.69,"September 01, 20",0.0112
2020-09-02,170.6,170.61,158.11,162.88,162.88,11388609,11214800,-7.72,-4.53,163.1,"September 02, 20",-0.0453
