Symbol,Description,Quantity,Last Price,Last Price Change,Current Value,Today's Gain/Loss Dollar,Today's Gain/Loss Percent,Total Gain/Loss Dollar,Total Gain/Loss Percent,Percent Of Account,Cost Basis Total,Average Cost Basis,Type
SPAXX**,"HELD IN MONEY MARKET",,,,"$12,345,670.00",,,,,5.00%,,,Cash
AAPL,"APPLE INC",1500,$225.50 ,($2.10),"$33,825.00 ",($315.00),-0.92%,"$6,150.00 ",22.15%,1.25%,"$27,675.00 ",$184.50 ,Margin
 -AAPL250417C220,"AAPL APR 17 2025 $220 CALL",-15,$5.50 ,($1.50),($1100.00),$300.00 ,21.43%,($200.00),-15.38%,-0.04%,"$1,300.00 ",$6.50 ,Margin
AMZN,"AMAZON.COM INC",15000,$195.00 ,($3.50),"$292,500.00 ","($5,250.00)",-1.77%,"$60,500.00 ",26.09%,10.05%,"$232,000.00 ",$154.67 ,Margin
 -AMZN250417C200,"AMZN APR 17 2025 $200 CALL",-100,$3.00 ,($2.00),($3000.00),"$2,000.00 ",40.00%,$500.00 ,20.00%,-0.10%,"$3,500.00 ",$3.50 ,Margin
 -AMZN250516P200,"AMZN MAY 16 2025 $200 PUT",-50,$14.00 ,$2.00 ,($7000.00),($1000.00),-16.67%,($4000.00),-133.33%,-0.24%,"$3,000.00 ",$6.00 ,Margin
BKNG,"BOOKING HOLDINGS INC COM",200,"$4,600.00 ",($100.00),"$92,000.00 ","($2,000.00)",-2.13%,"$21,000.00 ",29.58%,3.16%,"$71,000.00 ","$3,550.00 ",Margin
 -CRM250620C350,"CRM JUN 20 2025 $350 CALL",-20,$1.20 ,($0.40),($240.00),$80.00 ,25.00%,$1040.00 ,80.62%,-0.01%,"$1,280.00 ",$6.40 ,Margin
 -CRM250620P290,"CRM JUN 20 2025 $290 PUT",-20,$30.00 ,$5.00 ,($6000.00),($1000.00),-20.00%,($1800.00),-42.86%,-0.21%,"$4,200.00 ",$21.00 ,Margin
 -CRM260618C240,"CRM JUN 18 2026 $240 CALL",20,$65.00 ,($6.00),"$13,000.00 ",($1200.00),-8.45%,($4500.00),-25.71%,0.45%,"$17,500.00 ",$87.50 ,Margin
FFRHX,"FIDELITY FLOATING RATE HIGH INCOME",200000,$9.20 ,($0.01),"$184,000.00 ",($200.00),-0.11%,($2000.00),-1.08%,6.32%,"$186,000.00 ",$9.30 ,Cash
GOOGL,"ALPHABET INC CAP STK CL A",20000,$155.00 ,($5.00),"$310,000.00 ","($10,000.00)",-3.13%,"$90,000.00 ",40.91%,10.65%,"$220,000.00 ",$110.00 ,Margin
 -GOOGL250516C170,"GOOGL MAY 16 2025 $170 CALL",-100,$3.00 ,($2.00),($3000.00),"$2,000.00 ",40.00%,$500.00 ,14.29%,-0.10%,"$3,500.00 ",$3.50 ,Margin
